Gene_Id	Homologs
lmo0159	Listeria monocytogenes EGD;LMON_RS00765;WP_014600394.1;0.407314;;Listeria monocytogenes 10403S;LMRG_RS00765;WP_014600394.1;0.407314;;
lmo2724	Listeria monocytogenes EGD;LMON_RS13935;WP_003722084.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13885;WP_003722084.1;1.0;;
lmo1023	Listeria monocytogenes EGD;LMON_RS05155;WP_003719245.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05155;WP_003719245.1;1.0;;
lmo2361	Listeria monocytogenes EGD;LMON_RS11950;WP_003723817.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11900;WP_003723817.1;1.0;;
lmo0758	Listeria monocytogenes EGD;LMON_RS03805;WP_014600621.1;0.9898305;;Listeria monocytogenes 10403S;LMRG_RS03805;WP_014600621.1;0.9898305;;
lmo1254	Listeria monocytogenes EGD;LMON_RS06540;WP_014600787.1;0.9890511;;Listeria monocytogenes 10403S;LMRG_RS06235;WP_014600787.1;0.9890511;;
lmo2129	Listeria monocytogenes EGD;LMON_RS11070;WP_003731926.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10770;WP_003731926.1;1.0;;
lmo1767	Listeria monocytogenes EGD;LMON_RS09225;WP_014600929.1;0.95702004;;Listeria monocytogenes 10403S;LMRG_RS08925;WP_014600929.1;0.95702004;;
lmo1352	Listeria monocytogenes EGD;LMON_RS07030;WP_003732264.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06725;WP_003732264.1;1.0;;
lmo1865	Listeria monocytogenes EGD;LMON_RS09730;WP_003723419.1;0.99512196;;Listeria monocytogenes 10403S;LMRG_RS09430;WP_003723419.1;0.99512196;;
lmo1384	Listeria monocytogenes EGD;LMON_RS07190;WP_014600814.1;0.9968652;;Listeria monocytogenes 10403S;LMRG_RS06885;WP_014600814.1;0.9968652;;
lmo1536	Listeria monocytogenes EGD;LMON_RS07950;WP_003732585.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07645;WP_003732585.1;1.0;;
lmo1714	
lmo2590	Listeria monocytogenes EGD;LMON_RS13230;WP_003733022.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13180;WP_003733022.1;1.0;;
lmo0061	Listeria monocytogenes EGD;LMON_RS00310;WP_014600356.1;0.78170896;;Listeria monocytogenes 10403S;LMRG_RS00310;WP_014600356.1;0.78170896;;
lmo2822	Listeria monocytogenes EGD;LMON_RS14405;WP_012951059.1;0.93457943;;Listeria monocytogenes 10403S;LMRG_RS14360;WP_012951059.1;0.93457943;;
lmo0426	Listeria monocytogenes EGD;LMON_RS02190;WP_012581954.1;0.95454544;;Listeria monocytogenes 10403S;LMRG_RS02190;WP_012581954.1;0.95454544;;
lmo0084	Listeria monocytogenes EGD;LMON_RS00410;WP_014600367.1;0.9969419;;Listeria monocytogenes 10403S;LMRG_RS00410;WP_014600367.1;0.9969419;;
lmo0638	
lmo0889	Listeria monocytogenes EGD;LMON_RS04450;WP_003721456.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04450;WP_003721456.1;1.0;;
lmo1143	Listeria monocytogenes EGD;LMON_RS05665;WP_003719346.1;0.9945652;;Listeria monocytogenes 10403S;LMRG_RS05665;WP_003719346.1;0.9945652;;
lmo1483	Listeria monocytogenes EGD;LMON_RS07685;WP_003721991.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07380;WP_003721991.1;1.0;;
lmo1450	Listeria monocytogenes EGD;LMON_RS07520;WP_003721956.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07215;WP_003721956.1;1.0;;
lmo1834	Listeria monocytogenes EGD;LMON_RS09575;WP_014600945.1;0.988189;;Listeria monocytogenes 10403S;LMRG_RS09275;WP_014600945.1;0.988189;;
lmo1581	Listeria monocytogenes EGD;LMON_RS08175;WP_038406233.1;0.9974811;;Listeria monocytogenes 10403S;LMRG_RS07870;WP_010989750.1;1.0;;
lmo2044	Listeria monocytogenes EGD;LMON_RS10625;WP_003731973.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10325;WP_003731973.1;1.0;;
lmo0291	Listeria monocytogenes EGD;LMON_RS01510;WP_003722911.1;0.9963768;;Listeria monocytogenes 10403S;LMRG_RS01510;WP_003722911.1;0.9963768;;
lmo0390	Listeria monocytogenes EGD;LMON_RS02015;WP_003723102.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02015;WP_003723102.1;1.0;;
lmo0539	Listeria monocytogenes EGD;LMON_RS02695;WP_003721333.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02695;WP_003721333.1;1.0;;
lmo2737	Listeria monocytogenes EGD;LMON_RS14000;WP_003722097.1;0.9937107;;Listeria monocytogenes 10403S;LMRG_RS13950;WP_003722097.1;0.9937107;;
lmo0184	Listeria monocytogenes EGD;LMON_RS00885;WP_003733141.1;0.99638337;;Listeria monocytogenes 10403S;LMRG_RS00885;WP_003733141.1;0.99638337;;
lmo1241	Listeria monocytogenes EGD;LMON_RS06465;WP_014600783.1;0.92256635;;Listeria monocytogenes 10403S;LMRG_RS06160;WP_014600783.1;0.92256635;;
lmo2142	Listeria monocytogenes EGD;LMON_RS11160;WP_003722266.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10860;WP_003722266.1;1.0;;
lmo0988	Listeria monocytogenes EGD;LMON_RS04980;WP_014600696.1;0.9980843;;Listeria monocytogenes 10403S;LMRG_RS04980;WP_014600696.1;0.9980843;;
lmo1933	Listeria monocytogenes EGD;LMON_RS10070;WP_003724029.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09770;WP_003724029.1;1.0;;
lmo1339	Listeria monocytogenes EGD;LMON_RS06965;WP_010990099.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06660;WP_010990099.1;1.0;;
lmo0781	Listeria monocytogenes EGD;LMON_RS03920;WP_003721898.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03920;WP_003721898.1;1.0;;
lmo2468	Listeria monocytogenes EGD;LMON_RS12580;WP_003722600.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12530;WP_003722600.1;1.0;;
lmo1679	Listeria monocytogenes EGD;LMON_RS08670;WP_014600901.1;0.9948718;;Listeria monocytogenes 10403S;LMRG_RS08370;WP_014600901.1;0.9948718;;
lmo2835	Listeria monocytogenes EGD;LMON_RS14470;WP_003723840.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS14425;WP_003723840.1;1.0;;
lmo0349	Listeria monocytogenes EGD;LMON_RS01805;WP_003723200.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS01805;WP_003723200.1;1.0;;
lmo0834	Listeria monocytogenes EGD;LMON_RS04175;WP_077346021.1;0.9915612;;Listeria monocytogenes 10403S;LMRG_RS04175;WP_077346021.1;0.9915612;;
lmo1086	Listeria monocytogenes EGD;LMON_RS05470;WP_003721503.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05470;WP_003721503.1;1.0;;
lmo1656	Listeria monocytogenes EGD;LMON_RS08555;WP_014600890.1;0.986014;;Listeria monocytogenes 10403S;LMRG_RS08255;WP_014600890.1;0.986014;;
lmo2603	Listeria monocytogenes EGD;LMON_RS13320;WP_003733035.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13270;WP_003733035.1;1.0;;
lmo0603	Listeria monocytogenes EGD;LMON_RS03020;WP_003730999.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03020;WP_003730999.1;1.0;;
lmo2240	Listeria monocytogenes EGD;LMON_RS11660;WP_003731877.1;0.99657536;;Listeria monocytogenes 10403S;LMRG_RS11360;WP_003731877.1;0.99657536;;
lmo1777	Listeria monocytogenes EGD;LMON_RS09290;WP_003723983.1;0.99502486;;Listeria monocytogenes 10403S;LMRG_RS08990;WP_003723983.1;0.99502486;;
lmo2009	Listeria monocytogenes EGD;LMON_RS10450;WP_009924790.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10150;WP_009924790.1;1.0;;
lmo2415	Listeria monocytogenes EGD;LMON_RS12310;WP_003722442.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12260;WP_003722442.1;1.0;;
lmo1415	Listeria monocytogenes EGD;LMON_RS07345;WP_014600822.1;0.9974227;;Listeria monocytogenes 10403S;LMRG_RS07040;WP_014600822.1;0.9974227;;
lmo0137	Listeria monocytogenes EGD;LMON_RS00675;WP_003724035.1;0.996633;;Listeria monocytogenes 10403S;LMRG_RS00675;WP_003724035.1;0.996633;;
lmo0448	Listeria monocytogenes EGD;LMON_RS02295;WP_014600523.1;0.99792963;;Listeria monocytogenes 10403S;LMRG_RS02295;WP_014600523.1;0.99792963;;
lmo0360a	Listeria monocytogenes EGD;LMON_RS01865;WP_003733011.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS01865;WP_003733011.1;1.0;;
lmo0504	Listeria monocytogenes EGD;LMON_RS02520;WP_003721290.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02520;WP_003721290.1;1.0;;
lmo0965	Listeria monocytogenes EGD;LMON_RS04860;WP_014600689.1;0.9896907;;Listeria monocytogenes 10403S;LMRG_RS04860;WP_014600689.1;0.9896907;;
lmo2339	Listeria monocytogenes EGD;LMON_RS11840;WP_009932058.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11790;WP_009932058.1;1.0;;
lmo2384	Listeria monocytogenes EGD;LMON_RS12155;WP_003722410.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12105;WP_003722410.1;1.0;;
lmo2702	Listeria monocytogenes EGD;LMON_RS13825;WP_003722062.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS13775;WP_003722062.1;1.0;;
lmo0736	Listeria monocytogenes EGD;LMON_RS03695;WP_003721856.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03695;WP_003721856.1;1.0;;
lmo2107	Listeria monocytogenes EGD;LMON_RS10960;WP_003722367.1;0.99604744;;Listeria monocytogenes 10403S;LMRG_RS10660;WP_003722367.1;0.99604744;;
lmo1875	Listeria monocytogenes EGD;LMON_RS09780;WP_014600957.1;0.9968254;;Listeria monocytogenes 10403S;LMRG_RS09480;WP_014600957.1;0.9968254;;
lmo1558	Listeria monocytogenes EGD;LMON_RS08060;WP_003732571.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07755;WP_003732571.1;1.0;;
lmo0039	Listeria monocytogenes EGD;LMON_RS00195;WP_003721662.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00195;WP_003721662.1;1.0;;
lmo2285	Listeria monocytogenes EGD;LMON_RS00605;WP_014600378.1;0.33431086;;Listeria monocytogenes 10403S;LMRG_RS11565;WP_014601073.1;0.9618768;;
lmo2800	Listeria monocytogenes EGD;LMON_RS14300;WP_003722159.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS14255;WP_003722159.1;1.0;;
lmo0318	Listeria monocytogenes EGD;LMON_RS01660;WP_014930821.1;0.97196263;;Listeria monocytogenes 10403S;LMRG_RS01660;WP_014600468.1;0.96728975;;
lmo0911	Listeria monocytogenes EGD;LMON_RS04590;WP_014600676.1;0.994012;;Listeria monocytogenes 10403S;LMRG_RS04590;WP_014600676.1;0.994012;;
lmo2275	Listeria monocytogenes EGD;LMON_RS06440;WP_014930929.1;0.7919463;;
lmo0870	Listeria monocytogenes EGD;LMON_RS04355;WP_003721436.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04355;WP_003721436.1;1.0;;
lmo0616	Listeria monocytogenes EGD;LMON_RS03085;WP_014600590.1;0.99828476;;Listeria monocytogenes 10403S;LMRG_RS03085;WP_014600590.1;0.99828476;;
lmo1625	Listeria monocytogenes EGD;LMON_RS08400;WP_014600878.1;0.9962756;;Listeria monocytogenes 10403S;LMRG_RS08100;WP_014600878.1;0.9962756;;
lmo2567	Listeria monocytogenes EGD;LMON_RS13075;WP_003723615.1;0.9848485;;Listeria monocytogenes 10403S;LMRG_RS13025;WP_003723615.1;0.9848485;;
lmo2022	Listeria monocytogenes EGD;LMON_RS10515;WP_014600987.1;0.9293478;;Listeria monocytogenes 10403S;LMRG_RS10215;WP_014600987.1;0.9293478;;
lmo0517	Listeria monocytogenes EGD;LMON_RS02585;WP_014600552.1;0.98892987;;Listeria monocytogenes 10403S;LMRG_RS02585;WP_014600552.1;0.98892987;;
lmo0771	Listeria monocytogenes EGD;LMON_RS03870;WP_009932871.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03870;WP_009932871.1;1.0;;
lmo1263	Listeria monocytogenes EGD;LMON_RS06585;WP_003727524.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06280;WP_003727524.1;1.0;;
lmo1333a	Listeria monocytogenes EGD;LMON_RS06940;WP_003740295.1;0.7612903;;Listeria monocytogenes 10403S;LMRG_RS06635;WP_003740295.1;0.7612903;;
lmo2120	Listeria monocytogenes EGD;LMON_RS11025;WP_003722380.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10725;WP_003722380.1;1.0;;
lmo1010	Listeria monocytogenes EGD;LMON_RS05090;WP_003722874.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05090;WP_003722874.1;1.0;;
lmo2374	Listeria monocytogenes EGD;LMON_RS12105;WP_003722400.1;0.9977925;;Listeria monocytogenes 10403S;LMRG_RS12055;WP_003722400.1;0.9977925;;
lmo1527	Listeria monocytogenes EGD;LMON_RS07905;WP_003723531.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07600;WP_003723531.1;1.0;;
lmo0651	Listeria monocytogenes EGD;LMON_RS03875;WP_003721889.1;0.24186046;;Listeria monocytogenes 10403S;LMRG_RS03270;WP_003721768.1;1.0;;
lmo2831	Listeria monocytogenes EGD;LMON_RS14450;WP_003727588.1;0.99545455;;Listeria monocytogenes 10403S;LMRG_RS14405;WP_003727588.1;0.99545455;;
lmo0417	Listeria monocytogenes EGD;LMON_RS02145;WP_014600506.1;0.99264705;;Listeria monocytogenes 10403S;LMRG_RS02145;WP_014600506.1;0.99264705;;
lmo2577	Listeria monocytogenes EGD;LMON_RS13125;WP_014931026.1;0.99636364;;Listeria monocytogenes 10403S;LMRG_RS13075;WP_014931026.1;0.99636364;;
lmo0093	Listeria monocytogenes EGD;LMON_RS00455;WP_003721719.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00455;WP_003721719.1;1.0;;
lmo1108	
lmo1987	Listeria monocytogenes EGD;LMON_RS10340;WP_003723152.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10040;WP_003723152.1;1.0;;
lmo2218	Listeria monocytogenes EGD;LMON_RS11550;WP_003731889.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11250;WP_003731889.1;1.0;;
lmo0876	Listeria monocytogenes EGD;LMON_RS04385;WP_003721442.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04385;WP_003721442.1;1.0;;
lmo1206	Listeria monocytogenes EGD;LMON_RS05980;WP_003721604.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS05980;WP_003721604.1;1.0;;
lmo1803	Listeria monocytogenes EGD;LMON_RS09420;WP_003723863.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09120;WP_003723863.1;1.0;;
lmo2733	Listeria monocytogenes EGD;LMON_RS13980;WP_003722093.1;0.99539876;;Listeria monocytogenes 10403S;LMRG_RS13930;WP_003722093.1;0.99539876;;
lmo0282	Listeria monocytogenes EGD;LMON_RS01465;WP_009930687.1;0.992278;;Listeria monocytogenes 10403S;LMRG_RS01465;WP_009930687.1;0.992278;;
lmo0482	Listeria monocytogenes EGD;LMON_RS02410;WP_003725208.1;0.99727523;;Listeria monocytogenes 10403S;LMRG_RS02410;WP_003725208.1;0.99727523;;
lmo0975	Listeria monocytogenes EGD;LMON_RS04915;WP_014600692.1;0.99553573;;Listeria monocytogenes 10403S;LMRG_RS04915;WP_014600692.1;0.99553573;;
lmo0193	Listeria monocytogenes EGD;LMON_RS00930;WP_003722722.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS00930;WP_003722722.1;1.0;;
lmo2316	
lmo0714	Listeria monocytogenes EGD;LMON_RS03585;WP_003721835.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS03585;WP_003721835.1;1.0;;
lmo2492	Listeria monocytogenes EGD;LMON_RS12700;WP_014931020.1;0.9921875;;Listeria monocytogenes 10403S;LMRG_RS12650;WP_014931020.1;0.9921875;;
lmo2634	Listeria monocytogenes EGD;LMON_RS13475;WP_014601175.1;0.99248123;;Listeria monocytogenes 10403S;LMRG_RS13425;WP_014601175.1;0.99248123;;
lmo1902	Listeria monocytogenes EGD;LMON_RS09915;WP_003723012.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09615;WP_003723012.1;1.0;;
lmo0381	Listeria monocytogenes EGD;LMON_RS01970;WP_003723093.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS01970;WP_003723093.1;1.0;;
lmo0934	Listeria monocytogenes EGD;LMON_RS04705;WP_014600686.1;0.9973615;;Listeria monocytogenes 10403S;LMRG_RS04705;WP_014600686.1;0.9973615;;
lmo2253	Listeria monocytogenes EGD;LMON_RS11725;WP_009931351.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11425;WP_009931351.1;1.0;;
lmo1095	Listeria monocytogenes EGD;LMON_RS05515;WP_003732712.1;0.97761196;;Listeria monocytogenes 10403S;LMRG_RS05515;WP_003732712.1;0.97761196;;
lmo2000	Listeria monocytogenes EGD;LMON_RS10405;WP_003723163.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10105;WP_003723163.1;1.0;;
lmo0593	Listeria monocytogenes EGD;LMON_RS02965;WP_003727259.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02965;WP_003727259.1;1.0;;
lmo0848	Listeria monocytogenes EGD;LMON_RS04245;WP_003724779.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04245;WP_003724779.1;1.0;;
lmo1745	Listeria monocytogenes EGD;LMON_RS09115;WP_003722222.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS08815;WP_003722222.1;1.0;;
lmo1647	Listeria monocytogenes EGD;LMON_RS08510;WP_003727338.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS08210;WP_003727338.1;1.0;;
lmo2402	Listeria monocytogenes EGD;LMON_RS12245;WP_003722426.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS12195;WP_003722426.1;1.0;;
lmo0530	Listeria monocytogenes EGD;LMON_RS02650;WP_014600558.1;0.988287;;Listeria monocytogenes 10403S;LMRG_RS02650;WP_014600558.1;0.988287;;
lmo1790	Listeria monocytogenes EGD;LMON_RS09355;WP_003724046.1;0.99159664;;Listeria monocytogenes 10403S;LMRG_RS09055;WP_003724046.1;0.99159664;;
lmo0228	Listeria monocytogenes EGD;LMON_RS01110;WP_014600419.1;0.99598396;;Listeria monocytogenes 10403S;LMRG_RS01110;WP_014600419.1;0.99598396;;
lmo1032	Listeria monocytogenes EGD;LMON_RS05200;WP_003722656.1;0.99635035;;Listeria monocytogenes 10403S;LMRG_RS05200;WP_003722656.1;0.99635035;;
lmo0439	Listeria monocytogenes EGD;LMON_RS02250;WP_014600519.1;0.99763036;;Listeria monocytogenes 10403S;LMRG_RS02250;WP_014600519.1;0.99763036;;
lmo0495	Listeria monocytogenes EGD;LMON_RS02475;WP_003733747.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS02475;WP_003733747.1;1.0;;
lmo0749	Listeria monocytogenes EGD;LMON_RS03760;WP_003721866.1;0.9852941;;Listeria monocytogenes 10403S;LMRG_RS03760;WP_003721866.1;0.9852941;;
lmo2098	Listeria monocytogenes EGD;LMON_RS10900;WP_003722355.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS10600;WP_003722355.1;1.0;;
lmo2352	Listeria monocytogenes EGD;LMON_RS11905;WP_010989968.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11855;WP_010989968.1;1.0;;
lmo1549	Listeria monocytogenes EGD;LMON_RS08015;WP_003723232.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07710;WP_003723232.1;1.0;;
lmo1889	Listeria monocytogenes EGD;LMON_RS09850;WP_003722999.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS09550;WP_003722999.1;1.0;;
lmo0629	Listeria monocytogenes EGD;LMON_RS03150;WP_014600595.1;0.9942857;;Listeria monocytogenes 10403S;LMRG_RS03150;WP_014600595.1;0.9942857;;
lmo0048	Listeria monocytogenes EGD;LMON_RS00240;WP_003727551.1;0.99509805;;Listeria monocytogenes 10403S;LMRG_RS00240;WP_003727551.1;0.99509805;;
lmo2809	Listeria monocytogenes EGD;LMON_RS14340;WP_014601233.1;0.61904764;;Listeria monocytogenes 10403S;LMRG_RS14295;WP_014601233.1;0.61904764;;
lmo0898	Listeria monocytogenes EGD;LMON_RS04495;WP_010989610.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS04495;WP_010989610.1;1.0;;
lmo0304	Listeria monocytogenes EGD;LMON_RS01605;WP_014600457.1;0.96912116;;Listeria monocytogenes 10403S;LMRG_RS01605;WP_014600457.1;0.96912116;;
lmo2196	Listeria monocytogenes EGD;LMON_RS11440;WP_003731898.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS11140;WP_014601048.1;0.99820787;;
lmo0071	
lmo1361	Listeria monocytogenes EGD;LMON_RS07075;WP_010990104.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS06770;WP_010990104.1;1.0;;
lmo1130	Listeria monocytogenes EGD;LMON_RS05600;WP_003721529.1;0.9790795;;Listeria monocytogenes 10403S;LMRG_RS05600;WP_003721529.1;0.9790795;;
lmo1594	Listeria monocytogenes EGD;LMON_RS08240;WP_010989755.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07935;WP_010989755.1;1.0;;
lmo2479	Listeria monocytogenes EGD;LMON_RS12635;WP_003732497.1;0.99796337;;Listeria monocytogenes 10403S;LMRG_RS12585;WP_014601138.1;0.9959267;;
lmo2711	
lmo1459	Listeria monocytogenes EGD;LMON_RS07565;WP_003721965.1;1.0;;Listeria monocytogenes 10403S;LMRG_RS07260;WP_003721965.1;1.0;;
lmo0169	Listeria monocytogenes EGD;LMON_RS00815;WP_014600398.1;0.99298245;;Listeria monocytogenes 10403S;LMRG_RS00815;WP_014600398.1;0.99298245;;
lmo0997	Listeria monocytogenes EGD;LMON_RS05025;WP_014600699.1;0.99585634;;Listeria monocytogenes 10403S;LMRG_RS05025;WP_014600699.1;0.99585634;;
lmo1228	Listeria monocytogenes EGD;LMON_RS06090;WP_072215733.1;0.9967533;;Listeria monocytogenes 10403S;LMRG_RS06090;WP_072215733.1;0.9967533;;
