BioCondName	Technology	FileName	Date	ArrayExpressId	Reference	arrayExpressTechnoID	NoDataAvailable	TimePoint	Mutant	Temperature	Growth	Media	MediaGrowthProperties	Strain used	Strain array	Comment	ExpID	StudyName	Localization
prfA_Star	GeneExpr	EGDe_prfA_2.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	GeneExpr	EGDe_prfA_3.CEL	28/02/2012	E-MTAB-1676	Becavin et al., MBio 2014 (Pubmed:24667708)	A-AFFY-140			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
Stat_2009_EGDe	Proteome	Stat_2009_EGDe.txt	10/01/2009		Donaldson et al., Appl. Env. Microb. 2009 (Pubmed:19028911)						Stationary phase			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Soluble protein fractions		Comparative�proteomic�analysis of�Listeria�monocytogenes strains F2365 and�EGD.	Cytoplasm
CellWall_2004_EGDe	Proteome	CellWall_2004_EGDe.txt	24/06/2004		Calvo et al., Proteomics 2004 (Pubmed:15627966)									Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Insoluble extract trypsin digested		Analysis�of the�Listeria�cell wall�proteome by�two-dimensional�nanoliquid chromatography coupled to mass spectrometry.	Cell wall
Exoproteome_2010_EGDe	Proteome	Exoproteome_2010_EGDe.txt	01/10/2010		Desvaux et al., J. Proteome Res. (Pubmed:20839850)						Stationary phase			Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Culture supernatant		Comprehensive�appraisal�of the�extracellular�proteins�from a�monoderm�bacterium:�theoretical�and�empiricalexoproteomes�of�Listeria�monocytogenes�EGD-e�by�secretomics	Secretome
Extracellular_BHI_2011_EGDe	Proteome	Extracellular_BHI_2011_EGDe.txt	16/08/2011		Garcia-del Portillo et al., J. Bio. Chemistry (Pubmed:21846725)									Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Tryptic peptide mixtures obtained from peptidoglycan material		Association�of�ActA�to�peptidoglycan�revealed�by cell wall proteomics of intracellular Listeria monocytogenes.	Cell wall
EGDe_37C_RiboSeq	RiboSeq	EGDe_37C_RiboSeq_f.wig	08/06/2016	ENA:PRJEB12568	Dar et al., Science 2016 (Pubmed:27120414)	Illumina Miseq, HiSeq. 1500, or NextSeq. 500 (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			Term-seq reveals abundant ribo-regulation of antibiotics resistance in bacteria	
Macrophages_2014_EGDe	RNASeq	Macrophages_2014_EGDe_f_1.wig	10/10/2014	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)						Mouse macrophages cells	Mouse macrophages cells P388D1	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
Macrophages_2014_EGDe	RNASeq	Macrophages_2014_EGDe_f_2.wig	10/10/2014	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)						Mouse macrophages cells	Mouse macrophages cells P388D1	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
Macrophages_2014_EGDe	RNASeq	Macrophages_2014_EGDe_f_3.wig	10/10/2014	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)						Mouse macrophages cells	Mouse macrophages cells P388D1	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
BHI_2014_EGDe	RNASeq	BHI_2014_EGDe_f_1.wig	10/10/2104	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
BHI_2014_EGDe	RNASeq	BHI_2014_EGDe_f_2.wig	10/10/2104	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
BHI_2014_EGDe	RNASeq	BHI_2014_EGDe_f_3.wig	10/10/2104	PRJEB6949	Wehner et al., Plos One 2014 (Pubmed:25286309)	Ion Torrent PGM (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			sRNA transcriptome of Listeria monocytogenes during extracellular growth and within macrophages	
EGD_WT	Tiling	T_EGD_WT_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	Tiling	T_EGD_WT_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	Tiling	T_EGD_WT_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	Tiling	T_EGD_WT_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	Tiling	T_EGD_WT_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGD_WT	Tiling	T_EGD_WT_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD	Listeria monocytogenes EGD-e	RNA de EGD-c strain, mis sur puce EGD-e	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_280212	Tiling	T_EGDe_WT_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_1_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_2_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
prfA_Star	Tiling	T_EGDe_prfA_3_(LmoEGDe_tiling).CEL	28/02/2012	E-MTAB-1677	Becavin et al., MBio 2014 (Pubmed:24667708)	A-MEXP-1572			lmo0200_Over					Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e	Induction of G145S mutation	24	Transcription profiling by tiling array of Listeria monocytogenes EGD wild type, Listeria monocytogenes EGD-e wild-type and EGD-e PrfA*	
EGDe_30C	TSS	EGDe_30C_TSS_f.wig	01/01/2011	E-GEOD-36060	Wurtzel et al., MSB 2012 (Pubmed:22617957)	Illumina Genome Analyzer (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		29	Comparative transcriptomics of pathogenic and non-pathogenic Listeria species	
EGDe_37C_TSS	TSS	EGDe_37C_TSS_f.wig	01/01/2011	E-GEOD-36060	Wurtzel et al., MSB 2012 (Pubmed:22617957)	Illumina Genome Analyzer (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e		29	Comparative transcriptomics of pathogenic and non-pathogenic Listeria species	
EGDe_37C_TermSeq	TermSeq	EGDe_37C_TermSeq_f.wig	08/06/2016	ENA:PRJEB12568	Dar et al., Science 2016 (Pubmed:27120414)	Illumina Miseq, HiSeq. 1500, or NextSeq. 500 (Single end)								Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e			Term-seq reveals abundant ribo-regulation of antibiotics resistance in bacteria	
