NP_463534.1	lmo0001
NP_463752.1	lmo0221
NP_463753.1	lmo0222
NP_463754.1	lmo0223
NP_463755.1	lmo0224
NP_463756.1	lmo0225
NP_463757.1	lmo0226
NP_463758.1	lmo0227
NP_463759.1	lmo0228
NP_463760.1	lmo0229
NP_463761.1	lmo0230
NP_463762.1	lmo0231
NP_463763.1	lmo0232
NP_463764.1	lmo0233
NP_463765.1	lmo0234
NP_463766.1	lmo0235
NP_463767.1	lmo0236
NP_463768.1	lmo0237
NP_463769.1	lmo0238
NP_463770.1	lmo0239
NP_463771.1	lmo0240
NP_463772.1	lmo0241
NP_463773.1	lmo0242
NP_463774.1	lmo0243
NP_463775.1	lmo0244
NP_463776.1	lmo0245
NP_463777.1	lmo0246
NP_463778.1	lmo0247
NP_463779.1	lmo0248
NP_463780.1	lmo0249
NP_463781.1	lmo0250
NP_463782.1	lmo0251
NP_463783.1	lmo0252
NP_463784.1	lmo0253
NP_463785.1	lmo0254
NP_463786.1	lmo0255
NP_463787.1	lmo0256
NP_463788.1	lmo0257
NP_463789.1	lmo0258
NP_463790.1	lmo0259
NP_463791.1	lmo0260
NP_463792.1	lmo0261
NP_463793.1	lmo0262
NP_463794.1	lmo0263
NP_463795.1	lmo0264
NP_463796.1	lmo0265
NP_463797.1	lmo0266
NP_463798.1	lmo0267
NP_463799.1	lmo0268
NP_463800.1	lmo0269
NP_463801.1	lmo0270
NP_463802.1	lmo0271
NP_463803.1	lmo0272
NP_463804.1	lmo0273
NP_463805.1	lmo0274
NP_463806.1	lmo0275
NP_463807.1	lmo0276
NP_463808.1	lmo0277
NP_463809.1	lmo0278
NP_463810.1	lmo0279
NP_463811.1	lmo0280
NP_463812.1	lmo0281
NP_463813.1	lmo0282
NP_463814.1	lmo0283
NP_463815.1	lmo0284
NP_463816.1	lmo0285
NP_463817.1	lmo0286
NP_463818.1	lmo0287
NP_463819.1	lmo0288
NP_463820.1	lmo0289
NP_463821.1	lmo0290
NP_463822.1	lmo0291
NP_463823.1	lmo0292
NP_463824.1	lmo0293
NP_463825.1	lmo0294
NP_463826.1	lmo0295
NP_463827.1	lmo0296
NP_463828.1	lmo0297
NP_463829.1	lmo0298
NP_463830.1	lmo0299
NP_463831.1	lmo0300
NP_463832.1	lmo0301
NP_463833.1	lmo0302
NP_463834.1	lmo0303
NP_463835.1	lmo0304
NP_463836.1	lmo0305
NP_463837.1	lmo0306
NP_463838.1	lmo0307
NP_463839.1	lmo0309
NP_463840.1	lmo0310
NP_463841.1	lmo0311
NP_463842.1	lmo0312
NP_463843.1	lmo0313
NP_463844.1	lmo0314
NP_463845.1	lmo0315
NP_463846.1	lmo0316
NP_463847.1	lmo0317
NP_463848.1	lmo0318
NP_463849.1	lmo0319
NP_463850.1	lmo0320
NP_463851.1	lmo0321
NP_463852.1	lmo0322
NP_463853.1	lmo0323
NP_463854.1	lmo0324
NP_463855.1	lmo0325
NP_463856.1	lmo0326
NP_463857.1	lmo0327
NP_463858.1	lmo0328
NP_463859.1	lmo0329
NP_463860.1	lmo0330
NP_463861.1	lmo0331
NP_463862.1	lmo0332
NP_463863.1	lmo0333
NP_463864.1	lmo0334
NP_463865.1	lmo0335
NP_463866.1	lmo0336
NP_463867.1	lmo0337
NP_463868.1	lmo0338
NP_463869.1	lmo0339
NP_463870.1	lmo0340
NP_463871.1	lmo0341
NP_463872.1	lmo0342
NP_463873.1	lmo0343
NP_463874.1	lmo0344
NP_463875.1	lmo0345
NP_463876.1	lmo0346
NP_463877.1	lmo0347
NP_463878.1	lmo0348
NP_463879.1	lmo0349
NP_463880.1	lmo0350
NP_463881.1	lmo0351
NP_463882.1	lmo0352
NP_463883.1	lmo0353
NP_463884.1	lmo0354
NP_463885.1	lmo0355
NP_463886.1	lmo0356
NP_463887.1	lmo0357
NP_463888.1	lmo0358
NP_463889.1	lmo0359
NP_463890.1	lmo0360
YP_008475627.1	lmo0360a
NP_463891.1	lmo0361
NP_463892.1	lmo0362
NP_463893.1	lmo0363
NP_463894.1	lmo0364
NP_463895.1	lmo0365
NP_463896.1	lmo0366
NP_463897.1	lmo0367
NP_463898.1	lmo0368
NP_463899.1	lmo0369
NP_463900.1	lmo0370
NP_463901.1	lmo0371
NP_463902.1	lmo0372
NP_463903.1	lmo0373
NP_463904.1	lmo0374
NP_463905.1	lmo0375
NP_463906.1	lmo0376
NP_463907.1	lmo0377
NP_463908.1	lmo0378
NP_463909.1	lmo0379
NP_463910.1	lmo0380
NP_463911.1	lmo0381
NP_463912.1	lmo0382
NP_463913.1	lmo0383
NP_463914.1	lmo0384
NP_463915.1	lmo0385
NP_463916.1	lmo0386
NP_463917.1	lmo0387
NP_463918.1	lmo0388
NP_463919.1	lmo0389
NP_463920.1	lmo0390
NP_463921.1	lmo0391
NP_463922.1	lmo0392
NP_463923.1	lmo0393
NP_463924.1	lmo0394
NP_463925.1	lmo0395
NP_463926.1	lmo0396
NP_463927.1	lmo0397
NP_463928.1	lmo0398
NP_463929.1	lmo0399
NP_463930.1	lmo0400
NP_463931.1	lmo0401
NP_463932.1	lmo0402
NP_463933.1	lmo0403
NP_463934.1	lmo0404
NP_463935.1	lmo0405
NP_463936.1	lmo0406
NP_463937.1	lmo0407
NP_463938.1	lmo0408
NP_463939.1	lmo0409
NP_463940.1	lmo0411
NP_463941.1	lmo0412
NP_463942.1	lmo0413
NP_463943.1	lmo0414
NP_463944.1	lmo0415
NP_463945.1	lmo0416
NP_463946.1	lmo0417
NP_463947.1	lmo0418
NP_463948.1	lmo0419
NP_463949.1	lmo0420
NP_463950.1	lmo0421
NP_463951.1	lmo0422
NP_463952.1	lmo0423
NP_463953.1	lmo0424
NP_463954.1	lmo0425
NP_463955.1	lmo0426
NP_463956.1	lmo0427
NP_463957.1	lmo0428
NP_463958.1	lmo0429
NP_463959.1	lmo0430
NP_463960.1	lmo0431
NP_463961.1	lmo0432
NP_463962.1	lmo0433
NP_463963.1	lmo0434
NP_463964.1	lmo0435
NP_463965.1	lmo0436
NP_463966.1	lmo0437
NP_463967.1	lmo0438
NP_463968.1	lmo0439
NP_463969.1	lmo0440
NP_463970.1	lmo0441
NP_463971.1	lmo0442
NP_463972.1	lmo0443
NP_463973.1	lmo0444
NP_463974.1	lmo0445
NP_463975.1	lmo0446
NP_463976.1	lmo0447
NP_463977.1	lmo0448
YP_008475628.1	lmo0448a
NP_463978.1	lmo0449
NP_463979.1	lmo0450
NP_463980.1	lmo0451
NP_463981.1	lmo0452
NP_463982.1	lmo0453
NP_463983.1	lmo0454
NP_463984.1	lmo0455
NP_463985.1	lmo0456
NP_463986.1	lmo0457
NP_463987.1	lmo0458
NP_463988.1	lmo0459
NP_463989.1	lmo0460
NP_463990.1	lmo0461
NP_463991.1	lmo0462
NP_463992.1	lmo0463
NP_463993.1	lmo0464
YP_008475629.1	lmo0464a
NP_463994.1	lmo0465
NP_463995.1	lmo0466
NP_463996.1	lmo0467
NP_463997.1	lmo0468
NP_463998.1	lmo0469
NP_463999.1	lmo0470
NP_464000.1	lmo0471
NP_464001.1	lmo0472
YP_008475630.1	lmo0473
NP_464002.1	lmo0474
NP_464003.1	lmo0475
NP_464004.1	lmo0476
NP_464005.1	lmo0477
NP_464006.1	lmo0478
NP_464007.1	lmo0479
NP_464008.1	lmo0480
NP_464009.1	lmo0481
NP_464010.1	lmo0482
NP_464011.1	lmo0483
NP_464012.1	lmo0484
NP_464013.1	lmo0485
NP_464014.1	lmo0486
NP_464015.1	lmo0487
NP_464016.1	lmo0488
NP_464017.1	lmo0489
NP_464018.1	lmo0490
NP_464019.1	lmo0491
NP_464020.1	lmo0492
NP_464021.1	lmo0493
NP_464022.1	lmo0494
NP_464023.1	lmo0495
NP_464024.1	lmo0496
NP_464025.1	lmo0497
NP_464026.1	lmo0498
NP_464027.1	lmo0499
NP_464028.1	lmo0500
NP_464029.1	lmo0501
NP_464030.1	lmo0502
NP_464031.1	lmo0503
NP_464032.1	lmo0504
NP_464033.1	lmo0505
NP_464034.1	lmo0506
NP_464035.1	lmo0507
NP_464036.1	lmo0508
NP_464037.1	lmo0509
NP_464038.1	lmo0510
NP_464039.1	lmo0511
NP_464040.1	lmo0512
NP_464041.1	lmo0513
NP_464042.1	lmo0514
NP_464043.1	lmo0515
NP_464044.1	lmo0516
NP_464045.1	lmo0517
NP_464046.1	lmo0518
NP_464047.1	lmo0519
NP_464048.1	lmo0520
NP_464049.1	lmo0521
NP_464050.1	lmo0522
NP_464051.1	lmo0523
NP_464052.1	lmo0524
NP_464053.1	lmo0525
NP_464054.1	lmo0526
NP_464055.1	lmo0527
NP_464056.1	lmo0528
NP_464057.1	lmo0529
NP_464058.1	lmo0530
NP_464059.1	lmo0531
NP_464060.1	lmo0532
NP_464061.1	lmo0533
NP_464062.1	lmo0534
NP_464063.1	lmo0535
NP_464064.1	lmo0536
NP_464065.1	lmo0537
NP_464066.1	lmo0538
NP_464067.1	lmo0539
NP_464068.1	lmo0540
NP_464069.1	lmo0541
NP_464070.1	lmo0542
NP_464071.1	lmo0543
NP_464072.1	lmo0544
NP_464073.1	lmo0545
NP_464074.1	lmo0546
NP_464075.1	lmo0547
NP_464076.1	lmo0548
NP_464077.1	lmo0549
NP_464078.1	lmo0550
NP_464079.1	lmo0551
NP_464080.1	lmo0552
NP_464081.1	lmo0553
NP_464082.1	lmo0554
NP_464083.1	lmo0555
NP_464084.1	lmo0556
NP_464085.1	lmo0557
NP_464086.1	lmo0558
NP_464087.1	lmo0559
NP_464088.1	lmo0560
NP_464089.1	lmo0561
NP_464090.1	lmo0562
NP_464091.1	lmo0563
NP_464092.1	lmo0564
NP_464093.1	lmo0565
NP_464094.1	lmo0566
NP_464095.1	lmo0567
NP_464096.1	lmo0568
NP_464097.1	lmo0569
NP_464098.1	lmo0570
NP_464099.1	lmo0571
NP_464100.1	lmo0572
NP_464101.1	lmo0573
NP_464102.1	lmo0574
NP_464103.1	lmo0575
NP_464104.1	lmo0576
NP_464105.1	lmo0577
NP_464106.1	lmo0578
NP_464107.1	lmo0579
NP_464108.1	lmo0580
NP_464109.1	lmo0581
NP_464110.1	lmo0582
NP_464111.1	lmo0583
NP_464112.1	lmo0584
NP_464113.1	lmo0585
NP_464114.1	lmo0586
NP_464115.1	lmo0587
NP_464116.1	lmo0588
NP_464117.1	lmo0589
NP_464118.1	lmo0590
NP_464119.1	lmo0591
NP_464120.1	lmo0592
NP_464121.1	lmo0593
NP_464122.1	lmo0594
NP_464123.1	lmo0595
NP_464124.1	lmo0596
NP_464125.1	lmo0597
YP_008475631.1	lmo0597a
NP_464126.1	lmo0599
NP_464127.1	lmo0600
NP_464128.1	lmo0601
NP_464129.1	lmo0602
NP_464130.1	lmo0603
NP_464131.1	lmo0604
NP_464132.1	lmo0605
NP_464133.1	lmo0606
NP_464134.1	lmo0607
NP_464135.1	lmo0608
NP_464136.1	lmo0609
NP_464137.1	lmo0610
NP_464138.1	lmo0611
NP_464139.1	lmo0612
NP_464140.1	lmo0613
NP_464141.1	lmo0614
NP_464142.1	lmo0615
NP_464143.1	lmo0616
NP_464144.1	lmo0617
NP_464145.1	lmo0618
NP_464146.1	lmo0619
NP_464147.1	lmo0620
NP_464148.1	lmo0621
NP_464149.1	lmo0622
NP_464150.1	lmo0623
NP_464151.1	lmo0624
NP_464152.1	lmo0625
NP_464153.1	lmo0626
NP_464154.1	lmo0627
NP_464155.1	lmo0628
NP_464156.1	lmo0629
NP_464157.1	lmo0630
NP_464158.1	lmo0631
NP_464159.1	lmo0632
NP_464160.1	lmo0633
NP_464161.1	lmo0634
NP_464162.1	lmo0635
NP_464163.1	lmo0636
NP_464164.1	lmo0637
NP_464165.1	lmo0638
NP_464166.1	lmo0639
NP_464167.1	lmo0640
NP_464168.1	lmo0641
NP_464169.1	lmo0642
NP_464170.1	lmo0643
NP_464171.1	lmo0644
NP_464172.1	lmo0645
NP_464173.1	lmo0646
NP_464174.1	lmo0647
NP_464175.1	lmo0648
NP_464176.1	lmo0649
NP_464177.1	lmo0650
NP_464178.1	lmo0651
NP_464179.1	lmo0652
NP_464180.1	lmo0653
NP_464181.1	lmo0654
NP_464182.1	lmo0655
NP_464183.1	lmo0656
NP_464184.1	lmo0657
NP_464185.1	lmo0658
NP_464186.1	lmo0659
NP_464187.1	lmo0660
NP_464188.1	lmo0661
NP_464189.1	lmo0662
NP_464190.1	lmo0663
NP_464191.1	lmo0664
NP_464192.1	lmo0665
NP_464193.1	lmo0666
NP_464194.1	lmo0667
NP_464195.1	lmo0668
NP_464196.1	lmo0669
NP_464197.1	lmo0670
NP_464198.1	lmo0671
NP_464199.1	lmo0672
NP_464200.1	lmo0673
NP_464201.1	lmo0674
NP_464202.1	lmo0675
NP_464203.1	lmo0676
NP_464204.1	lmo0677
NP_464205.1	lmo0678
NP_464206.1	lmo0679
NP_464207.1	lmo0680
NP_464208.1	lmo0681
NP_464209.1	lmo0682
NP_464210.1	lmo0683
NP_464211.1	lmo0684
NP_464212.1	lmo0685
NP_464213.1	lmo0686
NP_464214.1	lmo0687
NP_464215.1	lmo0688
NP_464216.1	lmo0689
NP_464217.1	lmo0690
NP_464218.1	lmo0691
NP_464219.1	lmo0692
NP_464220.1	lmo0693
NP_464221.1	lmo0694
NP_464222.1	lmo0695
NP_464223.1	lmo0696
NP_464224.1	lmo0697
NP_464225.1	lmo0698
NP_464226.1	lmo0699
NP_464227.1	lmo0700
NP_464228.1	lmo0701
NP_464229.1	lmo0702
NP_464230.1	lmo0703
NP_464231.1	lmo0704
NP_464232.1	lmo0705
NP_464233.1	lmo0706
NP_464234.1	lmo0707
NP_464235.1	lmo0708
NP_464236.1	lmo0709
NP_464237.1	lmo0710
NP_464238.1	lmo0711
NP_464239.1	lmo0712
NP_464240.1	lmo0713
NP_464241.1	lmo0714
NP_464242.1	lmo0715
NP_464243.1	lmo0716
NP_464244.1	lmo0717
NP_464245.1	lmo0718
NP_464246.1	lmo0719
NP_464247.1	lmo0720
NP_464248.1	lmo0721
NP_464249.1	lmo0722
NP_464250.1	lmo0723
NP_464251.1	lmo0724
NP_464252.1	lmo0725
NP_464253.1	lmo0726
NP_464254.1	lmo0727
NP_464255.1	lmo0728
NP_464256.1	lmo0729
NP_464257.1	lmo0730
NP_464258.1	lmo0731
NP_464259.1	lmo0732
NP_464260.1	lmo0733
NP_464261.1	lmo0734
NP_464262.1	lmo0735
NP_464263.1	lmo0736
NP_464264.1	lmo0737
NP_464265.1	lmo0738
NP_464266.1	lmo0739
NP_464267.1	lmo0740
NP_464268.1	lmo0741
NP_464269.1	lmo0742
NP_464270.1	lmo0743
NP_464271.1	lmo0744
NP_464272.1	lmo0745
NP_464273.1	lmo0746
NP_464274.1	lmo0747
NP_464275.1	lmo0748
NP_464276.1	lmo0749
NP_464277.1	lmo0750
NP_464278.1	lmo0751
NP_464279.1	lmo0752
NP_464280.1	lmo0753
NP_464281.1	lmo0754
NP_464282.1	lmo0755
NP_464283.1	lmo0756
NP_464284.1	lmo0757
NP_464285.1	lmo0758
NP_464286.1	lmo0759
NP_464287.1	lmo0760
NP_464288.1	lmo0761
NP_464289.1	lmo0762
NP_464290.1	lmo0763
NP_464291.1	lmo0764
NP_464292.1	lmo0765
NP_464293.1	lmo0766
NP_464294.1	lmo0767
NP_464295.1	lmo0768
NP_464296.1	lmo0769
NP_464297.1	lmo0770
NP_464298.1	lmo0771
NP_464299.1	lmo0772
NP_464300.1	lmo0773
NP_464301.1	lmo0774
NP_464302.1	lmo0775
NP_464303.1	lmo0776
NP_464304.1	lmo0777
NP_464305.1	lmo0778
NP_464306.1	lmo0779
NP_464307.1	lmo0780
NP_464308.1	lmo0781
NP_464309.1	lmo0782
NP_464310.1	lmo0783
NP_464311.1	lmo0784
NP_464312.1	lmo0785
NP_464313.1	lmo0786
NP_464314.1	lmo0787
NP_464315.1	lmo0788
NP_464316.1	lmo0789
NP_464317.1	lmo0790
NP_464318.1	lmo0791
NP_464319.1	lmo0792
NP_464320.1	lmo0793
NP_464321.1	lmo0794
NP_464322.1	lmo0795
NP_464323.1	lmo0796
NP_464324.1	lmo0797
NP_464325.1	lmo0798
NP_464326.1	lmo0799
NP_464327.1	lmo0800
NP_464328.1	lmo0801
NP_464329.1	lmo0802
NP_464330.1	lmo0803
NP_464331.1	lmo0804
NP_464332.1	lmo0805
NP_464333.1	lmo0806
NP_464334.1	lmo0807
NP_464335.1	lmo0808
NP_464336.1	lmo0809
NP_464337.1	lmo0810
NP_464338.1	lmo0811
NP_464339.1	lmo0812
NP_464340.1	lmo0813
NP_464341.1	lmo0814
NP_464342.1	lmo0815
NP_464343.1	lmo0816
NP_464344.1	lmo0817
NP_464345.1	lmo0818
NP_464346.1	lmo0819
NP_464347.1	lmo0820
NP_464348.1	lmo0821
NP_464349.1	lmo0822
NP_464350.1	lmo0823
NP_464351.1	lmo0824
NP_464352.1	lmo0825
NP_464353.1	lmo0826
NP_464354.1	lmo0827
NP_464355.1	lmo0828
NP_464356.1	lmo0829
NP_464357.1	lmo0830
NP_464358.1	lmo0831
NP_464359.1	lmo0832
NP_464360.1	lmo0833
NP_464361.1	lmo0834
NP_464362.1	lmo0835
NP_464363.1	lmo0836
YP_008475632.1	lmo0837
NP_464364.1	lmo0838
NP_464365.1	lmo0839
NP_464366.1	lmo0840
NP_464367.1	lmo0841
NP_464368.1	lmo0842
NP_464369.1	lmo0843
NP_464370.1	lmo0844
NP_464371.1	lmo0845
NP_464372.1	lmo0846
NP_464373.1	lmo0847
NP_464374.1	lmo0848
NP_464375.1	lmo0849
NP_464376.1	lmo0850
NP_464377.1	lmo0851
NP_464378.1	lmo0852
NP_464379.1	lmo0853
NP_464380.1	lmo0854
NP_464381.1	lmo0855
NP_464382.1	lmo0856
NP_464383.1	lmo0857
NP_464384.1	lmo0858
NP_464385.1	lmo0859
NP_464386.1	lmo0860
NP_464387.1	lmo0861
NP_464388.1	lmo0862
NP_464389.1	lmo0863
NP_464390.1	lmo0864
NP_464391.1	lmo0865
NP_464392.1	lmo0866
YP_008475633.1	lmo0866a
NP_464393.1	lmo0867
NP_464394.1	lmo0868
NP_464395.1	lmo0869
NP_464396.1	lmo0870
NP_464397.1	lmo0871
NP_464398.1	lmo0872
NP_464399.1	lmo0873
NP_464400.1	lmo0874
NP_464401.1	lmo0875
NP_464402.1	lmo0876
NP_464403.1	lmo0877
NP_464404.1	lmo0878
NP_464405.1	lmo0879
NP_464406.1	lmo0880
NP_464407.1	lmo0881
NP_464408.1	lmo0882
NP_464409.1	lmo0883
NP_464410.1	lmo0884
NP_464411.1	lmo0885
NP_464412.1	lmo0886
NP_464413.1	lmo0887
NP_464414.1	lmo0888
NP_464415.1	lmo0889
NP_464416.1	lmo0890
NP_464417.1	lmo0891
NP_464418.1	lmo0892
NP_464419.1	lmo0893
NP_464420.1	lmo0894
NP_464421.1	lmo0895
NP_464422.1	lmo0896
NP_464423.1	lmo0897
NP_464424.1	lmo0898
NP_464425.1	lmo0899
YP_008475634.1	lmo13a
NP_464426.1	lmo0900
NP_464427.1	lmo0901
NP_464428.1	lmo0902
NP_464429.1	lmo0903
NP_464430.1	lmo0904
NP_464431.1	lmo0905
NP_464432.1	lmo0906
NP_464433.1	lmo0907
NP_464434.1	lmo0908
NP_464435.1	lmo0909
NP_464436.1	lmo0910
NP_464437.1	lmo0911
NP_464438.1	lmo0912
NP_464439.1	lmo0913
NP_464440.1	lmo0914
NP_464441.1	lmo0915
NP_464442.1	lmo0916
NP_464443.1	lmo0917
NP_464444.1	lmo0918
NP_464445.1	lmo0919
NP_464446.1	lmo0920
NP_464447.1	lmo0921
NP_464448.1	lmo0922
NP_464449.1	lmo0923
NP_464450.1	lmo0925
NP_464451.1	lmo0926
NP_464452.1	lmo0927
NP_464453.1	lmo0928
NP_464454.1	lmo0929
NP_464455.1	lmo0930
NP_464456.1	lmo0931
NP_464457.1	lmo0932
NP_464458.1	lmo0933
NP_464459.1	lmo0934
NP_464460.1	lmo0935
NP_464461.1	lmo0936
NP_464462.1	lmo0937
NP_464463.1	lmo0938
NP_464464.1	lmo0939
NP_464465.1	lmo0940
NP_464466.1	lmo0941
NP_464467.1	lmo0942
NP_464468.1	lmo0943
NP_464469.1	lmo0944
NP_464470.1	lmo0945
NP_464471.1	lmo0946
NP_464472.1	lmo0947
NP_464473.1	lmo0948
NP_464474.1	lmo0949
NP_464475.1	lmo0950
NP_464476.1	lmo0951
NP_464477.1	lmo0952
NP_464478.1	lmo0953
NP_464479.1	lmo0954
NP_464480.1	lmo0955
NP_464481.1	lmo0956
NP_464482.1	lmo0957
NP_464483.1	lmo0958
NP_464484.1	lmo0959
NP_464485.1	lmo0960
NP_464486.1	lmo0961
NP_464487.1	lmo0962
NP_464488.1	lmo0963
NP_464489.1	lmo0964
NP_464490.1	lmo0965
NP_464491.1	lmo0966
NP_464492.1	lmo0967
NP_464493.1	lmo0968
NP_464494.1	lmo0969
NP_464495.1	lmo0970
NP_464496.1	lmo0971
NP_464497.1	lmo0972
NP_464498.1	lmo0973
NP_464499.1	lmo0974
NP_464500.1	lmo0975
NP_464501.1	lmo0976
NP_464502.1	lmo0977
NP_464503.1	lmo0978
NP_464504.1	lmo0979
NP_464505.1	lmo0980
NP_464506.1	lmo0981
NP_464507.1	lmo0982
NP_464508.1	lmo0983
NP_464509.1	lmo0984
NP_464510.1	lmo0985
NP_464511.1	lmo0986
NP_464512.1	lmo0987
NP_464513.1	lmo0988
NP_464514.1	lmo0989
NP_464515.1	lmo0990
NP_464516.1	lmo0991
NP_464517.1	lmo0992
NP_464518.1	lmo0993
NP_464519.1	lmo0994
NP_464520.1	lmo0995
NP_464521.1	lmo0996
NP_464522.1	lmo0997
