WP_003727573.1	LMON_RS00005
WP_014930797.1	LMON_RS00825
WP_014600402.1	LMON_RS00840
WP_003722706.1	LMON_RS00845
WP_003722707.1	LMON_RS00850
WP_003722709.1	LMON_RS00860
WP_003722710.1	LMON_RS00865
WP_014600404.1	LMON_RS00870
WP_014600405.1	LMON_RS00875
WP_014600406.1	LMON_RS00880
WP_003733141.1	LMON_RS00885
WP_014930801.1	LMON_RS00890
WP_003733142.1	LMON_RS00895
WP_003733143.1	LMON_RS00900
WP_003722718.1	LMON_RS00905
WP_003718261.1	LMON_RS00910
WP_003722719.1	LMON_RS00915
WP_003722720.1	LMON_RS00920
WP_003722721.1	LMON_RS00925
WP_003722722.1	LMON_RS00930
WP_003722723.1	LMON_RS00935
WP_003722724.1	LMON_RS00940
WP_003722725.1	LMON_RS00945
WP_003722726.1	LMON_RS00950
WP_003722727.1	LMON_RS00955
WP_003722728.1	LMON_RS00960
WP_022741810.1	LMON_RS00965
WP_014600409.1	LMON_RS00970
WP_003722731.1	LMON_RS00975
WP_003722732.1	LMON_RS00980
WP_014600410.1	LMON_RS00985
WP_014930805.1	LMON_RS00990
WP_003722735.1	LMON_RS00995
WP_077286449.1	LMON_RS14610
WP_003722736.1	LMON_RS01000
WP_003725735.1	LMON_RS01005
WP_009930499.1	LMON_RS01010
WP_014930806.1	LMON_RS01015
WP_003722740.1	LMON_RS01020
WP_014600413.1	LMON_RS01025
WP_014600414.1	LMON_RS01030
WP_014930807.1	LMON_RS01035
WP_003733153.1	LMON_RS01040
WP_003722745.1	LMON_RS01045
WP_003722746.1	LMON_RS01050
WP_003723740.1	LMON_RS01055
WP_014600416.1	LMON_RS14615
WP_003733155.1	LMON_RS01070
WP_014600417.1	LMON_RS01075
WP_003723744.1	LMON_RS01080
WP_003723745.1	LMON_RS01085
WP_033918406.1	LMON_RS14625
WP_010989377.1	LMON_RS01090
WP_014600418.1	LMON_RS01095
WP_003723749.1	LMON_RS01100
WP_003723750.1	LMON_RS01105
WP_014600419.1	LMON_RS01110
WP_003723894.1	LMON_RS01190
WP_003732822.1	LMON_RS01195
WP_014600420.1	LMON_RS01200
WP_003723897.1	LMON_RS01205
WP_014600421.1	LMON_RS01210
WP_003723900.1	LMON_RS01220
WP_003732825.1	LMON_RS01225
WP_014600422.1	LMON_RS01230
WP_012951129.1	LMON_RS01235
WP_014600423.1	LMON_RS01240
WP_003732830.1	LMON_RS01245
WP_003724085.1	LMON_RS01250
WP_014600424.1	LMON_RS01255
WP_003732831.1	LMON_RS01260
WP_003728079.1	LMON_RS01265
WP_003728078.1	LMON_RS01270
WP_003726896.1	LMON_RS01275
WP_003732832.1	LMON_RS01280
WP_003718336.1	LMON_RS01285
WP_003726838.1	LMON_RS01290
WP_003732833.1	LMON_RS01295
WP_003723031.1	LMON_RS01300
WP_014600425.1	LMON_RS14630
WP_014930810.1	LMON_RS01305
WP_014600427.1	LMON_RS01310
WP_003723045.1	LMON_RS01315
WP_003723046.1	LMON_RS01320
WP_014600428.1	LMON_RS01325
WP_014600429.1	LMON_RS01330
WP_010989385.1	LMON_RS01335
WP_014600430.1	LMON_RS01340
WP_014600431.1	LMON_RS01345
WP_014600432.1	LMON_RS01350
WP_014600433.1	LMON_RS01355
WP_003723053.1	LMON_RS01360
WP_012951146.1	LMON_RS01365
WP_012951147.1	LMON_RS01370
WP_014600434.1	LMON_RS01375
WP_010989391.1	LMON_RS01380
WP_003722891.1	LMON_RS01385
WP_003729164.1	LMON_RS01390
WP_014600435.1	LMON_RS01395
WP_009924286.1	LMON_RS01400
WP_072215868.1	LMON_RS14635
WP_003722895.1	LMON_RS01405
WP_014600436.1	LMON_RS01410
WP_009924288.1	LMON_RS01415
WP_003732853.1	LMON_RS01420
WP_014930811.1	LMON_RS01425
WP_003722900.1	LMON_RS01430
WP_014600438.1	LMON_RS01440
WP_014600439.1	LMON_RS01445
WP_014588998.1	LMON_RS01450
WP_014600440.1	LMON_RS01455
WP_014600441.1	LMON_RS01460
WP_009930687.1	LMON_RS01465
WP_003722903.1	LMON_RS01470
WP_003722904.1	LMON_RS01475
WP_003722905.1	LMON_RS01480
WP_014600442.1	LMON_RS01485
WP_014930813.1	LMON_RS01490
WP_003722908.1	LMON_RS01495
WP_003722909.1	LMON_RS01500
WP_003722910.1	LMON_RS01505
WP_003722911.1	LMON_RS01510
WP_014930814.1	LMON_RS01515
WP_008946708.1	LMON_RS01520
WP_077346011.1	LMON_RS01525
WP_014930816.1	LMON_RS01530
WP_014600445.1	LMON_RS01535
WP_014600446.1	LMON_RS01540
WP_014600447.1	LMON_RS01545
WP_014600448.1	LMON_RS01550
WP_014600449.1	LMON_RS01555
WP_014600450.1	LMON_RS01560
WP_014600451.1	LMON_RS01565
WP_014600452.1	LMON_RS01570
WP_014600453.1	LMON_RS01575
WP_003722919.1	LMON_RS01580
WP_014600454.1	LMON_RS01585
WP_003724232.1	LMON_RS01590
WP_010989408.1	LMON_RS01595
WP_014600456.1	LMON_RS01600
WP_014600457.1	LMON_RS01605
WP_014600458.1	LMON_RS01610
WP_014600459.1	LMON_RS01615
WP_014600460.1	LMON_RS01620
WP_014600461.1	LMON_RS01625
WP_014600462.1	LMON_RS01630
WP_014600463.1	LMON_RS01635
WP_014600464.1	LMON_RS01640
WP_014600465.1	LMON_RS01645
WP_014600466.1	LMON_RS01650
WP_014600467.1	LMON_RS01655
WP_014930821.1	LMON_RS01660
WP_014600469.1	LMON_RS01665
WP_003722934.1	LMON_RS01670
WP_014600470.1	LMON_RS01675
WP_014600471.1	LMON_RS01680
WP_072215758.1	LMON_RS01685
WP_077346012.1	LMON_RS14640
WP_014600472.1	LMON_RS01690
WP_014600473.1	LMON_RS01695
WP_077346013.1	LMON_RS14645
WP_077346014.1	LMON_RS01700
WP_014930822.1	LMON_RS01705
WP_014600476.1	LMON_RS01710
WP_010989426.1	LMON_RS01715
WP_014600477.1	LMON_RS01720
WP_014600478.1	LMON_RS01725
WP_003721256.1	LMON_RS01730
WP_014600479.1	LMON_RS01735
WP_014930824.1	LMON_RS01740
WP_014600481.1	LMON_RS01745
WP_077346029.1	LMON_RS01750
WP_014600483.1	LMON_RS01755
WP_077346016.1	LMON_RS01760
WP_014600485.1	LMON_RS01765
WP_014600486.1	LMON_RS01770
WP_014600487.1	LMON_RS01775
WP_003723195.1	LMON_RS01780
WP_003728150.1	LMON_RS01785
WP_003733018.1	LMON_RS01790
WP_003723198.1	LMON_RS01795
WP_003723199.1	LMON_RS01800
WP_003723200.1	LMON_RS01805
WP_009924314.1	LMON_RS01810
WP_003723202.1	LMON_RS01815
WP_003723203.1	LMON_RS01820
WP_014600488.1	LMON_RS01825
WP_012951185.1	LMON_RS01830
WP_003733014.1	LMON_RS14650
WP_003723206.1	LMON_RS01835
WP_003723207.1	LMON_RS01840
WP_010989435.1	LMON_RS01845
WP_003723209.1	LMON_RS01850
WP_014600489.1	LMON_RS01855
WP_003723211.1	LMON_RS01860
WP_003733011.1	LMON_RS01865
WP_003733010.1	LMON_RS01870
WP_010989436.1	LMON_RS01875
WP_003723214.1	LMON_RS01880
WP_003723215.1	LMON_RS01885
WP_014600490.1	LMON_RS01890
WP_014600491.1	LMON_RS01895
WP_014600492.1	LMON_RS01900
WP_009914285.1	LMON_RS01905
WP_003733006.1	LMON_RS01910
WP_003723221.1	LMON_RS01915
WP_003723222.1	LMON_RS01920
WP_014600493.1	LMON_RS01925
WP_003733949.1	LMON_RS01930
WP_003723086.1	LMON_RS01935
WP_003723087.1	LMON_RS01940
WP_014600494.1	LMON_RS01945
WP_009926444.1	LMON_RS01950
WP_009926443.1	LMON_RS01955
WP_014930827.1	LMON_RS01960
WP_009924297.1	LMON_RS01965
WP_003723093.1	LMON_RS01970
WP_014600495.1	LMON_RS01975
WP_003723095.1	LMON_RS01980
WP_014600496.1	LMON_RS01985
WP_014600497.1	LMON_RS01990
WP_014600498.1	LMON_RS01995
WP_010989448.1	LMON_RS02000
WP_003723100.1	LMON_RS02005
WP_014600499.1	LMON_RS02010
WP_003723102.1	LMON_RS02015
WP_003741454.1	LMON_RS02020
WP_003723104.1	LMON_RS02025
WP_003723105.1	LMON_RS02030
WP_003723106.1	LMON_RS02035
WP_014600501.1	LMON_RS02040
WP_003732991.1	LMON_RS02045
WP_003732990.1	LMON_RS02050
WP_009932304.1	LMON_RS02055
WP_003729043.1	LMON_RS02060
WP_003723113.1	LMON_RS02065
WP_077346030.1	LMON_RS02070
WP_010989451.1	LMON_RS02075
WP_003723116.1	LMON_RS02080
WP_003734097.1	LMON_RS02085
WP_003732986.1	LMON_RS02090
WP_003723119.1	LMON_RS02095
WP_003723120.1	LMON_RS02100
WP_003723121.1	LMON_RS02105
WP_014600503.1	LMON_RS02110
WP_072218856.1	LMON_RS14660
WP_077906956.1	LMON_RS02120
WP_003728115.1	LMON_RS02125
WP_003732982.1	LMON_RS02130
WP_003733946.1	LMON_RS02135
WP_003722966.1	LMON_RS02140
WP_014600506.1	LMON_RS02145
WP_003722968.1	LMON_RS02150
WP_003722969.1	LMON_RS02155
WP_003732980.1	LMON_RS02160
WP_014600507.1	LMON_RS02165
WP_014600508.1	LMON_RS02170
WP_014600509.1	LMON_RS02175
WP_009912760.1	LMON_RS02180
WP_014600510.1	LMON_RS02185
WP_012581954.1	LMON_RS02190
WP_003722977.1	LMON_RS02195
WP_014600511.1	LMON_RS02200
WP_014600512.1	LMON_RS02205
WP_003722980.1	LMON_RS02210
WP_014600513.1	LMON_RS02215
WP_014600514.1	LMON_RS02220
WP_014600515.1	LMON_RS02225
WP_014930830.1	LMON_RS02230
WP_009925939.1	LMON_RS02235
WP_014600517.1	LMON_RS02240
WP_014930831.1	LMON_RS02245
WP_014600519.1	LMON_RS02250
WP_014600520.1	LMON_RS02255
WP_014930832.1	LMON_RS02260
WP_003722994.1	LMON_RS02265
WP_003729005.1	LMON_RS02270
WP_014600522.1	LMON_RS02275
WP_003729003.1	LMON_RS02280
WP_014930834.1	LMON_RS02285
WP_003729001.1	LMON_RS02290
WP_014600523.1	LMON_RS02295
WP_003728999.1	LMON_RS14670
WP_003721237.1	LMON_RS02300
WP_010989471.1	LMON_RS02305
WP_014600524.1	LMON_RS02310
WP_014600525.1	LMON_RS02315
WP_014600526.1	LMON_RS02320
WP_003721242.1	LMON_RS02325
WP_014600527.1	LMON_RS02330
WP_003721244.1	LMON_RS02335
WP_003721245.1	LMON_RS02340
WP_014600528.1	LMON_RS02345
WP_072219306.1	LMON_RS14675
WP_014600529.1	LMON_RS02350
WP_014600530.1	LMON_RS02355
WP_009925480.1	LMON_RS02360
WP_014600531.1	LMON_RS02370
WP_014600532.1	LMON_RS02375
WP_014600533.1	LMON_RS02380
WP_003727316.1	LMON_RS14680
WP_014600534.1	LMON_RS02385
WP_003721264.1	LMON_RS02390
WP_009925059.1	LMON_RS02395
WP_003733208.1	LMON_RS14685
WP_003733207.1	LMON_RS02400
WP_014600535.1	LMON_RS02405
WP_003725208.1	LMON_RS02410
WP_014600536.1	LMON_RS02415
WP_003721271.1	LMON_RS02420
WP_014600537.1	LMON_RS02425
WP_077346031.1	LMON_RS14695
WP_003718584.1	LMON_RS02430
WP_014600538.1	LMON_RS02435
WP_014600539.1	LMON_RS02440
WP_014600540.1	LMON_RS02445
WP_003725703.1	LMON_RS02450
WP_014600541.1	LMON_RS02455
WP_003721278.1	LMON_RS02460
WP_014600542.1	LMON_RS02465
WP_003721280.1	LMON_RS02470
WP_003733747.1	LMON_RS02475
WP_003721282.1	LMON_RS02480
WP_014600543.1	LMON_RS02485
WP_003721284.1	LMON_RS02490
WP_014600544.1	LMON_RS02495
WP_014600545.1	LMON_RS02500
WP_014600546.1	LMON_RS02505
WP_003733192.1	LMON_RS02510
WP_003733191.1	LMON_RS02515
WP_003721290.1	LMON_RS02520
WP_014600547.1	LMON_RS02525
WP_003730559.1	LMON_RS02530
WP_003721293.1	LMON_RS02535
WP_014600548.1	LMON_RS02540
WP_003725720.1	LMON_RS02545
WP_014930835.1	LMON_RS02550
WP_003721297.1	LMON_RS02555
WP_003721298.1	LMON_RS02560
WP_003721299.1	LMON_RS02565
WP_014600550.1	LMON_RS02570
WP_003721301.1	LMON_RS02575
WP_014600551.1	LMON_RS02580
WP_014600552.1	LMON_RS02585
WP_012951252.1	LMON_RS02590
WP_014600553.1	LMON_RS02595
WP_045131588.1	LMON_RS02600
WP_003721315.1	LMON_RS02605
WP_003721316.1	LMON_RS02610
WP_014600555.1	LMON_RS02615
WP_003721318.1	LMON_RS02620
WP_014600556.1	LMON_RS02625
WP_003721320.1	LMON_RS02630
WP_003721321.1	LMON_RS02635
WP_014600557.1	LMON_RS02640
WP_003732671.1	LMON_RS02645
WP_014600558.1	LMON_RS02650
WP_003721325.1	LMON_RS02655
WP_009933022.1	LMON_RS02660
WP_003721327.1	LMON_RS02665
WP_003721328.1	LMON_RS02670
WP_003721329.1	LMON_RS02675
WP_003721330.1	LMON_RS02680
WP_014600560.1	LMON_RS02685
WP_014600561.1	LMON_RS02690
WP_003721333.1	LMON_RS02695
WP_003721334.1	LMON_RS02700
WP_014600562.1	LMON_RS02705
WP_003721336.1	LMON_RS02710
WP_003721337.1	LMON_RS02715
WP_003721338.1	LMON_RS02720
WP_014600563.1	LMON_RS02725
WP_014600564.1	LMON_RS02730
WP_003721341.1	LMON_RS02735
WP_003721342.1	LMON_RS02740
WP_014600565.1	LMON_RS02745
WP_010989512.1	LMON_RS02750
WP_003721345.1	LMON_RS02755
WP_014600566.1	LMON_RS02760
WP_003721347.1	LMON_RS02765
WP_014600567.1	LMON_RS02770
WP_014600568.1	LMON_RS02775
WP_003721350.1	LMON_RS02780
WP_003721351.1	LMON_RS02785
WP_003721352.1	LMON_RS02790
WP_003721353.1	LMON_RS02795
WP_003721354.1	LMON_RS02800
WP_003721355.1	LMON_RS02805
WP_014600569.1	LMON_RS02810
WP_010989517.1	LMON_RS02815
WP_003721358.1	LMON_RS02820
WP_014600570.1	LMON_RS02825
WP_003721360.1	LMON_RS02830
WP_014600571.1	LMON_RS02835
WP_003721362.1	LMON_RS02840
WP_003721363.1	LMON_RS02845
WP_014600572.1	LMON_RS02850
WP_009924768.1	LMON_RS02855
WP_014930836.1	LMON_RS02860
WP_003721367.1	LMON_RS02865
WP_003721368.1	LMON_RS02870
WP_003721369.1	LMON_RS02875
WP_014601749.1	LMON_RS02880
WP_003723383.1	LMON_RS02885
WP_003723384.1	LMON_RS02890
WP_009925352.1	LMON_RS02895
WP_003732650.1	LMON_RS02900
WP_012951274.1	LMON_RS02905
WP_014600574.1	LMON_RS02910
WP_014600575.1	LMON_RS02915
WP_003723390.1	LMON_RS02920
WP_003732646.1	LMON_RS02925
WP_014600577.1	LMON_RS02930
WP_014600578.1	LMON_RS02935
WP_014600579.1	LMON_RS02940
WP_009912062.1	LMON_RS02945
WP_077346032.1	LMON_RS02950
WP_022741820.1	LMON_RS02955
WP_014600582.1	LMON_RS02960
WP_003727259.1	LMON_RS02965
WP_003723400.1	LMON_RS02970
WP_003723401.1	LMON_RS02975
WP_014600583.1	LMON_RS02980
WP_014600584.1	LMON_RS02985
WP_014600585.1	LMON_RS02990
WP_009924525.1	LMON_RS02995
WP_003732635.1	LMON_RS03000
WP_010989526.1	LMON_RS03005
WP_014600586.1	LMON_RS03010
WP_003724062.1	LMON_RS03015
WP_003730999.1	LMON_RS03020
WP_009925607.1	LMON_RS03025
WP_003738285.1	LMON_RS03030
WP_003724169.1	LMON_RS03035
WP_003732631.1	LMON_RS03040
WP_003732630.1	LMON_RS03045
WP_003722805.1	LMON_RS03050
WP_014600587.1	LMON_RS03055
WP_014600588.1	LMON_RS03060
WP_014930838.1	LMON_RS03065
WP_014600589.1	LMON_RS03070
WP_009924454.1	LMON_RS03075
WP_003722811.1	LMON_RS03080
WP_014600590.1	LMON_RS03085
WP_003722813.1	LMON_RS03090
WP_010989529.1	LMON_RS03095
WP_003722815.1	LMON_RS03100
WP_014600591.1	LMON_RS03105
WP_014600592.1	LMON_RS03110
WP_003722818.1	LMON_RS03115
WP_003722819.1	LMON_RS03120
WP_003722820.1	LMON_RS03125
WP_003722821.1	LMON_RS03130
WP_014600593.1	LMON_RS03135
WP_014600594.1	LMON_RS03140
WP_009932137.1	LMON_RS03145
WP_014600595.1	LMON_RS03150
WP_003732623.1	LMON_RS03155
WP_009931475.1	LMON_RS03160
WP_003722829.1	LMON_RS03165
WP_003722830.1	LMON_RS03170
WP_003722831.1	LMON_RS03175
WP_014600596.1	LMON_RS03180
WP_003722833.1	LMON_RS03185
WP_003722834.1	LMON_RS03190
WP_072217140.1	LMON_RS14710
WP_003732618.1	LMON_RS03205
WP_012951338.1	LMON_RS03210
WP_003722839.1	LMON_RS03215
WP_014600597.1	LMON_RS03220
WP_003722841.1	LMON_RS03225
WP_003732614.1	LMON_RS03230
WP_015454299.1	LMON_RS03235
WP_003732612.1	LMON_RS03240
WP_014600599.1	LMON_RS03245
WP_003721764.1	LMON_RS03250
WP_003721765.1	LMON_RS03255
WP_003721766.1	LMON_RS03260
WP_010989537.1	LMON_RS03265
WP_003721769.1	LMON_RS03275
WP_003733993.1	LMON_RS03280
WP_003721771.1	LMON_RS03285
WP_003732609.1	LMON_RS03290
WP_022741823.1	LMON_RS03295
WP_003721774.1	LMON_RS03300
WP_003721775.1	LMON_RS03305
WP_003721776.1	LMON_RS03310
WP_009931745.1	LMON_RS03315
WP_003721778.1	LMON_RS03320
WP_014600600.1	LMON_RS03325
WP_003721781.1	LMON_RS03330
WP_003721782.1	LMON_RS03335
WP_003721783.1	LMON_RS03340
WP_003721784.1	LMON_RS03345
WP_014600601.1	LMON_RS03350
WP_003721786.1	LMON_RS03355
WP_014600602.1	LMON_RS03360
WP_077346033.1	LMON_RS03365
WP_003721789.1	LMON_RS14715
WP_003721790.1	LMON_RS03370
WP_003733157.1	LMON_RS14720
WP_003721792.1	LMON_RS03375
WP_003721793.1	LMON_RS03380
WP_003721794.1	LMON_RS03385
WP_003733760.1	LMON_RS14725
WP_003729398.1	LMON_RS03390
WP_014600604.1	LMON_RS03395
WP_003718817.1	LMON_RS03400
WP_003733160.1	LMON_RS03405
WP_003721799.1	LMON_RS03410
WP_003721800.1	LMON_RS03415
WP_003733161.1	LMON_RS03420
WP_003721802.1	LMON_RS03425
WP_003721803.1	LMON_RS03430
WP_003721804.1	LMON_RS03435
WP_003721806.1	LMON_RS03440
WP_009925499.1	LMON_RS03445
WP_003721808.1	LMON_RS03450
WP_003733162.1	LMON_RS03455
WP_003721810.1	LMON_RS03460
WP_003721811.1	LMON_RS03465
WP_003721812.1	LMON_RS03470
WP_003721813.1	LMON_RS03475
WP_003721814.1	LMON_RS03480
WP_014600605.1	LMON_RS03485
WP_010989545.1	LMON_RS03490
WP_003721817.1	LMON_RS03495
WP_014600606.1	LMON_RS03500
WP_003721819.1	LMON_RS03505
WP_003721820.1	LMON_RS03510
WP_014600607.1	LMON_RS03515
WP_014600608.1	LMON_RS03520
WP_003721823.1	LMON_RS03525
WP_003721824.1	LMON_RS03530
WP_009916692.1	LMON_RS03535
WP_003733169.1	LMON_RS03540
WP_003721827.1	LMON_RS03545
WP_003727196.1	LMON_RS03550
WP_009924584.1	LMON_RS03555
WP_014600609.1	LMON_RS03560
WP_010989548.1	LMON_RS03565
WP_003721832.1	LMON_RS03570
WP_003721833.1	LMON_RS03575
WP_003721834.1	LMON_RS03580
WP_003721835.1	LMON_RS03585
WP_003733172.1	LMON_RS03590
WP_014600610.1	LMON_RS03595
WP_014600611.1	LMON_RS03600
WP_010989550.1	LMON_RS03605
WP_003721840.1	LMON_RS03610
WP_003721841.1	LMON_RS03615
WP_014600612.1	LMON_RS03620
WP_014600613.1	LMON_RS03625
WP_003733177.1	LMON_RS03630
WP_003721845.1	LMON_RS03635
WP_014600614.1	LMON_RS03640
WP_003732898.1	LMON_RS03650
WP_003721848.1	LMON_RS03655
WP_003730617.1	LMON_RS03660
WP_003721850.1	LMON_RS03665
WP_003721851.1	LMON_RS03670
WP_014930845.1	LMON_RS03675
WP_003721853.1	LMON_RS03680
WP_014600615.1	LMON_RS03685
WP_003721855.1	LMON_RS03690
WP_003721856.1	LMON_RS03695
WP_003732901.1	LMON_RS03700
WP_003721858.1	LMON_RS03705
WP_014600616.1	LMON_RS03710
WP_010989554.1	LMON_RS03715
WP_003721861.1	LMON_RS03720
WP_009925969.1	LMON_RS03725
WP_010989555.1	LMON_RS03730
WP_014600617.1	LMON_RS03735
WP_003732907.1	LMON_RS03740
WP_003732909.1	LMON_RS03750
WP_003733768.1	LMON_RS03755
WP_003721866.1	LMON_RS03760
WP_003721867.1	LMON_RS03765
WP_014600618.1	LMON_RS03770
WP_014600619.1	LMON_RS03775
WP_003721870.1	LMON_RS03780
WP_003721871.1	LMON_RS03785
WP_014600620.1	LMON_RS03790
WP_010989559.1	LMON_RS03795
WP_010989560.1	LMON_RS03800
WP_014600621.1	LMON_RS03805
WP_003721876.1	LMON_RS03810
WP_014600622.1	LMON_RS03815
WP_014600623.1	LMON_RS03820
WP_003721879.1	LMON_RS03825
WP_014600624.1	LMON_RS03830
WP_014600625.1	LMON_RS03835
WP_014600626.1	LMON_RS03840
WP_003721883.1	LMON_RS03845
WP_003721884.1	LMON_RS03850
WP_009925304.1	LMON_RS03855
WP_014600627.1	LMON_RS03860
WP_003732919.1	LMON_RS03865
WP_009932871.1	LMON_RS03870
WP_003721889.1	LMON_RS03875
WP_010989567.1	LMON_RS03880
WP_010989568.1	LMON_RS03885
WP_014600628.1	LMON_RS03890
WP_003732924.1	LMON_RS03895
WP_003721894.1	LMON_RS03900
WP_003732925.1	LMON_RS03905
WP_014600629.1	LMON_RS03910
WP_003732926.1	LMON_RS03915
WP_003721898.1	LMON_RS03920
WP_003721899.1	LMON_RS03925
WP_003721900.1	LMON_RS03930
WP_003721901.1	LMON_RS03935
WP_010989569.1	LMON_RS03940
WP_003723799.1	LMON_RS03945
WP_014600631.1	LMON_RS03950
