Elements	begin	end	length	strand	type	details	synonim
LMON_RS00390	81061.0	81849.0	789.0	+	Gene		
LMON_RS00395	81851.0	82474.0	624.0	+	Gene		
LMON_RS00400	82711.0	83037.0	327.0	+	Gene		
LMON_RS00405	83132.0	83500.0	369.0	-	Gene		
LMON_RS00410	83556.0	84539.0	984.0	-	Gene		
LMON_RS00415	84930.0	85619.0	690.0	+	Gene		
LMON_RS00420	85697.0	91576.0	5880.0	+	Gene		
LMON_RS00425	91573.0	93879.0	2307.0	+	Gene		
LMON_RS00430	93936.0	94178.0	243.0	+	Gene		
LMON_RS00435	94190.0	95221.0	1032.0	+	Gene		
LMON_RS00440	95218.0	96714.0	1497.0	+	Gene		
LMON_RS00445	96711.0	97580.0	870.0	+	Gene		
LMON_RS00450	97581.0	98951.0	1371.0	+	Gene		
LMON_RS00455	98964.0	99287.0	324.0	+	Gene		
LMON_RS00460	99277.0	99837.0	561.0	+	Gene		
LMON_RS00465	100013.0	100645.0	633.0	+	Gene		
LMON_RS00470	100943.0	101908.0	966.0	+	Gene		
LMON_RS00475	101932.0	102738.0	807.0	+	Gene		
LMON_RS00480	102760.0	103671.0	912.0	+	Gene		
LMON_RS00485	103798.0	104187.0	390.0	+	Gene		
LMON_RS00490	104309.0	104659.0	351.0	+	Gene		
LMON_RS00495	104725.0	105018.0	294.0	-	Gene		
LMON_RS00500	105130.0	105420.0	291.0	+	Gene		
LMON_RS00505	105434.0	106066.0	633.0	+	Gene		
LMON_RS00510	106159.0	106530.0	372.0	+	Gene		
LMON_RS00515	106823.0	109093.0	2271.0	+	Gene		
LMON_RS00520	109196.0	110098.0	903.0	+	Gene		
LMON_RS00525	110123.0	111904.0	1782.0	-	Gene		
LMON_RS00530	111897.0	113639.0	1743.0	-	Gene		
LMON_RS00535	113782.0	114615.0	834.0	+	Gene		
LMON_RS00540	114650.0	115765.0	1116.0	+	Gene		
LMON_RS00545	115872.0	116579.0	708.0	+	Gene		
LMON_RS00550	116549.0	117244.0	696.0	-	Gene		
LMON_RS00555	117463.0	117915.0	453.0	-	Gene		
LMON_RS00560	117921.0	118256.0	336.0	-	Gene		
LMON_RS00565	118473.0	118901.0	429.0	+	Gene		
LMON_RS00570	118913.0	119329.0	417.0	+	Gene		
LMON_RS00575	119607.0	119996.0	390.0	+	Gene		
LMON_RS00580	120009.0	120521.0	513.0	+	Gene		
LMON_RS00585	120569.0	120871.0	303.0	+	Gene		
LMON_RS00590	120913.0	121317.0	405.0	+	Gene		
LMON_RS00595	121304.0	123172.0	1869.0	+	Gene		
LMON_RS00600	123169.0	123987.0	819.0	+	Gene		
LMON_RS00605	123997.0	125133.0	1137.0	+	Gene		
LMON_RS00610	125123.0	125422.0	300.0	+	Gene		
LMON_RS00615	125437.0	126012.0	576.0	+	Gene		
LMON_RS00620	126027.0	126506.0	480.0	+	Gene		
LMON_RS00625	126503.0	127039.0	537.0	+	Gene		
LMON_RS00630	127058.0	127480.0	423.0	+	Gene		
LMON_RS00635	127461.0	128189.0	729.0	+	Gene		
LMON_RS00640	128228.0	130582.0	2355.0	-	Gene		
LMON_RS00645	130770.0	131519.0	750.0	+	Gene		
LMON_RS00650	131589.0	133097.0	1509.0	-	Gene		
LMON_RS00655	133276.0	133509.0	234.0	+	Gene		
LMON_RS00660	133521.0	133799.0	279.0	+	Gene		
LMON_RS00665	134129.0	135703.0	1575.0	+	Gene		
LMON_RS00670	135805.0	136755.0	951.0	+	Gene		
LMON_RS00675	136766.0	137659.0	894.0	+	Gene		
LMON_RS00680	137860.0	138144.0	285.0	+	Gene		
LMON_RS00685	138145.0	138513.0	369.0	+	Gene		
LMON_RS00690	138426.0	139817.0	1392.0	+	Gene		
LMON_RS00695	139829.0	140266.0	438.0	+	Gene		
LMON_RS00700	140266.0	140523.0	258.0	+	Gene		
LMON_RS00705	140724.0	140930.0	207.0	+	Gene		
LMON_RS00710	140944.0	141351.0	408.0	+	Gene		
LMON_RS00715	141733.0	142116.0	384.0	+	Gene		
LMON_RS00720	142250.0	142621.0	372.0	+	Gene		
LMON_RS00725	142666.0	142977.0	312.0	+	Gene		
LMON_RS00730	143115.0	144770.0	1656.0	-	Gene		
LMON_RS00735	144992.0	145930.0	939.0	+	Gene		
LMON_RS00740	145943.0	146647.0	705.0	+	Gene		
LMON_RS00745	146596.0	147402.0	807.0	+	Gene		
LMON_RS00750	147406.0	148086.0	681.0	-	Gene		
LMON_RS00755	148366.0	150705.0	2340.0	+	Gene		
LMON_RS00760	150751.0	151563.0	813.0	+	Gene		
LMON_RS00765	151847.0	153931.0	2085.0	+	Gene		
LMON_RS00770	154124.0	155839.0	1716.0	+	Gene		
LMON_RS00775	155881.0	156711.0	831.0	-	Gene		
LMON_RS00780	156928.0	157920.0	993.0	+	Gene		
LMON_RS00785	157926.0	158759.0	834.0	+	Gene		
LMON_RS00790	158770.0	159159.0	390.0	+	Gene		
LMON_RS00795	159217.0	159969.0	753.0	+	Gene		
LMON_RS00800	159953.0	160225.0	273.0	+	Gene		
LMON_RS00805	160222.0	161103.0	882.0	+	Gene		
LMON_RS00810	161148.0	161432.0	285.0	-	Gene		
LMON_RS00815	161547.0	162404.0	858.0	+	Gene		
LMON_RS00820	162466.0	163731.0	1266.0	+	Gene		
LMON_RS00825	163971.0	166469.0	2499.0	+	Gene		
LMON_RS00830	166533.0	167670.0	1138.0	-	Gene		
LMON_RS00840	167774.0	169021.0	1248.0	-	Gene		
LMON_RS00845	169299.0	170159.0	861.0	+	Gene		
LMON_RS00850	170228.0	172225.0	1998.0	+	Gene		
LMON_RS00855	172390.0	173604.0	1215.0	+	Gene		
LMON_RS00860	173640.0	174518.0	879.0	+	Gene		
LMON_RS00865	174518.0	175366.0	849.0	+	Gene		
LMON_RS00870	175394.0	176650.0	1257.0	+	Gene		
LMON_RS00875	176733.0	180035.0	3303.0	+	Gene		
LMON_RS00880	180038.0	182329.0	2292.0	+	Gene		
LMON_RS00885	182333.0	183994.0	1662.0	+	Gene		
LMON_RS00890	184091.0	184864.0	774.0	+	Gene		
LMON_RS00895	185156.0	186382.0	1227.0	+	Gene		
LMON_RS00900	186484.0	187059.0	576.0	+	Gene		
LMON_RS00905	187052.0	187939.0	888.0	+	Gene		
LMON_RS00910	188059.0	188316.0	258.0	+	Gene		
LMON_RS00915	188455.0	189336.0	882.0	+	Gene		
LMON_RS00920	189358.0	190095.0	738.0	+	Gene		
LMON_RS00925	190259.0	191077.0	819.0	+	Gene		
LMON_RS00930	191252.0	191929.0	678.0	+	Gene		
LMON_RS00935	191978.0	192670.0	693.0	+	Gene		
LMON_RS00940	192667.0	193875.0	1209.0	+	Gene		
LMON_RS00945	194560.0	194868.0	309.0	+	Gene		
LMON_RS00950	194988.0	195296.0	309.0	+	Gene		
LMON_RS00955	195683.0	197056.0	1374.0	+	Gene		
LMON_RS00960	197107.0	198063.0	957.0	+	Gene		
LMON_RS00965	198106.0	198819.0	714.0	-	Gene		
LMON_RS00970	199090.0	200043.0	954.0	-	Gene		
LMON_RS00975	200285.0	201874.0	1590.0	+	Gene		
LMON_RS00980	202205.0	203737.0	1533.0	+	Gene		
LMON_RS00985	203936.0	205855.0	1920.0	+	Gene		
LMON_RS00990	205892.0	206761.0	870.0	+	Gene		
LMON_RS00995	206833.0	207156.0	324.0	+	Gene		
LMON_RS14610	207074.0	207253.0	180.0	+	Gene		
LMON_RS01000	207291.0	207752.0	462.0	+	Gene		
LMON_RS01005	207803.0	208135.0	333.0	-	Gene		
LMON_RS01010	208202.0	208876.0	675.0	-	Gene		
LMON_RS01015	208953.0	209900.0	948.0	-	Gene		
LMON_RS01020	210194.0	210817.0	624.0	+	Gene		
LMON_RS01025	210907.0	211491.0	585.0	+	Gene		
LMON_RS01030	211598.0	212158.0	561.0	+	Gene		
LMON_RS01035	212273.0	215812.0	3540.0	+	Gene		
LMON_RS01040	215843.0	217432.0	1590.0	+	Gene		
LMON_RS01045	217456.0	217734.0	279.0	+	Gene		
LMON_RS01050	217963.0	218349.0	387.0	+	Gene		
LMON_RS01055	218500.0	218928.0	429.0	+	Gene		
LMON_RS14615	219035.0	220981.0	1947.0	+	Gene		
LMON_RS01070	221327.0	223402.0	2076.0	+	Gene		
LMON_RS01075	223518.0	224297.0	780.0	+	Gene		
LMON_RS01080	224313.0	225197.0	885.0	+	Gene		
LMON_RS01085	225313.0	226239.0	927.0	+	Gene		
LMON_RS14620	226275.0	226599.0	325.0	+	Gene		
LMON_RS14625	226883.0	227017.0	135.0	+	Gene		
LMON_RS01090	227135.0	227950.0	816.0	+	Gene		
LMON_RS01095	227964.0	228338.0	375.0	+	Gene		
LMON_RS01100	228331.0	228810.0	480.0	+	Gene		
LMON_RS01105	228887.0	229882.0	996.0	+	Gene		
LMON_RS01110	229997.0	231493.0	1497.0	+	Gene		
LMON_RS01115	231939.0	233499.0	1561.0	+	NcRNA	rRNA	
LMON_RS01120	233736.0	236671.0	2936.0	+	NcRNA	rRNA	
LMON_RS01125	236748.0	236863.0	116.0	+	NcRNA	rRNA	
LMON_RS01130	236873.0	236945.0	73.0	+	NcRNA	tRNA	
LMON_RS01135	236954.0	237029.0	76.0	+	NcRNA	tRNA	
LMON_RS01140	237071.0	237143.0	73.0	+	NcRNA	tRNA	
LMON_RS01145	237149.0	237230.0	82.0	+	NcRNA	tRNA	
LMON_RS01150	237245.0	237316.0	72.0	+	NcRNA	tRNA	
LMON_RS01155	237338.0	237423.0	86.0	+	NcRNA	tRNA	
LMON_RS01160	237436.0	237509.0	74.0	+	NcRNA	tRNA	
LMON_RS01165	237520.0	237593.0	74.0	+	NcRNA	tRNA	
LMON_RS01170	237613.0	237688.0	76.0	+	NcRNA	tRNA	
LMON_RS01175	237961.0	239521.0	1561.0	+	NcRNA	rRNA	
LMON_RS01180	239758.0	242693.0	2936.0	+	NcRNA	rRNA	
LMON_RS01185	242770.0	242885.0	116.0	+	NcRNA	rRNA	
LMON_RS01190	243030.0	243488.0	459.0	+	Gene		
LMON_RS01195	243501.0	244019.0	519.0	+	Gene		
LMON_RS01200	244016.0	245038.0	1023.0	+	Gene		
LMON_RS01205	245067.0	247529.0	2463.0	+	Gene		
LMON_RS01210	247675.0	249048.0	1374.0	+	Gene		
LMON_RS01215	249182.0	250254.0	1073.0	+	Gene		
LMON_RS01220	250274.0	250972.0	699.0	+	Gene		
LMON_RS01225	250965.0	251438.0	474.0	+	Gene		
LMON_RS01230	251457.0	252932.0	1476.0	+	Gene		
LMON_RS01235	253330.0	253944.0	615.0	+	Gene		
LMON_RS01240	253951.0	255366.0	1416.0	+	Gene		
LMON_RS01245	255370.0	255780.0	411.0	+	Gene		
LMON_RS01250	255780.0	256535.0	756.0	+	Gene		
LMON_RS01255	256538.0	257050.0	513.0	+	Gene		
LMON_RS01260	257131.0	257736.0	606.0	+	Gene		
LMON_RS01265	257840.0	257989.0	150.0	+	Gene		
LMON_RS01270	258009.0	258188.0	180.0	+	Gene		
LMON_RS01275	258318.0	258851.0	534.0	+	Gene		
LMON_RS01280	258906.0	259376.0	471.0	+	Gene		
LMON_RS01285	259503.0	259928.0	426.0	+	Gene		
LMON_RS01290	259968.0	260657.0	690.0	+	Gene		
LMON_RS01295	260905.0	261405.0	501.0	+	Gene		
LMON_RS01300	261484.0	261846.0	363.0	+	Gene		
LMON_RS14630	262004.0	262180.0	177.0	+	Gene		
LMON_RS01305	262295.0	262900.0	606.0	+	Gene		
LMON_RS01310	263247.0	264425.0	1179.0	+	Gene		
LMON_RS01315	264925.0	268479.0	3555.0	+	Gene		
LMON_RS01320	268650.0	272255.0	3606.0	+	Gene		
LMON_RS01325	272331.0	272876.0	546.0	+	Gene		
LMON_RS01330	272942.0	274402.0	1461.0	+	Gene		
LMON_RS01335	274676.0	276148.0	1473.0	+	Gene		
LMON_RS01340	276286.0	277932.0	1647.0	+	Gene		
LMON_RS01345	278140.0	279843.0	1704.0	+	Gene		
LMON_RS01350	280052.0	281551.0	1500.0	+	Gene		
LMON_RS01355	281687.0	282826.0	1140.0	+	Gene		
LMON_RS01360	282974.0	283390.0	417.0	+	Gene		
LMON_RS01365	283397.0	284356.0	960.0	+	Gene		
LMON_RS01370	284428.0	285063.0	636.0	+	Gene		
LMON_RS01375	285147.0	287033.0	1887.0	+	Gene		
LMON_RS01380	287047.0	287676.0	630.0	-	Gene		
LMON_RS01385	287680.0	289116.0	1437.0	-	Gene		
LMON_RS01390	289236.0	290048.0	813.0	-	Gene		
LMON_RS01395	290184.0	290687.0	504.0	+	Gene		
LMON_RS01400	290724.0	291386.0	663.0	-	Gene		
LMON_RS14635	291374.0	291571.0	198.0	+	Gene		
LMON_RS01405	291645.0	292487.0	843.0	-	Gene		
LMON_RS01410	292504.0	293325.0	822.0	-	Gene		
LMON_RS01415	293442.0	294413.0	972.0	+	Gene		
LMON_RS01420	294452.0	295552.0	1101.0	-	Gene		
LMON_RS01425	295843.0	297993.0	2151.0	+	Gene		
LMON_RS01430	297986.0	298537.0	552.0	+	Gene		
LMON_RS01435	298787.0	299451.0	665.0	+	Gene		
LMON_RS01440	299456.0	300238.0	783.0	+	Gene		
LMON_RS01445	300310.0	300810.0	501.0	+	Gene		
LMON_RS01450	300821.0	301141.0	321.0	+	Gene		
LMON_RS01455	301207.0	301434.0	228.0	-	Gene		
LMON_RS01460	301509.0	302180.0	672.0	-	Gene		
LMON_RS01465	302342.0	303121.0	780.0	-	Gene		
LMON_RS01470	303211.0	303873.0	663.0	-	Gene		
LMON_RS01475	303870.0	304886.0	1017.0	-	Gene		
LMON_RS01480	304901.0	305722.0	822.0	-	Gene		
LMON_RS01485	306105.0	307286.0	1182.0	+	Gene		
LMON_RS01490	307499.0	308212.0	714.0	+	Gene		
LMON_RS01495	308397.0	310229.0	1833.0	+	Gene		
LMON_RS01500	310226.0	311548.0	1323.0	+	Gene		
LMON_RS01505	311551.0	312390.0	840.0	+	Gene		
LMON_RS01510	312510.0	313340.0	831.0	+	Gene		
LMON_RS01515	313438.0	314943.0	1506.0	+	Gene		
LMON_RS01520	315630.0	316109.0	480.0	+	Gene		
LMON_RS01525	316524.0	316997.0	474.0	+	Gene		
LMON_RS01530	316979.0	317188.0	210.0	+	Gene		
LMON_RS01535	317196.0	317750.0	555.0	+	Gene		
LMON_RS01540	317890.0	319002.0	1113.0	-	Gene		
LMON_RS01545	318995.0	320614.0	1620.0	-	Gene		
LMON_RS01550	320618.0	323656.0	3039.0	-	Gene		
LMON_RS01555	324958.0	325455.0	498.0	-	Gene		
LMON_RS01560	325609.0	326496.0	888.0	+	Gene		
LMON_RS01565	326583.0	327221.0	639.0	+	Gene		
LMON_RS01570	327227.0	329098.0	1872.0	-	Gene		
LMON_RS01575	329197.0	330510.0	1314.0	-	Gene		
LMON_RS01580	330515.0	330805.0	291.0	-	Gene		
LMON_RS01585	330822.0	332213.0	1392.0	-	Gene		
LMON_RS01590	332206.0	332547.0	342.0	-	Gene		
LMON_RS01595	332714.0	332998.0	285.0	+	Gene		
LMON_RS01600	333034.0	333588.0	555.0	+	Gene		
LMON_RS01605	333794.0	335059.0	1266.0	+	Gene		
LMON_RS01610	335016.0	336098.0	1083.0	+	Gene		
LMON_RS01615	336157.0	336543.0	387.0	-	Gene		
LMON_RS01620	336657.0	337802.0	1146.0	+	Gene		
LMON_RS01625	337818.0	338246.0	429.0	+	Gene		
LMON_RS01630	338508.0	340169.0	1662.0	+	Gene		
LMON_RS01635	340215.0	341042.0	828.0	+	Gene		
LMON_RS01640	341081.0	341866.0	786.0	+	Gene		
LMON_RS01645	342089.0	342763.0	675.0	+	Gene		
LMON_RS01650	342756.0	343565.0	810.0	+	Gene		
LMON_RS01655	343562.0	344365.0	804.0	+	Gene		
LMON_RS01660	344362.0	345006.0	645.0	+	Gene		
LMON_RS01665	345032.0	346447.0	1416.0	-	Gene		
LMON_RS01670	346722.0	347381.0	660.0	+	Gene		
LMON_RS01675	347565.0	347957.0	393.0	+	Gene		
LMON_RS01680	348004.0	348774.0	771.0	-	Gene		
LMON_RS01685	348931.0	349410.0	480.0	+	Gene		
LMON_RS14640	349436.0	349627.0	192.0	-	Gene		
LMON_RS01690	349671.0	350573.0	903.0	+	Gene		
LMON_RS01695	350736.0	351608.0	873.0	+	Gene		
LMON_RS14645	351527.0	351916.0	390.0	-	Gene		
LMON_RS01700	351810.0	355856.0	4047.0	+	Gene		
LMON_RS01705	355994.0	356674.0	681.0	+	Gene		
LMON_RS01710	356858.0	358759.0	1902.0	-	Gene		
LMON_RS01715	359255.0	359590.0	336.0	+	Gene		
LMON_RS01720	360019.0	365355.0	5337.0	+	Gene		
LMON_RS01725	365579.0	366103.0	525.0	+	Gene		
LMON_RS01730	366317.0	366601.0	285.0	+	Gene		
LMON_RS01735	366602.0	366970.0	369.0	+	Gene		
LMON_RS01740	366967.0	368415.0	1449.0	+	Gene		
LMON_RS01745	368425.0	368796.0	372.0	+	Gene		
LMON_RS01750	368940.0	369173.0	234.0	+	Gene		
LMON_RS01755	369394.0	369765.0	372.0	+	Gene		
LMON_RS01760	369779.0	369997.0	219.0	+	Gene		
LMON_RS01765	370095.0	370427.0	333.0	-	Gene		
LMON_RS01770	370493.0	372490.0	1998.0	-	Gene		
LMON_RS01775	372492.0	373148.0	657.0	-	Gene		
LMON_RS01780	373195.0	373959.0	765.0	-	Gene		
LMON_RS01785	373983.0	374429.0	447.0	-	Gene		
LMON_RS01790	374436.0	375200.0	765.0	-	Gene		
LMON_RS01795	375204.0	375854.0	651.0	-	Gene		
LMON_RS01800	375876.0	376871.0	996.0	-	Gene		
LMON_RS01805	376893.0	377234.0	342.0	-	Gene		
LMON_RS01810	377250.0	377681.0	432.0	-	Gene		
LMON_RS01815	377766.0	378143.0	378.0	-	Gene		
LMON_RS01820	378326.0	379090.0	765.0	+	Gene		
LMON_RS01825	379155.0	379568.0	414.0	+	Gene		
LMON_RS01830	379614.0	381140.0	1527.0	-	Gene		
LMON_RS14650	381112.0	381300.0	189.0	-	Gene		
LMON_RS01835	381377.0	382897.0	1521.0	+	Gene		
LMON_RS01840	383071.0	384087.0	1017.0	+	Gene		
LMON_RS01845	384287.0	384733.0	447.0	+	Gene		
LMON_RS01850	384747.0	386141.0	1395.0	+	Gene		
LMON_RS01855	386141.0	387001.0	861.0	+	Gene		
LMON_RS01860	387058.0	387828.0	771.0	+	Gene		
LMON_RS01865	387812.0	388039.0	228.0	-	Gene		
LMON_RS01870	388168.0	388902.0	735.0	-	Gene		
LMON_RS01875	388899.0	389078.0	180.0	-	Gene		
LMON_RS01880	389174.0	389791.0	618.0	-	Gene		
LMON_RS01885	389890.0	390834.0	945.0	+	Gene		
LMON_RS01890	390964.0	392448.0	1485.0	+	Gene		
LMON_RS01895	392445.0	393599.0	1155.0	+	Gene		
LMON_RS01900	393617.0	394882.0	1266.0	+	Gene		
LMON_RS01905	394955.0	395464.0	510.0	+	Gene		
LMON_RS01910	395561.0	396280.0	720.0	+	Gene		
LMON_RS01915	396317.0	396652.0	336.0	+	Gene		
LMON_RS01920	396693.0	397406.0	714.0	-	Gene		
LMON_RS01925	397563.0	399005.0	1443.0	+	Gene		
LMON_RS01930	398998.0	400332.0	1335.0	+	Gene		
LMON_RS01935	400350.0	400652.0	303.0	+	Gene		
LMON_RS01940	400739.0	400933.0	195.0	+	Gene		
LMON_RS01945	400972.0	401892.0	921.0	-	Gene		
LMON_RS01950	401994.0	402413.0	420.0	+	Gene		
LMON_RS01955	402632.0	403078.0	447.0	+	Gene		
LMON_RS01960	403096.0	403551.0	456.0	+	Gene		
LMON_RS01965	403703.0	404332.0	630.0	+	Gene		
LMON_RS01970	404559.0	404945.0	387.0	+	Gene		
LMON_RS01975	405018.0	405779.0	762.0	-	Gene		
LMON_RS01980	405975.0	407441.0	1467.0	+	Gene		
LMON_RS01985	407454.0	408275.0	822.0	+	Gene		
LMON_RS01990	408292.0	409269.0	978.0	+	Gene		
LMON_RS01995	409282.0	411198.0	1917.0	+	Gene		
LMON_RS02000	411330.0	411701.0	372.0	+	Gene		
LMON_RS02005	411795.0	412163.0	369.0	+	Gene		
LMON_RS02010	412187.0	413302.0	1116.0	-	Gene		
LMON_RS02015	413433.0	414098.0	666.0	+	Gene		
LMON_RS02020	414266.0	414565.0	300.0	+	Gene		
LMON_RS02025	414562.0	415506.0	945.0	+	Gene		
LMON_RS02030	415541.0	415990.0	450.0	+	Gene		
LMON_RS02035	416134.0	416817.0	684.0	+	Gene		
LMON_RS02040	416873.0	417298.0	426.0	+	Gene		
LMON_RS02045	417301.0	418101.0	801.0	-	Gene		
LMON_RS14655	418007.0	418225.0	219.0	+	Gene		
LMON_RS02050	418229.0	418711.0	483.0	+	Gene		
LMON_RS02055	418881.0	419339.0	459.0	+	Gene		
LMON_RS02060	419336.0	419668.0	333.0	+	Gene		
LMON_RS02065	419672.0	420784.0	1113.0	+	Gene		
LMON_RS02070	420806.0	423433.0	2628.0	+	Gene		
LMON_RS02075	423466.0	425400.0	1935.0	+	Gene		
LMON_RS02080	425526.0	425942.0	417.0	+	Gene		
LMON_RS02085	425933.0	426331.0	399.0	+	Gene		
LMON_RS02090	426440.0	427447.0	1008.0	+	Gene		
LMON_RS02095	427463.0	427843.0	381.0	+	Gene		
LMON_RS02100	427912.0	428304.0	393.0	+	Gene		
LMON_RS02105	428317.0	428739.0	423.0	+	Gene		
LMON_RS02110	428965.0	431430.0	2466.0	+	Gene		
LMON_RS14660	431478.0	432506.0	1029.0	-	Gene		
LMON_RS14665	432488.0	434081.0	1594.0	-	Gene		
LMON_RS02120	434281.0	435150.0	870.0	-	Gene		
LMON_RS02125	435494.0	435685.0	192.0	+	Gene		
LMON_RS02130	435712.0	436521.0	810.0	+	Gene		
LMON_RS02135	436815.0	438215.0	1401.0	+	Gene		
LMON_RS02140	438342.0	438545.0	204.0	+	Gene		
LMON_RS02145	438547.0	438957.0	411.0	+	Gene		
LMON_RS02150	439010.0	439309.0	300.0	-	Gene		
LMON_RS02155	439390.0	439944.0	555.0	-	Gene		
LMON_RS02160	440092.0	440904.0	813.0	+	Gene		
LMON_RS02165	440956.0	442206.0	1251.0	-	Gene		
LMON_RS02170	442203.0	442634.0	432.0	-	Gene		
LMON_RS02175	442637.0	443185.0	549.0	-	Gene		
LMON_RS02180	443376.0	444233.0	858.0	-	Gene		
LMON_RS02185	444394.0	446355.0	1962.0	+	Gene		
LMON_RS02190	446355.0	446819.0	465.0	+	Gene		
LMON_RS02195	446816.0	447136.0	321.0	+	Gene		
LMON_RS02200	447149.0	448255.0	1107.0	+	Gene		
LMON_RS02205	448271.0	450853.0	2583.0	+	Gene		
LMON_RS02210	450876.0	451751.0	876.0	-	Gene		
LMON_RS02215	451869.0	452438.0	570.0	+	Gene		
LMON_RS02220	452452.0	453198.0	747.0	+	Gene		
LMON_RS02225	453879.0	456281.0	2403.0	+	Gene		
LMON_RS02230	456366.0	458258.0	1893.0	+	Gene		
LMON_RS02235	458344.0	458829.0	486.0	-	Gene		
