Elements	begin	end	length	strand	type	details	synonim
LMRG_RS00700	140259.0	140609.0	351.0	+	Gene		
LMRG_RS00705	140717.0	140923.0	207.0	+	Gene		
LMRG_RS00710	140937.0	141344.0	408.0	+	Gene		
LMRG_RS00715	141726.0	142109.0	384.0	+	Gene		
LMRG_RS00720	142243.0	142614.0	372.0	+	Gene		
LMRG_RS00725	142659.0	142970.0	312.0	+	Gene		
LMRG_RS00730	143108.0	144763.0	1656.0	-	Gene		
LMRG_RS00735	144985.0	145923.0	939.0	+	Gene		
LMRG_RS00740	145936.0	146640.0	705.0	+	Gene		
LMRG_RS00745	146589.0	147395.0	807.0	+	Gene		
LMRG_RS00750	147399.0	148079.0	681.0	-	Gene		
LMRG_RS00755	148359.0	150698.0	2340.0	+	Gene		
LMRG_RS00760	150744.0	151556.0	813.0	+	Gene		
LMRG_RS00765	151840.0	153924.0	2085.0	+	Gene		
LMRG_RS00770	154117.0	155832.0	1716.0	+	Gene		
LMRG_RS00775	155874.0	156704.0	831.0	-	Gene		
LMRG_RS00780	156921.0	157913.0	993.0	+	Gene		
LMRG_RS00785	157919.0	158752.0	834.0	+	Gene		
LMRG_RS00790	158763.0	159152.0	390.0	+	Gene		
LMRG_RS00795	159210.0	159962.0	753.0	+	Gene		
LMRG_RS00800	159946.0	160218.0	273.0	+	Gene		
LMRG_RS00805	160215.0	161096.0	882.0	+	Gene		
LMRG_RS00810	161141.0	161425.0	285.0	-	Gene		
LMRG_RS00815	161540.0	162397.0	858.0	+	Gene		
LMRG_RS00820	162459.0	163724.0	1266.0	+	Gene		
LMRG_RS00825	163964.0	166462.0	2499.0	+	Gene		
LMRG_RS00830	166526.0	167663.0	1138.0	-	Gene		
LMRG_RS00840	167767.0	169014.0	1248.0	-	Gene		
LMRG_RS00845	169292.0	170152.0	861.0	+	Gene		
LMRG_RS00850	170221.0	172218.0	1998.0	+	Gene		
LMRG_RS00855	172383.0	173597.0	1215.0	+	Gene		
LMRG_RS00860	173633.0	174511.0	879.0	+	Gene		
LMRG_RS00865	174511.0	175359.0	849.0	+	Gene		
LMRG_RS00870	175387.0	176643.0	1257.0	+	Gene		
LMRG_RS00875	176726.0	180028.0	3303.0	+	Gene		
LMRG_RS00880	180031.0	182322.0	2292.0	+	Gene		
LMRG_RS00885	182326.0	183987.0	1662.0	+	Gene		
LMRG_RS00890	184084.0	184857.0	774.0	+	Gene		
LMRG_RS00895	185149.0	186375.0	1227.0	+	Gene		
LMRG_RS00900	186477.0	187052.0	576.0	+	Gene		
LMRG_RS00905	187045.0	187932.0	888.0	+	Gene		
LMRG_RS00910	188052.0	188309.0	258.0	+	Gene		
LMRG_RS00915	188448.0	189329.0	882.0	+	Gene		
LMRG_RS00920	189351.0	190088.0	738.0	+	Gene		
LMRG_RS00925	190252.0	191070.0	819.0	+	Gene		
LMRG_RS00930	191245.0	191922.0	678.0	+	Gene		
LMRG_RS00935	191971.0	192663.0	693.0	+	Gene		
LMRG_RS00940	192660.0	193868.0	1209.0	+	Gene		
LMRG_RS00945	194553.0	194861.0	309.0	+	Gene		
LMRG_RS00950	194981.0	195289.0	309.0	+	Gene		
LMRG_RS00955	195676.0	197049.0	1374.0	+	Gene		
LMRG_RS00960	197100.0	198056.0	957.0	+	Gene		
LMRG_RS00965	198099.0	198812.0	714.0	-	Gene		
LMRG_RS00970	199083.0	200036.0	954.0	-	Gene		
LMRG_RS00975	200278.0	201867.0	1590.0	+	Gene		
LMRG_RS00980	202198.0	203730.0	1533.0	+	Gene		
LMRG_RS00985	203929.0	205848.0	1920.0	+	Gene		
LMRG_RS00990	205885.0	206754.0	870.0	+	Gene		
LMRG_RS00995	206826.0	207149.0	324.0	+	Gene		
LMRG_RS14570	207067.0	207246.0	180.0	+	Gene		
LMRG_RS01000	207284.0	207745.0	462.0	+	Gene		
LMRG_RS01005	207796.0	208128.0	333.0	-	Gene		
LMRG_RS01010	208195.0	208869.0	675.0	-	Gene		
LMRG_RS01015	208946.0	209887.0	942.0	-	Gene		
LMRG_RS01020	210181.0	210804.0	624.0	+	Gene		
LMRG_RS01025	210894.0	211478.0	585.0	+	Gene		
LMRG_RS01030	211585.0	212145.0	561.0	+	Gene		
LMRG_RS01035	212260.0	215799.0	3540.0	+	Gene		
LMRG_RS01040	215830.0	217419.0	1590.0	+	Gene		
LMRG_RS01045	217443.0	217721.0	279.0	+	Gene		
LMRG_RS01050	217950.0	218336.0	387.0	+	Gene		
LMRG_RS01055	218487.0	218915.0	429.0	+	Gene		
LMRG_RS14575	219022.0	220968.0	1947.0	+	Gene		
LMRG_RS01070	221314.0	223389.0	2076.0	+	Gene		
LMRG_RS01075	223505.0	224284.0	780.0	+	Gene		
LMRG_RS01080	224300.0	225184.0	885.0	+	Gene		
LMRG_RS01085	225300.0	226226.0	927.0	+	Gene		
LMRG_RS14580	226262.0	226586.0	325.0	+	Gene		
LMRG_RS14585	226870.0	227004.0	135.0	+	Gene		
LMRG_RS01090	227122.0	227937.0	816.0	+	Gene		
LMRG_RS01095	227951.0	228325.0	375.0	+	Gene		
LMRG_RS01100	228318.0	228797.0	480.0	+	Gene		
LMRG_RS01105	228874.0	229869.0	996.0	+	Gene		
LMRG_RS01110	229984.0	231480.0	1497.0	+	Gene		
LMRG_RS01115	231926.0	233486.0	1561.0	+	NcRNA	rRNA	
LMRG_RS01120	233723.0	236658.0	2936.0	+	NcRNA	rRNA	
LMRG_RS01125	236735.0	236850.0	116.0	+	NcRNA	rRNA	
LMRG_RS01130	236860.0	236932.0	73.0	+	NcRNA	tRNA	
LMRG_RS01135	236941.0	237016.0	76.0	+	NcRNA	tRNA	
LMRG_RS01140	237058.0	237130.0	73.0	+	NcRNA	tRNA	
LMRG_RS01145	237136.0	237217.0	82.0	+	NcRNA	tRNA	
LMRG_RS01150	237232.0	237303.0	72.0	+	NcRNA	tRNA	
LMRG_RS01155	237325.0	237410.0	86.0	+	NcRNA	tRNA	
LMRG_RS01160	237423.0	237496.0	74.0	+	NcRNA	tRNA	
LMRG_RS01165	237507.0	237580.0	74.0	+	NcRNA	tRNA	
LMRG_RS01170	237600.0	237675.0	76.0	+	NcRNA	tRNA	
LMRG_RS01175	237948.0	239508.0	1561.0	+	NcRNA	rRNA	
LMRG_RS01180	239745.0	242680.0	2936.0	+	NcRNA	rRNA	
LMRG_RS01185	242757.0	242872.0	116.0	+	NcRNA	rRNA	
LMRG_RS01190	243017.0	243475.0	459.0	+	Gene		
LMRG_RS01195	243488.0	244006.0	519.0	+	Gene		
LMRG_RS01200	244003.0	245025.0	1023.0	+	Gene		
LMRG_RS01205	245054.0	247516.0	2463.0	+	Gene		
LMRG_RS01210	247662.0	249035.0	1374.0	+	Gene		
LMRG_RS01215	249169.0	250242.0	1074.0	+	Gene		
LMRG_RS01220	250262.0	250960.0	699.0	+	Gene		
LMRG_RS01225	250953.0	251426.0	474.0	+	Gene		
LMRG_RS01230	251445.0	252920.0	1476.0	+	Gene		
LMRG_RS01235	253318.0	253932.0	615.0	+	Gene		
LMRG_RS01240	253939.0	255354.0	1416.0	+	Gene		
LMRG_RS01245	255358.0	255768.0	411.0	+	Gene		
LMRG_RS01250	255768.0	256523.0	756.0	+	Gene		
LMRG_RS01255	256526.0	257038.0	513.0	+	Gene		
LMRG_RS01260	257119.0	257724.0	606.0	+	Gene		
LMRG_RS01265	257828.0	257977.0	150.0	+	Gene		
LMRG_RS01270	257997.0	258176.0	180.0	+	Gene		
LMRG_RS01275	258306.0	258839.0	534.0	+	Gene		
LMRG_RS01280	258894.0	259364.0	471.0	+	Gene		
LMRG_RS01285	259491.0	259916.0	426.0	+	Gene		
LMRG_RS01290	259956.0	260645.0	690.0	+	Gene		
LMRG_RS01295	260893.0	261393.0	501.0	+	Gene		
LMRG_RS01300	261472.0	261834.0	363.0	+	Gene		
LMRG_RS14590	261992.0	262168.0	177.0	+	Gene		
LMRG_RS01305	262283.0	262888.0	606.0	+	Gene		
LMRG_RS01310	263235.0	264413.0	1179.0	+	Gene		
LMRG_RS01315	264913.0	268467.0	3555.0	+	Gene		
LMRG_RS01320	268638.0	272243.0	3606.0	+	Gene		
LMRG_RS01325	272319.0	272864.0	546.0	+	Gene		
LMRG_RS01330	272930.0	274390.0	1461.0	+	Gene		
LMRG_RS01335	274664.0	276136.0	1473.0	+	Gene		
LMRG_RS01340	276274.0	277920.0	1647.0	+	Gene		
LMRG_RS01345	278128.0	279831.0	1704.0	+	Gene		
LMRG_RS01350	280040.0	281539.0	1500.0	+	Gene		
LMRG_RS01355	281675.0	282814.0	1140.0	+	Gene		
LMRG_RS01360	282962.0	283378.0	417.0	+	Gene		
LMRG_RS01365	283385.0	284344.0	960.0	+	Gene		
LMRG_RS01370	284416.0	285051.0	636.0	+	Gene		
LMRG_RS01375	285135.0	287021.0	1887.0	+	Gene		
LMRG_RS01380	287035.0	287664.0	630.0	-	Gene		
LMRG_RS01385	287668.0	289104.0	1437.0	-	Gene		
LMRG_RS01390	289224.0	290036.0	813.0	-	Gene		
LMRG_RS01395	290172.0	290675.0	504.0	+	Gene		
LMRG_RS01400	290712.0	291374.0	663.0	-	Gene		
LMRG_RS14595	291362.0	291559.0	198.0	+	Gene		
LMRG_RS01405	291633.0	292475.0	843.0	-	Gene		
LMRG_RS01410	292492.0	293313.0	822.0	-	Gene		
LMRG_RS01415	293430.0	294401.0	972.0	+	Gene		
LMRG_RS01420	294440.0	295540.0	1101.0	-	Gene		
LMRG_RS01425	295831.0	297981.0	2151.0	+	Gene		
LMRG_RS01430	297974.0	298525.0	552.0	+	Gene		
LMRG_RS01435	298775.0	299440.0	666.0	+	Gene		
LMRG_RS01440	299445.0	300227.0	783.0	+	Gene		
LMRG_RS01445	300299.0	300799.0	501.0	+	Gene		
LMRG_RS01450	300810.0	301130.0	321.0	+	Gene		
LMRG_RS01455	301196.0	301423.0	228.0	-	Gene		
LMRG_RS01460	301498.0	302169.0	672.0	-	Gene		
LMRG_RS01465	302331.0	303110.0	780.0	-	Gene		
LMRG_RS01470	303200.0	303862.0	663.0	-	Gene		
LMRG_RS01475	303859.0	304875.0	1017.0	-	Gene		
LMRG_RS01480	304890.0	305711.0	822.0	-	Gene		
LMRG_RS01485	306094.0	307275.0	1182.0	+	Gene		
LMRG_RS01490	307488.0	308201.0	714.0	+	Gene		
LMRG_RS01495	308386.0	310218.0	1833.0	+	Gene		
LMRG_RS01500	310215.0	311537.0	1323.0	+	Gene		
LMRG_RS01505	311540.0	312379.0	840.0	+	Gene		
LMRG_RS01510	312499.0	313329.0	831.0	+	Gene		
LMRG_RS01515	313427.0	314932.0	1506.0	+	Gene		
LMRG_RS01520	315619.0	316098.0	480.0	+	Gene		
LMRG_RS01525	316513.0	316986.0	474.0	+	Gene		
LMRG_RS01530	316968.0	317177.0	210.0	+	Gene		
LMRG_RS01535	317185.0	317739.0	555.0	+	Gene		
LMRG_RS01540	317879.0	318991.0	1113.0	-	Gene		
LMRG_RS01545	318984.0	320603.0	1620.0	-	Gene		
LMRG_RS01550	320607.0	323645.0	3039.0	-	Gene		
LMRG_RS01555	324947.0	325444.0	498.0	-	Gene		
LMRG_RS01560	325598.0	326485.0	888.0	+	Gene		
LMRG_RS01565	326572.0	327210.0	639.0	+	Gene		
LMRG_RS01570	327216.0	329087.0	1872.0	-	Gene		
LMRG_RS01575	329186.0	330499.0	1314.0	-	Gene		
LMRG_RS01580	330504.0	330794.0	291.0	-	Gene		
LMRG_RS01585	330811.0	332202.0	1392.0	-	Gene		
LMRG_RS01590	332195.0	332536.0	342.0	-	Gene		
LMRG_RS01595	332703.0	332987.0	285.0	+	Gene		
LMRG_RS01600	333023.0	333577.0	555.0	+	Gene		
LMRG_RS01605	333783.0	335048.0	1266.0	+	Gene		
LMRG_RS01610	335005.0	336087.0	1083.0	+	Gene		
LMRG_RS01615	336146.0	336532.0	387.0	-	Gene		
LMRG_RS01620	336646.0	337791.0	1146.0	+	Gene		
LMRG_RS01625	337807.0	338235.0	429.0	+	Gene		
LMRG_RS01630	338497.0	340158.0	1662.0	+	Gene		
LMRG_RS01635	340204.0	341031.0	828.0	+	Gene		
LMRG_RS01640	341070.0	341855.0	786.0	+	Gene		
LMRG_RS01645	342078.0	342752.0	675.0	+	Gene		
LMRG_RS01650	342745.0	343554.0	810.0	+	Gene		
LMRG_RS01655	343551.0	344354.0	804.0	+	Gene		
LMRG_RS01660	344351.0	344995.0	645.0	+	Gene		
LMRG_RS01665	345021.0	346436.0	1416.0	-	Gene		
LMRG_RS01670	346711.0	347370.0	660.0	+	Gene		
LMRG_RS01675	347554.0	347946.0	393.0	+	Gene		
LMRG_RS01680	347993.0	348763.0	771.0	-	Gene		
LMRG_RS01685	348920.0	349399.0	480.0	+	Gene		
LMRG_RS14600	349425.0	349616.0	192.0	-	Gene		
LMRG_RS01690	349660.0	350562.0	903.0	+	Gene		
LMRG_RS01695	350725.0	351597.0	873.0	+	Gene		
LMRG_RS14605	351516.0	351905.0	390.0	-	Gene		
LMRG_RS01700	351799.0	355845.0	4047.0	+	Gene		
LMRG_RS01705	355983.0	356663.0	681.0	+	Gene		
LMRG_RS01710	356847.0	358748.0	1902.0	-	Gene		
LMRG_RS01715	359244.0	359579.0	336.0	+	Gene		
LMRG_RS01720	360008.0	365344.0	5337.0	+	Gene		
LMRG_RS01725	365568.0	366092.0	525.0	+	Gene		
LMRG_RS01730	366306.0	366590.0	285.0	+	Gene		
LMRG_RS01735	366591.0	366959.0	369.0	+	Gene		
LMRG_RS01740	366956.0	368404.0	1449.0	+	Gene		
LMRG_RS01745	368414.0	368785.0	372.0	+	Gene		
LMRG_RS01750	368929.0	369162.0	234.0	+	Gene		
LMRG_RS01755	369383.0	369754.0	372.0	+	Gene		
LMRG_RS01760	369768.0	369986.0	219.0	+	Gene		
LMRG_RS01765	370084.0	370416.0	333.0	-	Gene		
LMRG_RS01770	370482.0	372479.0	1998.0	-	Gene		
LMRG_RS01775	372481.0	373137.0	657.0	-	Gene		
LMRG_RS01780	373184.0	373948.0	765.0	-	Gene		
LMRG_RS01785	373972.0	374418.0	447.0	-	Gene		
LMRG_RS01790	374425.0	375189.0	765.0	-	Gene		
LMRG_RS01795	375193.0	375843.0	651.0	-	Gene		
LMRG_RS01800	375865.0	376860.0	996.0	-	Gene		
LMRG_RS01805	376882.0	377223.0	342.0	-	Gene		
LMRG_RS01810	377239.0	377670.0	432.0	-	Gene		
LMRG_RS01815	377755.0	378132.0	378.0	-	Gene		
LMRG_RS01820	378315.0	379079.0	765.0	+	Gene		
LMRG_RS01825	379144.0	379557.0	414.0	+	Gene		
LMRG_RS01830	379603.0	381129.0	1527.0	-	Gene		
LMRG_RS14610	381101.0	381289.0	189.0	-	Gene		
LMRG_RS01835	381366.0	382886.0	1521.0	+	Gene		
LMRG_RS01840	383060.0	384076.0	1017.0	+	Gene		
LMRG_RS01845	384276.0	384722.0	447.0	+	Gene		
LMRG_RS01850	384736.0	386130.0	1395.0	+	Gene		
LMRG_RS01855	386130.0	386990.0	861.0	+	Gene		
LMRG_RS01860	387047.0	387817.0	771.0	+	Gene		
LMRG_RS01865	387801.0	388028.0	228.0	-	Gene		
LMRG_RS01870	388157.0	388891.0	735.0	-	Gene		
LMRG_RS01875	388888.0	389067.0	180.0	-	Gene		
LMRG_RS01880	389163.0	389780.0	618.0	-	Gene		
LMRG_RS01885	389879.0	390823.0	945.0	+	Gene		
LMRG_RS01890	390953.0	392437.0	1485.0	+	Gene		
LMRG_RS01895	392434.0	393588.0	1155.0	+	Gene		
LMRG_RS01900	393606.0	394871.0	1266.0	+	Gene		
LMRG_RS01905	394944.0	395453.0	510.0	+	Gene		
LMRG_RS01910	395550.0	396269.0	720.0	+	Gene		
LMRG_RS01915	396306.0	396641.0	336.0	+	Gene		
LMRG_RS01920	396682.0	397395.0	714.0	-	Gene		
LMRG_RS01925	397552.0	398994.0	1443.0	+	Gene		
LMRG_RS01930	398987.0	400321.0	1335.0	+	Gene		
LMRG_RS01935	400339.0	400641.0	303.0	+	Gene		
LMRG_RS01940	400728.0	400922.0	195.0	+	Gene		
LMRG_RS01945	400961.0	401881.0	921.0	-	Gene		
LMRG_RS01950	401983.0	402402.0	420.0	+	Gene		
LMRG_RS01955	402621.0	403067.0	447.0	+	Gene		
LMRG_RS01960	403085.0	403540.0	456.0	+	Gene		
LMRG_RS01965	403692.0	404321.0	630.0	+	Gene		
LMRG_RS01970	404548.0	404934.0	387.0	+	Gene		
LMRG_RS01975	405007.0	405768.0	762.0	-	Gene		
LMRG_RS01980	405964.0	407430.0	1467.0	+	Gene		
LMRG_RS01985	407443.0	408264.0	822.0	+	Gene		
LMRG_RS01990	408281.0	409258.0	978.0	+	Gene		
LMRG_RS01995	409271.0	411187.0	1917.0	+	Gene		
LMRG_RS02000	411319.0	411690.0	372.0	+	Gene		
LMRG_RS02005	411784.0	412152.0	369.0	+	Gene		
LMRG_RS02010	412176.0	413291.0	1116.0	-	Gene		
LMRG_RS02015	413422.0	414087.0	666.0	+	Gene		
LMRG_RS02020	414255.0	414554.0	300.0	+	Gene		
LMRG_RS02025	414551.0	415495.0	945.0	+	Gene		
LMRG_RS02030	415530.0	415979.0	450.0	+	Gene		
LMRG_RS02035	416173.0	416805.0	633.0	+	Gene		
LMRG_RS02040	416861.0	417286.0	426.0	+	Gene		
LMRG_RS02045	417289.0	418089.0	801.0	-	Gene		
LMRG_RS14615	417995.0	418213.0	219.0	+	Gene		
LMRG_RS02050	418217.0	418699.0	483.0	+	Gene		
LMRG_RS02055	418869.0	419327.0	459.0	+	Gene		
LMRG_RS02060	419324.0	419656.0	333.0	+	Gene		
LMRG_RS02065	419660.0	420772.0	1113.0	+	Gene		
LMRG_RS02070	420794.0	423421.0	2628.0	+	Gene		
LMRG_RS02075	423454.0	425388.0	1935.0	+	Gene		
LMRG_RS02080	425514.0	425930.0	417.0	+	Gene		
LMRG_RS02085	425921.0	426319.0	399.0	+	Gene		
LMRG_RS02090	426428.0	427435.0	1008.0	+	Gene		
LMRG_RS02095	427451.0	427831.0	381.0	+	Gene		
LMRG_RS02100	427900.0	428292.0	393.0	+	Gene		
LMRG_RS02105	428305.0	428727.0	423.0	+	Gene		
LMRG_RS02110	428953.0	431418.0	2466.0	+	Gene		
LMRG_RS14620	431466.0	432494.0	1029.0	-	Gene		
LMRG_RS14625	432476.0	434069.0	1594.0	-	Gene		
LMRG_RS02120	434269.0	435138.0	870.0	-	Gene		
LMRG_RS02125	435482.0	435673.0	192.0	+	Gene		
LMRG_RS02130	435700.0	436509.0	810.0	+	Gene		
LMRG_RS02135	436803.0	438203.0	1401.0	+	Gene		
LMRG_RS02140	438330.0	438533.0	204.0	+	Gene		
LMRG_RS02145	438535.0	438945.0	411.0	+	Gene		
LMRG_RS02150	438998.0	439297.0	300.0	-	Gene		
LMRG_RS02155	439378.0	439932.0	555.0	-	Gene		
LMRG_RS02160	440080.0	440892.0	813.0	+	Gene		
LMRG_RS02165	440944.0	442194.0	1251.0	-	Gene		
