Elements	begin	end	length	strand	type	details	synonim
lmo0026	28254.0	28895.0	642.0	+	Gene		
rli71	28964.0	29061.0	98.0	+	Srna	Oliver et al. 2009	
Term_lmo0026	28999.0	29052.0	54.0	+	terminator		lmo0026
lmo0027	29100.0	31004.0	1905.0	+	Gene		
Term_lmo0027	31019.0	31046.0	28.0	+	terminator		lmo0027
lmo0028	31088.0	31963.0	876.0	+	Gene		
rli22	31997.0	32107.0	111.0	+	Srna	Toledo-Arana et al. 2009	
Term_lmo0028	32088.0	32107.0	20.0	+	terminator		lmo0028
lmo0029	32197.0	32535.0	339.0	+	Gene		
Term_lmo0029	32546.0	32563.0	18.0	+	terminator		lmo0029
Term_lmo0030	32546.0	32563.0	18.0	-	terminator		lmo0030
lmo0030	32571.0	33380.0	810.0	-	Gene		
Operon_007	32571.0	34452.0	1882.0	-	Operon	2 genes	
lmo0031	33397.0	34452.0	1056.0	-	Gene		
lmo0032	34654.0	35619.0	966.0	+	Gene		
lmo0033	35616.0	38018.0	2403.0	+	Gene		
lmo0034	38031.0	39383.0	1353.0	+	Gene		
lmo0035	39385.0	40470.0	1086.0	+	Gene		
Term_lmo0035	40480.0	40522.0	43.0	+	terminator		lmo0035
lmo0036	40705.0	41730.0	1026.0	+	Gene		
lmo0037	41803.0	43188.0	1386.0	+	Gene		
lmo0038	43175.0	44266.0	1092.0	+	Gene		
Operon_008	43175.0	45223.0	2049.0	+	Operon	2 genes	
lmo0039	44282.0	45223.0	942.0	+	Gene		
Term_lmo0039	45241.0	45259.0	19.0	+	terminator		lmo0039
lmo0040	45325.0	46434.0	1110.0	+	Gene		
lmo0041	46451.0	47230.0	780.0	+	Gene		
Term_lmo0041	47225.0	47239.0	15.0	+	terminator		lmo0041
lmo0042	47335.0	47994.0	660.0	+	Gene		
Term_lmo0042	47984.0	48003.0	20.0	+	terminator		lmo0042
lmo0043	48074.0	49306.0	1233.0	+	Gene		
anti0043	48338.0	48637.0	300.0	-	Srna	Mraheil et al. 2011	
Term_lmo0043	49345.0	49366.0	22.0	+	terminator		lmo0043
lmo0044	49585.0	49878.0	294.0	+	Gene		rpsF
Operon_009	49585.0	50753.0	1169.0	+	Operon	3 genes	
lmo0045	49934.0	50470.0	537.0	+	Gene		ssb
lmo0046	50514.0	50753.0	240.0	+	Gene		rpsR
lmo0047	50907.0	51518.0	612.0	+	Gene		
Term_lmo0047	51532.0	51559.0	28.0	+	terminator		lmo0047
lmo0048	51775.0	52389.0	615.0	+	Gene		
Operon_010	51775.0	54672.0	2898.0	+	Operon	4 genes	
lmo0049	52373.0	52534.0	162.0	+	Gene		
lmo0050	52630.0	53925.0	1296.0	+	Gene		
lmo0051	53944.0	54672.0	729.0	+	Gene		
Term_lmo0051	54675.0	54691.0	17.0	+	terminator		lmo0051
lmo0052	54839.0	56812.0	1974.0	+	Gene		
Operon_011	54839.0	58638.0	3800.0	+	Operon	3 genes	
lmo0053	56815.0	57261.0	447.0	+	Gene		rplI
lmo0054	57286.0	58638.0	1353.0	+	Gene		dnaC
Term_dnaC	58647.0	58683.0	37.0	+	terminator		dnaC
lmo0055	58897.0	60189.0	1293.0	+	Gene		purA
lmo0056	60506.0	60799.0	294.0	+	Gene		
Term_lmo0056	60853.0	60874.0	22.0	+	terminator		lmo0056
lmo0057	60948.0	64154.0	3207.0	+	Gene		
lmo0058	64144.0	64659.0	516.0	+	Gene		
lmo0059	64677.0	64928.0	252.0	+	Gene		
lmo0060	64950.0	66146.0	1197.0	+	Gene		
lmo0061	66160.0	70656.0	4497.0	+	Gene		
lmo0062	70676.0	71071.0	396.0	+	Gene		
lmo0063	71064.0	71363.0	300.0	+	Gene		
lmo0064	71360.0	72061.0	702.0	+	Gene		
lmo0065	72062.0	72394.0	333.0	+	Gene		
lmo0066	72408.0	74222.0	1815.0	+	Gene		
lmo0067	74239.0	75228.0	990.0	+	Gene		
Operon_012	74239.0	76125.0	1887.0	+	Operon	3 genes	
lmo0068	75342.0	75665.0	324.0	+	Gene		
lmo0069	75832.0	76125.0	294.0	+	Gene		
lmo0070	76262.0	76984.0	723.0	+	Gene		
Operon_013	76262.0	78811.0	2550.0	+	Operon	5 genes	
Term_lmo0070	77119.0	77132.0	14.0	+	terminator		lmo0070
lmo0071	77149.0	77406.0	258.0	+	Gene		
Term_lmo0071	77511.0	77535.0	25.0	+	terminator		lmo0071
rli115	77597.0	77863.0	267.0	+	Srna	Mraheil et al. 2011	
lmo0072	77863.0	78066.0	204.0	+	Gene		
lmo0073	78090.0	78374.0	285.0	+	Gene		
lmo0074	78362.0	78811.0	450.0	+	Gene		
lmo0075	79047.0	79820.0	774.0	+	Gene		
lmo0076	79817.0	80869.0	1053.0	+	Gene		
Term_lmo0076	80854.0	80881.0	28.0	+	terminator		lmo0076
Term_lmo0077	80854.0	80881.0	28.0	-	terminator		lmo0077
lmo0077	80892.0	81530.0	639.0	-	Gene		
lmo0078	81661.0	82617.0	957.0	+	Gene		
Term_lmo0078	82628.0	82656.0	29.0	+	terminator		lmo0078
lmot01	82705.0	82777.0	73.0	+	NcRNA	tRNA	
lmo0079	82959.0	84437.0	1479.0	+	Gene		
Operon_014	82959.0	86228.0	3270.0	+	Operon	4 genes	
lmo0080	84451.0	84849.0	399.0	+	Gene		
lmo0081	85025.0	85627.0	603.0	+	Gene		
Term_lmo0081	85732.0	85748.0	17.0	+	terminator		lmo0081
lmo0082	85902.0	86228.0	327.0	+	Gene		
Term_lmo0082	86233.0	86253.0	21.0	+	terminator		lmo0082
Term_lmo0083	86233.0	86253.0	21.0	-	terminator		lmo0083
lmo0083	86323.0	86691.0	369.0	-	Gene		
Operon_015	86323.0	87730.0	1408.0	-	Operon	2 genes	
lmo0084	86747.0	87730.0	984.0	-	Gene		
lmo0085	88121.0	88810.0	690.0	+	Gene		
lmo0086	88888.0	94767.0	5880.0	+	Gene		
lmo0087	94764.0	97070.0	2307.0	+	Gene		
lmo0088	97127.0	97369.0	243.0	+	Gene		
lmo0089	97381.0	98412.0	1032.0	+	Gene		
lmo0090	98409.0	99905.0	1497.0	+	Gene		
lmo0091	99902.0	100771.0	870.0	+	Gene		
lmo0092	100772.0	102142.0	1371.0	+	Gene		
lmo0093	102155.0	102478.0	324.0	+	Gene		
lmo0094	102468.0	103028.0	561.0	+	Gene		
Term_lmo0094	103065.0	103083.0	19.0	+	terminator		lmo0094
lmo0095	103204.0	103836.0	633.0	+	Gene		
Term_lmo0095	103854.0	103878.0	25.0	+	terminator		lmo0095
lmo0096	104134.0	105099.0	966.0	+	Gene		
Operon_016	104134.0	106862.0	2729.0	+	Operon	3 genes	
lmo0097	105123.0	105929.0	807.0	+	Gene		
lmo0098	105951.0	106862.0	912.0	+	Gene		
Term_lmo0098	106881.0	106908.0	28.0	+	terminator		lmo0098
lmo0099	106988.0	107377.0	390.0	+	Gene		
Term_lmo0099	107396.0	107423.0	28.0	+	terminator		lmo0099
lmo0100	107499.0	107849.0	351.0	+	Gene		
Term_lmo0100	107857.0	107880.0	24.0	+	terminator		lmo0100
Term_lmo0101	107857.0	107880.0	24.0	-	terminator		lmo0101
lmo0101	107915.0	108208.0	294.0	-	Gene		
lmo0102	108320.0	108610.0	291.0	+	Gene		
lmo0103	108624.0	109256.0	633.0	+	Gene		
Term_lmo0103	109261.0	109291.0	31.0	+	terminator		lmo0103
lmo0104	109349.0	109720.0	372.0	+	Gene		
Term_lmo0104	109732.0	109756.0	25.0	+	terminator		lmo0104
lmo0105	110013.0	112283.0	2271.0	+	Gene		
Term_lmo0105	112294.0	112319.0	26.0	+	terminator		lmo0105
lmo0106	112386.0	113288.0	903.0	+	Gene		
Term_lmo0107	113279.0	113311.0	33.0	-	terminator		lmo0107
Term_lmo0106	113284.0	113306.0	23.0	+	terminator		lmo0106
lmo0107	113313.0	115094.0	1782.0	-	Gene		
Operon_017	113313.0	116829.0	3517.0	-	Operon	2 genes	
lmo0108	115087.0	116829.0	1743.0	-	Gene		
lmo0109	116972.0	117805.0	834.0	+	Gene		
Operon_018	116972.0	118956.0	1985.0	+	Operon	2 genes	
lmo0110	117841.0	118956.0	1116.0	+	Gene		
Term_lmo0110	118968.0	118989.0	22.0	+	terminator		lmo0110
lmo0111	119063.0	119770.0	708.0	+	Gene		
Term_lmo0112	119697.0	119721.0	25.0	-	terminator		lmo0112
lmo0112	119740.0	120435.0	696.0	-	Gene		
Term_lmo0111	119777.0	119794.0	18.0	+	terminator		lmo0111
anti0112	120158.0	120546.0	389.0	+	Srna	Toledo-Arana et al. 2009	
Term_lmo0113	120629.0	120651.0	23.0	-	terminator		lmo0113
lmo0113	120654.0	121106.0	453.0	-	Gene		
Operon_019	120654.0	121447.0	794.0	-	Operon	2 genes	
lmo0114	121112.0	121447.0	336.0	-	Gene		
Term_lmo0114	121115.0	121126.0	12.0	-	terminator		lmo0114
lmo0115	121664.0	122092.0	429.0	+	Gene		lmaD
Operon_020	121664.0	131380.0	9717.0	+	Operon	15 genes	
lmo0116	122104.0	122520.0	417.0	+	Gene		lmaC
Term_lmaC	122717.0	122774.0	58.0	+	terminator		lmaC
lmo0117	122798.0	123187.0	390.0	+	Gene		lmaB
lmo0118	123200.0	123712.0	513.0	+	Gene		lmaA
Term_lmaA	123721.0	123738.0	18.0	+	terminator		lmaA
lmo0119	123760.0	124062.0	303.0	+	Gene		
lmo0120	124104.0	124508.0	405.0	+	Gene		
lmo0121	124495.0	126363.0	1869.0	+	Gene		
lmo0122	126360.0	127178.0	819.0	+	Gene		
lmo0123	127188.0	128324.0	1137.0	+	Gene		
lmo0124	128314.0	128613.0	300.0	+	Gene		
lmo0125	128628.0	129203.0	576.0	+	Gene		
lmo0126	129218.0	129697.0	480.0	+	Gene		
lmo0127	129694.0	130230.0	537.0	+	Gene		
lmo0128	130249.0	130671.0	423.0	+	Gene		
lmo0129	130652.0	131380.0	729.0	+	Gene		
Term_lmo0129	131386.0	131408.0	23.0	+	terminator		lmo0129
Term_lmo0130	131386.0	131408.0	23.0	-	terminator		lmo0130
lmo0130	131419.0	133773.0	2355.0	-	Gene		
lmo0131	133961.0	134710.0	750.0	+	Gene		
Term_lmo0131	134725.0	134779.0	55.0	+	terminator		lmo0131
Term_lmo0132	134730.0	134774.0	45.0	-	terminator		lmo0132
lmo0132	134782.0	136290.0	1509.0	-	Gene		
lmo0133	136469.0	136702.0	234.0	+	Gene		
Operon_021	136469.0	136992.0	524.0	+	Operon	2 genes	
lmo0134	136714.0	136992.0	279.0	+	Gene		
Term_lmo0134	136999.0	137023.0	25.0	+	terminator		lmo0134
SAM-SreG	137135.0	137294.0	160.0	+	Srna	Johansson et al. 2009	
lmo0135	137323.0	138897.0	1575.0	+	Gene		
Operon_022	137323.0	140853.0	3531.0	+	Operon	3 genes	
Term_lmo0135	138922.0	138956.0	35.0	+	terminator		lmo0135
lmo0136	138999.0	139949.0	951.0	+	Gene		
lmo0137	139960.0	140853.0	894.0	+	Gene		
Term_lmo0137	140863.0	140885.0	23.0	+	terminator		lmo0137
lmo0138	141052.0	141336.0	285.0	+	Gene		
lmo0139	141337.0	141705.0	369.0	+	Gene		
lmo0140	141618.0	143006.0	1389.0	+	Gene		
lmo0141	143016.0	143258.0	243.0	+	Gene		
lmo0142	143366.0	143722.0	357.0	+	Gene		
rli116	143795.0	144000.0	206.0	+	Srna	Mraheil et al. 2011	
lmo0142a	143986.0	144273.0	288.0	+	Gene		
lmo0143	144097.0	144273.0	177.0	+	Gene		
lmo0144	144397.0	144840.0	444.0	+	Gene		
Term_lmo0144	144875.0	144908.0	34.0	+	terminator		lmo0144
Term_lmo0145	145347.0	145358.0	12.0	+	terminator		lmo0145
lmo0146	145354.0	145560.0	207.0	+	Gene		
rli117	145571.0	145841.0	271.0	+	Srna	Mraheil et al. 2011	
lmo0147	145869.0	146306.0	438.0	+	Gene		
lmo0148	146306.0	146656.0	351.0	+	Gene		
Term_lmo0148	146652.0	146710.0	59.0	+	terminator		lmo0148
lmo0149	146764.0	147381.0	618.0	+	Gene		
lmo0150	147399.0	147764.0	366.0	+	Gene		
lmo0151	147884.0	148291.0	408.0	+	Gene		
Term_lmo0151	148305.0	148328.0	24.0	+	terminator		lmo0151
Term_lmo0152	148305.0	148328.0	24.0	-	terminator		lmo0152
lmo0152	148354.0	150009.0	1656.0	-	Gene		
lmo0153	150232.0	151173.0	942.0	+	Gene		
lmo0154	151186.0	151890.0	705.0	+	Gene		
lmo0155	151839.0	152645.0	807.0	+	Gene		
lmo0156	152648.0	153328.0	681.0	-	Gene		
Term_lmo0155	152772.0	152782.0	11.0	+	terminator		lmo0155
lmo0157	153608.0	155947.0	2340.0	+	Gene		
Operon_023	153608.0	156805.0	3198.0	+	Operon	2 genes	
lmo0158	155993.0	156805.0	813.0	+	Gene		
Term_lmo0158	156885.0	156913.0	29.0	+	terminator		lmo0158
lmo0159	157089.0	159470.0	2382.0	+	Gene		
Term_lmo0159	159477.0	159502.0	26.0	+	terminator		lmo0159
lmo0160	159663.0	161378.0	1716.0	+	Gene		
Term_lmo0160	161386.0	161413.0	28.0	+	terminator		lmo0160
Term_lmo0161	161386.0	161413.0	28.0	-	terminator		lmo0161
lmo0161	161420.0	162250.0	831.0	-	Gene		
lmo0162	162467.0	163459.0	993.0	+	Gene		
Operon_024	162467.0	166642.0	4176.0	+	Operon	6 genes	
lmo0163	163465.0	164298.0	834.0	+	Gene		
lmo0164	164309.0	164698.0	390.0	+	Gene		
Term_lmo0164	164707.0	164731.0	25.0	+	terminator		lmo0164
lmo0165	164756.0	165508.0	753.0	+	Gene		
lmo0166	165492.0	165764.0	273.0	+	Gene		
lmo0167	165761.0	166642.0	882.0	+	Gene		
Term_lmo0167	166646.0	166681.0	36.0	+	terminator		lmo0167
Term_lmo0168	166646.0	166681.0	36.0	-	terminator		lmo0168
lmo0168	166687.0	166971.0	285.0	-	Gene		
lmo0169	167086.0	167943.0	858.0	+	Gene		
Operon_025	167086.0	169270.0	2185.0	+	Operon	2 genes	
lmo0170	168005.0	169270.0	1266.0	+	Gene		
Term_lmo0170	169283.0	169315.0	33.0	+	terminator		lmo0170
lmo0171	169510.0	172008.0	2499.0	+	Gene		
rli23	172171.0	172268.0	98.0	+	Srna	Toledo-Arana et al. 2009	
anti0172-rli23	172186.0	172485.0	300.0	+	Srna	Wurtzel et al. 2012	
Term_lmo0171	172257.0	172300.0	44.0	+	terminator		lmo0171
Term_lmo0174	172821.0	172835.0	15.0	-	terminator		lmo0174
lmo0174	172903.0	173208.0	306.0	-	Gene		
Term_lmo0175	173214.0	173254.0	41.0	-	terminator		lmo0175
lmo0175	173309.0	174556.0	1248.0	-	Gene		
lmo0176	174834.0	175694.0	861.0	+	Gene		
Operon_026	174834.0	177760.0	2927.0	+	Operon	2 genes	
lmo0177	175766.0	177760.0	1995.0	+	Gene		metS
Term_metS	177767.0	177796.0	30.0	+	terminator		metS
lmo0178	177924.0	179138.0	1215.0	+	Gene		
lmo0179	179174.0	180052.0	879.0	+	Gene		
lmo0180	180052.0	180900.0	849.0	+	Gene		
lmo0181	180928.0	182184.0	1257.0	+	Gene		
Term_lmo0181	182194.0	182237.0	44.0	+	terminator		lmo0181
lmo0182	182267.0	185569.0	3303.0	+	Gene		
lmo0183	185572.0	187863.0	2292.0	+	Gene		
lmo0184	187867.0	189528.0	1662.0	+	Gene		
Term_lmo0184	189540.0	189559.0	20.0	+	terminator		lmo0184
lmo0185	189625.0	190398.0	774.0	+	Gene		
Term_lmo0185	190587.0	190597.0	11.0	+	terminator		lmo0185
lmo0186	190690.0	191916.0	1227.0	+	Gene		
Term_lmo0186	191930.0	191952.0	23.0	+	terminator		lmo0186
lmo0187	192018.0	192593.0	576.0	+	Gene		
Operon_027	192018.0	193473.0	1456.0	+	Operon	2 genes	
lmo0188	192586.0	193473.0	888.0	+	Gene		ksgA
lmo0189	193593.0	193850.0	258.0	+	Gene		
Term_lmo0189	193865.0	193887.0	23.0	+	terminator		lmo0189
lmo0190	193989.0	194870.0	882.0	+	Gene		ipk
Operon_028	193989.0	195629.0	1641.0	+	Operon	2 genes	
lmo0191	194892.0	195629.0	738.0	+	Gene		
Term_lmo0191	195639.0	195665.0	27.0	+	terminator		lmo0191
lmo0192	195793.0	196611.0	819.0	+	Gene		
Term_lmo0192	196619.0	196639.0	21.0	+	terminator		lmo0192
lmo0193	196786.0	197463.0	678.0	+	Gene		
Operon_029	196786.0	199409.0	2624.0	+	Operon	3 genes	
lmo0194	197512.0	198204.0	693.0	+	Gene		
lmo0195	198201.0	199409.0	1209.0	+	Gene		
Term_lmo0195	199417.0	199445.0	29.0	+	terminator		lmo0195
rli118	199775.0	199884.0	110.0	+	Srna	Mraheil et al. 2011	
lmo0196	200094.0	200402.0	309.0	+	Gene		
Operon_030	200094.0	200830.0	737.0	+	Operon	2 genes	
rli72	200410.0	200519.0	110.0	+	Srna	Oliver et al. 2009	
lmo0197	200522.0	200830.0	309.0	+	Gene		
Term_lmo0197	200845.0	200865.0	21.0	+	terminator		lmo0197
rli73	200942.0	201217.0	276.0	+	Srna	Oliver et al. 2009	
lmo0198	201217.0	202590.0	1374.0	+	Gene		glmU
Operon_031	201217.0	203597.0	2381.0	+	Operon	2 genes	
lmo0199	202641.0	203597.0	957.0	+	Gene		prs
lmo0200	203640.0	204353.0	714.0	-	Gene		prfA
PrfA	204339.0	204468.0	130.0	-	Srna	Johansson et al. 2002	
lmo0201	204624.0	205577.0	954.0	-	Gene		plcA
lmo0202	205819.0	207408.0	1590.0	+	Gene		hly
Term_hly	207462.0	207518.0	57.0	+	terminator		hly
rli51	207589.0	207709.0	121.0	+	Srna	Toledo-Arana et al. 2009	
lmo0203	207739.0	209271.0	1533.0	+	Gene		mpl
Operon_033	207739.0	213285.0	5547.0	+	Operon	5 genes	
rli74	209321.0	209453.0	133.0	+	Srna	Oliver et al. 2009	
lmo0204	209470.0	211389.0	1920.0	+	Gene		actA
lmo0205	211425.0	212294.0	870.0	+	Gene		plcB
lmo0206	212366.0	212689.0	324.0	+	Gene		
Term_lmo0206	212691.0	212708.0	18.0	+	terminator		lmo0206
lmo0207	212824.0	213285.0	462.0	+	Gene		
Term_lmo0207	213301.0	213327.0	27.0	+	terminator		lmo0207
Term_lmo0208	213301.0	213327.0	27.0	-	terminator		lmo0208
lmo0208	213336.0	213668.0	333.0	-	Gene		
lmo0209	213735.0	214409.0	675.0	-	Gene		
Term_ldh	214451.0	214468.0	18.0	-	terminator		ldh
lmo0210	214486.0	215427.0	942.0	-	Gene		ldh
rli119	215458.0	215587.0	130.0	-	Srna	Wurtzel et al. 2012	
lmo0211	215721.0	216344.0	624.0	+	Gene		ctc
Term_ctc	216362.0	216394.0	33.0	+	terminator		ctc
lmo0212	216434.0	217018.0	585.0	+	Gene		
Operon_034	216434.0	223261.0	6828.0	+	Operon	5 genes	
Term_lmo0212	217079.0	217098.0	20.0	+	terminator		lmo0212
lmo0213	217125.0	217685.0	561.0	+	Gene		pth
lmo0214	217800.0	221339.0	3540.0	+	Gene		mfd
lmo0215	221370.0	222959.0	1590.0	+	Gene		
lmo0216	222983.0	223261.0	279.0	+	Gene		
Term_lmo0216	223269.0	223305.0	37.0	+	terminator		lmo0216
lmo0217	223490.0	223876.0	387.0	+	Gene		
Operon_035	223490.0	224455.0	966.0	+	Operon	2 genes	
Term_lmo0217	223953.0	223967.0	15.0	+	terminator		lmo0217
lmo0218	224027.0	224455.0	429.0	+	Gene		
Term_lmo0218	224481.0	224512.0	32.0	+	terminator		lmo0218
lmo0219	224562.0	226508.0	1947.0	+	Gene		
rli120	226546.0	226640.0	95.0	+	Srna	Wurtzel et al. 2012	
Term_lmo0219	226607.0	226626.0	20.0	+	terminator		lmo0219
lmo0220	226854.0	228929.0	2076.0	+	Gene		ftsH
Term_ftsH	228937.0	228958.0	22.0	+	terminator		ftsH
lmo0221	229045.0	229824.0	780.0	+	Gene		
Operon_036	229045.0	230724.0	1680.0	+	Operon	2 genes	
Term_lmo0221	229822.0	229835.0	14.0	+	terminator		lmo0221
lmo0222	229840.0	230724.0	885.0	+	Gene		hslO
Term_lmo0222	230732.0	230753.0	22.0	+	terminator		lmo0222
lmo0223	230840.0	231766.0	927.0	+	Gene		cysK
Term_cysK	231775.0	231795.0	21.0	+	terminator		cysK
rli1 - LhrC-1	231884.0	231994.0	111.0	+	Srna	Christiansen et al. 2006	
rli2 - LhrC-2	232086.0	232197.0	112.0	+	Srna	Christiansen et al. 2006	
rli3 - LhrC-3	232289.0	232400.0	112.0	+	Srna	Christiansen et al. 2006	
rli4 - LhrC-4	232492.0	232605.0	114.0	+	Srna	Christiansen et al. 2006	
lmo0224	232662.0	233477.0	816.0	+	Gene		sul
Operon_037	232662.0	237020.0	4359.0	+	Operon	5 genes	
lmo0225	233491.0	233865.0	375.0	+	Gene		folA
lmo0226	233858.0	234337.0	480.0	+	Gene		folK
lmo0227	234414.0	235409.0	996.0	+	Gene		
Term_lmo0227	235416.0	235437.0	22.0	+	terminator		lmo0227
lmo0228	235524.0	237020.0	1497.0	+	Gene		lysS
Term_lysS	237023.0	237059.0	37.0	+	terminator		lysS
lmor01	237466.0	239020.0	1555.0	+	NcRNA	rRNA	
lmor02	239265.0	242195.0	2931.0	+	NcRNA	rRNA	
lmor03	242276.0	242385.0	110.0	+	NcRNA	rRNA	
lmot02	242399.0	242471.0	73.0	+	NcRNA	tRNA	
lmot03	242480.0	242555.0	76.0	+	NcRNA	tRNA	
lmot04	242597.0	242669.0	73.0	+	NcRNA	tRNA	
lmot05	242675.0	242756.0	82.0	+	NcRNA	tRNA	
lmot06	242771.0	242842.0	72.0	+	NcRNA	tRNA	
lmot07	242864.0	242949.0	86.0	+	NcRNA	tRNA	
lmot08	242962.0	243035.0	74.0	+	NcRNA	tRNA	
lmot09	243046.0	243119.0	74.0	+	NcRNA	tRNA	
lmot10	243139.0	243214.0	76.0	+	NcRNA	tRNA	
lmor04	243556.0	245041.0	1486.0	+	NcRNA	rRNA	
lmor05	245286.0	248216.0	2931.0	+	NcRNA	rRNA	
lmor06	248297.0	248406.0	110.0	+	NcRNA	rRNA	
lmo0229	248555.0	249013.0	459.0	+	Gene		
Operon_038	248555.0	253054.0	4500.0	+	Operon	4 genes	
lmo0230	249026.0	249544.0	519.0	+	Gene		
lmo0231	249541.0	250563.0	1023.0	+	Gene		
lmo0232	250592.0	253054.0	2463.0	+	Gene		clpC
Term_clpC	253063.0	253089.0	27.0	+	terminator		clpC
lmo0233	253200.0	254573.0	1374.0	+	Gene		
Term_lmo0233	254644.0	254676.0	33.0	+	terminator		lmo0233
lmo0234	254707.0	255780.0	1074.0	+	Gene		
Operon_039	254707.0	258458.0	3752.0	+	Operon	4 genes	
lmo0235	255800.0	256498.0	699.0	+	Gene		ispD
lmo0236	256491.0	256964.0	474.0	+	Gene		ispF
lmo0237	256983.0	258458.0	1476.0	+	Gene		gltX
T-box-1	258548.0	258760.0	213.0	+	Srna	KEGG DAS	
Term_gltX	258776.0	258796.0	21.0	+	terminator		gltX
lmo0238	258856.0	259470.0	615.0	+	Gene		cysE
Operon_040	258856.0	263262.0	4407.0	+	Operon	6 genes	
lmo0239	259477.0	260892.0	1416.0	+	Gene		cysS
Term_cysE	259477.0	259488.0	12.0	+	terminator		cysE
lmo0240	260896.0	261306.0	411.0	+	Gene		
lmo0241	261306.0	262061.0	756.0	+	Gene		
lmo0242	262064.0	262576.0	513.0	+	Gene		
lmo0243	262657.0	263262.0	606.0	+	Gene		sigH
lmo0244	263366.0	263515.0	150.0	+	Gene		rpmG
Operon_041	263366.0	263714.0	349.0	+	Operon	2 genes	
lmo0245	263535.0	263714.0	180.0	+	Gene		secE
lmo0246	263844.0	264377.0	534.0	+	Gene		nusG
Term_nusG	264384.0	264410.0	27.0	+	terminator		nusG
lmo0247	264432.0	264902.0	471.0	+	Gene		
Term_lmo0247	264946.0	264960.0	15.0	+	terminator		lmo0247
lmo0248	265029.0	265454.0	426.0	+	Gene		rplK
Operon_042	265029.0	266183.0	1155.0	+	Operon	2 genes	
lmo0249	265494.0	266183.0	690.0	+	Gene		rplA
L10	266232.0	266375.0	144.0	+	Srna	Rfam	
lmo0250	266431.0	266931.0	501.0	+	Gene		rplJ
Operon_043	266431.0	267372.0	942.0	+	Operon	2 genes	
lmo0251	267010.0	267372.0	363.0	+	Gene		rplL
lmo0252	267530.0	267916.0	387.0	+	Gene		
Operon_044	267530.0	268949.0	1420.0	+	Operon	2 genes	
lmo0253	267909.0	268949.0	1041.0	+	Gene		
Term_lmo0253	268961.0	268983.0	23.0	+	terminator		lmo0253
lmo0254	269067.0	269729.0	663.0	+	Gene		
lmo0255	269754.0	270257.0	504.0	+	Gene		
Term_lmo0255	270269.0	270294.0	26.0	+	terminator		lmo0255
lmo0256	270372.0	270977.0	606.0	+	Gene		
rli24	271014.0	271201.0	188.0	+	Srna	Toledo-Arana et al. 2009	
Term_lmo0256	271166.0	271193.0	28.0	+	terminator		lmo0256
lmo0257	271324.0	272502.0	1179.0	+	Gene		
Term_lmo0257	272510.0	272539.0	30.0	+	terminator		lmo0257
lmo0258	273003.0	276557.0	3555.0	+	Gene		rpoB
