RAST id	begin RAST	end RAST	length RAST	strand	diff length (aa)	NCBI id
RASTlmo485	513271	512291	981	-	1	lmo0476
RASTlmo522	546676	546314	363	-	1	lmo0512
RASTlmo525	549435	549869	435	+	1	lmo0515
RASTlmo530	554621	555628	1008	+	1	lmo0520
RASTlmo580	607288	608199	912	+	28	lmo0570
RASTlmo590	616967	617629	663	+	2	lmo0580
RASTlmo600	631042	632811	1770	+	1	lmo0590
RASTlmo616	645445	645858	414	+	-16	lmo0606
RASTlmo617	645866	647590	1725	+	4	lmo0607
RASTlmo622	652673	653044	372	+	-28	lmo0612
RASTlmo625	654853	654608	246	-	1	lmo0615
RASTlmo638	669083	669361	279	+	1	lmo0628
RASTlmo650	680426	681277	852	+	-22	lmo0640
RASTlmo663	695422	694973	450	-	-29	lmo0652
RASTlmo664	696419	695496	924	-	1	lmo0653
RASTlmo699	719713	720504	792	+	-20	lmo0685
RASTlmo707	728279	728581	303	+	1	lmo0693
RASTlmo72	75907	76125	219	+	-25	lmo0069
RASTlmo76	78383	78811	429	+	-7	lmo0074
RASTlmo761	776815	777102	288	+	-18	lmo0747
RASTlmo811	824420	824884	465	+	1	lmo0797
RASTlmo821	834839	835939	1101	+	2	lmo0807
RASTlmo851	867163	868800	1638	+	-32	lmo0837
RASTlmo871	893799	895211	1413	+	13	lmo0856
RASTlmo876	899523	900287	765	+	-23	lmo0861
RASTlmo904	926514	926858	345	+	-1	lmo0888
RASTlmo913	932317	933882	1566	+	-20	lmo0897
RASTlmo959	977042	976065	978	-	1	lmo0941
RASTlmo1174	1181618	1182421	804	+	34	lmo1152
RASTlmo331	351564	355505	3942	+	-35	lmo0327
RASTlmo1081	1087514	1088854	1341	+	-35	lmo1061
RASTlmo1122	1137005	1137400	396	+	-35	lmo1101
RASTlmo1790	1833020	1834480	1461	+	35	lmo1761
RASTlmo2405	2445987	2445685	303	-	-35	lmo2368
RASTlmo2720	2747532	2748683	1152	+	-35	lmo2676
RASTlmo1977	2021148	2020738	411	-	-36	lmo1946
RASTlmo1148	1162600	1161689	912	-	-37	lmo1128
RASTlmo1952	1998148	1996784	1365	-	37	lmo1922
RASTlmo1018	1029705	1029208	498	-	-38	lmo0998
RASTlmo474	501816	501959	144	+	-41	lmo0464
RASTlmo875	898712	899467	756	+	-41	lmo0860
RASTlmo941	961326	961469	144	+	-41	lmo0924
RASTlmo2686	2715155	2716363	1209	+	-41	lmo2642
RASTlmo848	864950	865537	588	+	-42	lmo0834
RASTlmo2085	2137048	2136893	156	-	-42	lmo2054
RASTlmo792	803330	803548	219	+	-43	lmo0778
RASTlmo1076	1084284	1084724	441	+	43	lmo1056
RASTlmo2520	2556378	2556013	366	-	-44	lmo2480
RASTlmo2872	2915073	2914057	1017	-	-44	lmo2826
RASTlmo422	437617	438882	1266	+	-45	lmo0415
RASTlmo2340	2388439	2388179	261	-	-48	lmo2306
RASTlmo482	510277	511212	936	+	-50	lmo0473
RASTlmo2832	2875681	2873915	1767	-	-52	lmo2787
RASTlmo521	545768	546289	522	+	-53	lmo0511
RASTlmo1133	1149223	1149011	213	-	-54	lmo1113
RASTlmo2577	2612426	2612205	222	-	-59	lmo2536
RASTlmo173	169696	172008	2313	+	-62	lmo0171
RASTlmo1969	2013913	2012582	1332	-	62	lmo1938
RASTlmo2505	2540030	2540173	144	+	-64	lmo2466
RASTlmo209	212570	212689	120	+	-68	lmo0206
RASTlmo2483	2515000	2514308	693	-	-70	lmo2445
RASTlmo2576	2611970	2611482	489	-	-76	lmo2535
RASTlmo1327	1328609	1329652	1044	+	-84	lmo1300
RASTlmo161	159921	161378	1458	+	-86	lmo0160
RASTlmo2334	2386416	2386141	276	-	-88	lmo2302
RASTlmo1140	1157868	1158008	141	+	-92	lmo1120
RASTlmo1774	1816837	1815143	1695	-	-95	lmo1746
RASTlmo2553	2592425	2591451	975	-	-115	lmo2513
