RAST id	NCBI id
RASTlmo1182	lmo1160
RASTlmo1183	lmo1161
RASTlmo1184	lmo1162
RASTlmo1185	lmo1163
RASTlmo1186	lmo1164
RASTlmo1187	lmo1165
RASTlmo1188	lmo1166
RASTlmo1189	lmo1167
RASTlmo119	lmo0118
RASTlmo1190	lmo1168
RASTlmo1191	lmo1169
RASTlmo1193	lmo1171
RASTlmo1195	lmo1173
RASTlmo1196	lmo1174
RASTlmo1197	lmo1175
RASTlmo1198	lmo1176
RASTlmo1199	lmo1177
RASTlmo12	lmo0011
RASTlmo120	lmo0119
RASTlmo1200	lmo1178
RASTlmo1201	lmo1179
RASTlmo1202	lmo1180
RASTlmo1203	lmo1181
RASTlmo1204	lmo1182
RASTlmo1206	lmo1184
RASTlmo1208	lmo1186
RASTlmo1209	lmo1187
RASTlmo121	lmo0120
RASTlmo1210	lmo1188
RASTlmo1211	lmo1189
RASTlmo1213	lmo1190
RASTlmo1214	lmo1191
RASTlmo1215	lmo1192
RASTlmo1216	lmo1193
RASTlmo1217	lmo1194
RASTlmo1218	lmo1195
RASTlmo1219	lmo1196
RASTlmo122	lmo0121
RASTlmo1220	lmo1197
RASTlmo1221	lmo1198
RASTlmo1222	lmo1199
RASTlmo1223	lmo1200
RASTlmo1224	lmo1201
RASTlmo1225	lmo1202
RASTlmo1226	lmo1203
RASTlmo1228	lmo1205
RASTlmo1229	lmo1206
RASTlmo123	lmo0122
RASTlmo1230	lmo1207
RASTlmo1231	lmo1208
RASTlmo1232	lmo1209
RASTlmo1233	lmo1210
RASTlmo1234	lmo1211
RASTlmo1235	lmo1212
RASTlmo1236	lmo1213
RASTlmo1237	lmo1214
RASTlmo1239	lmo1216
RASTlmo124	lmo0123
RASTlmo1240	lmo1217
RASTlmo1241	lmo1218
RASTlmo1242	lmo1219
RASTlmo1243	lmo1220
RASTlmo1244	lmo1221
RASTlmo1245	lmo1222
RASTlmo1246	lmo1223
RASTlmo1247	lmo1224
RASTlmo1248	lmo1225
RASTlmo1249	lmo1226
RASTlmo125	lmo0124
RASTlmo1250	lmo1227
RASTlmo1252	lmo1229
RASTlmo1253	lmo1230
RASTlmo1254	lmo1231
RASTlmo1255	lmo1232
RASTlmo1256	lmo1233
RASTlmo1257	lmo1234
RASTlmo1258	lmo1235
RASTlmo126	lmo0125
RASTlmo1261	lmo1237
RASTlmo1262	lmo1238
RASTlmo1263	lmo1239
RASTlmo1264	lmo1240
RASTlmo1265	lmo1241
RASTlmo1266	lmo1242
RASTlmo1267	lmo1243
RASTlmo1268	lmo1244
RASTlmo1269	lmo1245
RASTlmo127	lmo0126
RASTlmo1270	lmo1246
RASTlmo1271	lmo1247
RASTlmo1272	lmo1248
RASTlmo1273	lmo1249
RASTlmo1274	lmo1250
RASTlmo1275	lmo1251
RASTlmo1277	lmo1252
RASTlmo1279	lmo1253
RASTlmo128	lmo0127
RASTlmo1280	lmo1254
RASTlmo1281	lmo1255
RASTlmo1282	lmo1256
RASTlmo1283	lmo1257
RASTlmo1284	lmo1258
RASTlmo1285	lmo1259
RASTlmo1286	lmo1260
RASTlmo1287	lmo1261
RASTlmo1288	lmo1262
RASTlmo1289	lmo1263
RASTlmo129	lmo0128
RASTlmo1290	lmo1264
RASTlmo1291	lmo1265
RASTlmo1292	lmo1266
RASTlmo1293	lmo1267
RASTlmo1294	lmo1268
RASTlmo1295	lmo1269
RASTlmo1296	lmo1270
RASTlmo1297	lmo1271
RASTlmo1298	lmo1272
RASTlmo1299	lmo1273
RASTlmo13	lmo0012
RASTlmo130	lmo0129
RASTlmo1300	lmo1274
RASTlmo1301	lmo1275
RASTlmo1302	lmo1276
RASTlmo1303	lmo1277
RASTlmo1304	lmo1278
RASTlmo1305	lmo1279
RASTlmo1306	lmo1280
RASTlmo1308	lmo1282
RASTlmo1309	lmo1283
RASTlmo1310	lmo1284
RASTlmo1311	lmo1285
RASTlmo1312	lmo1286
RASTlmo1313	lmo1287
RASTlmo1314	lmo1288
RASTlmo1316	lmo1290
RASTlmo1317	lmo1291
RASTlmo1318	lmo1292
RASTlmo1319	lmo1293
RASTlmo132	lmo0131
RASTlmo1320	lmo1294
RASTlmo1321	lmo1295
RASTlmo1322	lmo1296
RASTlmo1323	lmo1297
RASTlmo1325	lmo1299
RASTlmo1328	lmo1301
RASTlmo1329	lmo1302
RASTlmo133	lmo0132
RASTlmo1330	lmo1303
RASTlmo1331	lmo1304
RASTlmo1332	lmo1305
RASTlmo1333	lmo1306
RASTlmo1334	lmo1307
RASTlmo1335	lmo1308
RASTlmo1336	lmo1309
RASTlmo1337	lmo1310
RASTlmo1339	lmo1312
RASTlmo134	lmo0133
RASTlmo1340	lmo1313
RASTlmo1341	lmo1314
RASTlmo1343	lmo1316
RASTlmo1344	lmo1317
RASTlmo1345	lmo1318
RASTlmo1346	lmo1319
RASTlmo1347	lmo1320
RASTlmo1348	lmo1321
RASTlmo1349	lmo1322
RASTlmo135	lmo0134
RASTlmo1350	lmo1323
RASTlmo1351	lmo1324
RASTlmo1352	lmo1325
RASTlmo1353	lmo1326
RASTlmo1354	lmo1327
RASTlmo1355	lmo1328
RASTlmo1356	lmo1329
RASTlmo1357	lmo1330
RASTlmo1358	lmo1331
RASTlmo1359	lmo1332
RASTlmo136	lmo0135
RASTlmo1360	lmo1333
RASTlmo1361	lmo1334
RASTlmo1362	lmo1335
RASTlmo1363	lmo1336
RASTlmo1364	lmo1337
RASTlmo1365	lmo1338
RASTlmo1366	lmo1339
RASTlmo1367	lmo1340
RASTlmo1368	lmo1341
RASTlmo1369	lmo1342
RASTlmo137	lmo0136
RASTlmo1371	lmo1344
RASTlmo1372	lmo1345
RASTlmo1373	lmo1346
RASTlmo1374	lmo1347
RASTlmo1375	lmo1348
RASTlmo1376	lmo1349
RASTlmo1377	lmo1350
RASTlmo1378	lmo1351
RASTlmo1379	lmo1352
RASTlmo1380	lmo1353
RASTlmo1381	lmo1354
RASTlmo1382	lmo1355
RASTlmo1383	lmo1356
RASTlmo1384	lmo1357
RASTlmo1385	lmo1358
RASTlmo1386	lmo1359
RASTlmo1387	lmo1360
RASTlmo1389	lmo1362
RASTlmo1390	lmo1363
RASTlmo1391	lmo1364
RASTlmo1393	lmo1366
RASTlmo1394	lmo1367
RASTlmo1395	lmo1368
RASTlmo1396	lmo1369
RASTlmo1397	lmo1370
RASTlmo1398	lmo1371
RASTlmo1399	lmo1372
RASTlmo14	lmo0013
RASTlmo140	lmo0138
RASTlmo1400	lmo1373
RASTlmo1401	lmo1374
RASTlmo1402	lmo1375
RASTlmo1403	lmo1376
RASTlmo1404	lmo1377
RASTlmo1405	lmo1378
RASTlmo1406	lmo1379
RASTlmo1407	lmo1381
RASTlmo1408	lmo1382
RASTlmo1409	lmo1383
RASTlmo141	lmo0139
RASTlmo1410	lmo1384
RASTlmo1411	lmo1385
RASTlmo1412	lmo1386
RASTlmo1413	lmo1387
RASTlmo1414	lmo1388
RASTlmo1416	lmo1390
RASTlmo1417	lmo1391
RASTlmo1418	lmo1392
RASTlmo1419	lmo1393
RASTlmo1420	lmo1394
RASTlmo1421	lmo1395
RASTlmo1422	lmo1396
RASTlmo1423	lmo1397
RASTlmo1424	lmo1398
RASTlmo1425	lmo1399
RASTlmo1426	lmo1400
RASTlmo1427	lmo1401
RASTlmo1428	lmo1402
RASTlmo1429	lmo1403
RASTlmo143	lmo0141
RASTlmo1430	lmo1404
RASTlmo1431	lmo1405
RASTlmo1433	lmo1407
RASTlmo1434	lmo1408
RASTlmo1435	lmo1409
RASTlmo1436	lmo1410
RASTlmo1438	lmo1412
RASTlmo1439	lmo1413
RASTlmo144	lmo0142
RASTlmo1440	lmo1414
RASTlmo1441	lmo1415
RASTlmo1442	lmo1416
RASTlmo1443	lmo1417
RASTlmo1444	lmo1418
RASTlmo1445	lmo1419
RASTlmo1446	lmo1420
RASTlmo1447	lmo1421
RASTlmo1448	lmo1422
RASTlmo1449	lmo1423
RASTlmo145	lmo0143
RASTlmo1450	lmo1424
RASTlmo1451	lmo1425
RASTlmo1452	lmo1426
RASTlmo1453	lmo1427
RASTlmo1454	lmo1428
RASTlmo1455	lmo1429
RASTlmo1456	lmo1430
RASTlmo1457	lmo1431
RASTlmo1458	lmo1432
RASTlmo1459	lmo1433
RASTlmo146	lmo0144
RASTlmo1460	lmo1434
RASTlmo1461	lmo1435
RASTlmo1462	lmo1436
RASTlmo1463	lmo1437
RASTlmo1464	lmo1438
RASTlmo1465	lmo1439
RASTlmo1466	lmo1440
RASTlmo1467	lmo1441
RASTlmo1468	lmo1442
RASTlmo1469	lmo1443
RASTlmo147	lmo0146
RASTlmo1470	lmo1444
RASTlmo1471	lmo1445
RASTlmo1472	lmo1446
RASTlmo1473	lmo1447
RASTlmo1474	lmo1448
RASTlmo1475	lmo1449
RASTlmo1476	lmo1450
RASTlmo1477	lmo1451
RASTlmo1478	lmo1452
RASTlmo148	lmo0147
RASTlmo1480	lmo1454
RASTlmo1481	lmo1455
RASTlmo1482	lmo1456
RASTlmo1483	lmo1457
RASTlmo1484	lmo1458
RASTlmo1485	lmo1459
RASTlmo1486	lmo1460
RASTlmo1488	lmo1462
RASTlmo1489	lmo1463
RASTlmo149	lmo0148
RASTlmo1491	lmo1465
RASTlmo1492	lmo1466
RASTlmo1493	lmo1467
RASTlmo1495	lmo1468
RASTlmo1496	lmo1469
RASTlmo1497	lmo1470
RASTlmo1498	lmo1471
RASTlmo1499	lmo1472
RASTlmo15	lmo0014
RASTlmo1500	lmo1473
RASTlmo1501	lmo1474
RASTlmo1502	lmo1475
RASTlmo1503	lmo1476
RASTlmo1504	lmo1477
RASTlmo1505	lmo1478
RASTlmo1506	lmo1479
RASTlmo1507	lmo1480
RASTlmo1508	lmo1481
RASTlmo1509	lmo1482
RASTlmo151	lmo0150
RASTlmo1511	lmo1484
RASTlmo1512	lmo1485
RASTlmo1513	lmo1486
RASTlmo1514	lmo1487
RASTlmo1515	lmo1488
RASTlmo1516	lmo1489
RASTlmo1517	lmo1490
RASTlmo1518	lmo1491
RASTlmo1519	lmo1492
RASTlmo152	lmo0151
RASTlmo1520	lmo1493
RASTlmo1521	lmo1494
RASTlmo1522	lmo1495
RASTlmo1523	lmo1496
RASTlmo1525	lmo1497
RASTlmo1526	lmo1498
RASTlmo1527	lmo1499
RASTlmo1528	lmo1500
RASTlmo1529	lmo1501
RASTlmo153	lmo0152
RASTlmo1531	lmo1503
RASTlmo1532	lmo1504
RASTlmo1533	lmo1505
RASTlmo1535	lmo1507
RASTlmo1537	lmo1509
RASTlmo1539	lmo1511
RASTlmo154	lmo0153
RASTlmo1540	lmo1512
RASTlmo1541	lmo1513
RASTlmo1542	lmo1514
RASTlmo1543	lmo1515
RASTlmo1544	lmo1516
RASTlmo1545	lmo1517
RASTlmo1546	lmo1518
RASTlmo1547	lmo1519
RASTlmo1548	lmo1520
RASTlmo1549	lmo1521
RASTlmo155	lmo0154
RASTlmo1550	lmo1522
RASTlmo1551	lmo1523
RASTlmo1552	lmo1524
RASTlmo1553	lmo1525
RASTlmo1554	lmo1526
RASTlmo1555	lmo1527
RASTlmo1556	lmo1528
RASTlmo1557	lmo1529
RASTlmo1558	lmo1530
RASTlmo1559	lmo1531
RASTlmo1560	lmo1532
RASTlmo1561	lmo1533
RASTlmo1562	lmo1534
RASTlmo1563	lmo1535
RASTlmo1564	lmo1536
RASTlmo1566	lmo1538
RASTlmo1567	lmo1539
RASTlmo1568	lmo1540
RASTlmo1569	lmo1541
RASTlmo157	lmo0156
RASTlmo1570	lmo1542
RASTlmo1571	lmo1543
RASTlmo1572	lmo1544
RASTlmo1573	lmo1545
RASTlmo1574	lmo1546
RASTlmo1575	lmo1547
RASTlmo1576	lmo1548
RASTlmo1577	lmo1549
RASTlmo1578	lmo1550
RASTlmo1579	lmo1551
RASTlmo158	lmo0157
RASTlmo1580	lmo1552
RASTlmo1581	lmo1553
RASTlmo1582	lmo1554
RASTlmo1583	lmo1555
RASTlmo1584	lmo1556
RASTlmo1585	lmo1557
RASTlmo1586	lmo1558
RASTlmo1587	lmo1559
RASTlmo1588	lmo1560
RASTlmo1589	lmo1561
RASTlmo159	lmo0158
RASTlmo1590	lmo1562
RASTlmo1591	lmo1563
RASTlmo1592	lmo1564
RASTlmo1593	lmo1565
RASTlmo1594	lmo1566
RASTlmo1595	lmo1567
RASTlmo1596	lmo1568
RASTlmo1597	lmo1569
RASTlmo1598	lmo1570
RASTlmo1599	lmo1571
RASTlmo16	lmo0015
RASTlmo160	lmo0159
RASTlmo1600	lmo1572
RASTlmo1601	lmo1573
RASTlmo1602	lmo1574
RASTlmo1603	lmo1575
RASTlmo1605	lmo1577
RASTlmo1606	lmo1578
RASTlmo1607	lmo1579
RASTlmo1608	lmo1580
RASTlmo1610	lmo1582
RASTlmo1611	lmo1583
RASTlmo1612	lmo1584
RASTlmo1613	lmo1585
RASTlmo1614	lmo1586
RASTlmo1615	lmo1587
RASTlmo1616	lmo1588
RASTlmo1617	lmo1589
RASTlmo1618	lmo1590
RASTlmo1619	lmo1591
RASTlmo162	lmo0161
RASTlmo1622	lmo1594
RASTlmo1623	lmo1595
RASTlmo1624	lmo1596
RASTlmo1626	lmo1597
RASTlmo1628	lmo1599
RASTlmo1629	lmo1600
RASTlmo1630	lmo1601
RASTlmo1631	lmo1602
RASTlmo1632	lmo1603
RASTlmo1633	lmo1604
RASTlmo1634	lmo1605
RASTlmo1635	lmo1606
RASTlmo1636	lmo1607
RASTlmo1637	lmo1608
RASTlmo1638	lmo1609
RASTlmo164	lmo0163
RASTlmo1640	lmo1611
RASTlmo1641	lmo1612
RASTlmo1642	lmo1613
RASTlmo1643	lmo1614
RASTlmo1644	lmo1615
RASTlmo1645	lmo1616
RASTlmo1647	lmo1618
RASTlmo1648	lmo1619
RASTlmo1649	lmo1620
RASTlmo165	lmo0164
RASTlmo1650	lmo1621
RASTlmo1651	lmo1622
RASTlmo1652	lmo1623
RASTlmo1653	lmo1624
RASTlmo1655	lmo1626
RASTlmo1656	lmo1627
RASTlmo1657	lmo1628
RASTlmo1658	lmo1629
RASTlmo1659	lmo1630
RASTlmo1660	lmo1631
RASTlmo1661	lmo1632
RASTlmo1662	lmo1633
RASTlmo1663	lmo1634
RASTlmo1664	lmo1635
RASTlmo1665	lmo1636
RASTlmo1666	lmo1637
RASTlmo1667	lmo1638
RASTlmo1668	lmo1639
RASTlmo1669	lmo1640
RASTlmo167	lmo0166
RASTlmo1670	lmo1641
RASTlmo1671	lmo1642
RASTlmo1672	lmo1643
RASTlmo1673	lmo1644
RASTlmo1674	lmo1645
RASTlmo1675	lmo1646
RASTlmo1676	lmo1647
RASTlmo1677	lmo1648
RASTlmo1678	lmo1649
RASTlmo1679	lmo1650
RASTlmo168	lmo0167
RASTlmo1680	lmo1651
RASTlmo1681	lmo1652
RASTlmo1682	lmo1653
RASTlmo1683	lmo1654
RASTlmo1684	lmo1655
RASTlmo1685	lmo1656
RASTlmo1686	lmo1657
RASTlmo1687	lmo1658
RASTlmo1688	lmo1660
RASTlmo1689	lmo1661
RASTlmo169	lmo0168
RASTlmo1690	lmo1662
RASTlmo1691	lmo1663
RASTlmo1692	lmo1664
RASTlmo1693	lmo1665
RASTlmo1694	lmo1666
RASTlmo1695	lmo1667
RASTlmo1696	lmo1668
RASTlmo1697	lmo1669
RASTlmo1698	lmo1670
RASTlmo1699	lmo1671
RASTlmo17	lmo0016
RASTlmo170	lmo0169
RASTlmo1700	lmo1672
RASTlmo1701	lmo1673
RASTlmo1702	lmo1674
RASTlmo1703	lmo1675
RASTlmo1704	lmo1676
RASTlmo1705	lmo1677
RASTlmo1706	lmo1678
RASTlmo1707	lmo1679
RASTlmo1708	lmo1680
RASTlmo1710	lmo1682
RASTlmo1711	lmo1683
RASTlmo1712	lmo1684
RASTlmo1713	lmo1685
RASTlmo1714	lmo1686
RASTlmo1715	lmo1687
RASTlmo1716	lmo1688
RASTlmo1717	lmo1689
RASTlmo1718	lmo1690
RASTlmo1719	lmo1691
RASTlmo1720	lmo1692
RASTlmo1721	lmo1693
RASTlmo1722	lmo1694
RASTlmo1723	lmo1695
RASTlmo1724	lmo1696
RASTlmo1725	lmo1697
RASTlmo1726	lmo1698
RASTlmo1727	lmo1699
RASTlmo1728	lmo1700
RASTlmo1729	lmo1701
RASTlmo1730	lmo1702
RASTlmo1731	lmo1703
RASTlmo1732	lmo1704
RASTlmo1733	lmo1705
RASTlmo1734	lmo1706
RASTlmo1736	lmo1708
RASTlmo1737	lmo1709
RASTlmo1738	lmo1710
RASTlmo1739	lmo1711
RASTlmo1740	lmo1712
RASTlmo1741	lmo1713
RASTlmo1742	lmo1714
RASTlmo1744	lmo1716
RASTlmo1746	lmo1718
RASTlmo1747	lmo1719
RASTlmo1748	lmo1720
RASTlmo1749	lmo1721
RASTlmo1750	lmo1722
RASTlmo1751	lmo1723
RASTlmo1752	lmo1724
RASTlmo1753	lmo1725
RASTlmo1754	lmo1726
RASTlmo1755	lmo1727
RASTlmo1757	lmo1729
RASTlmo1758	lmo1730
RASTlmo1759	lmo1731
RASTlmo1760	lmo1732
RASTlmo1761	lmo1733
RASTlmo1762	lmo1734
RASTlmo1763	lmo1735
RASTlmo1764	lmo1736
RASTlmo1766	lmo1738
RASTlmo1767	lmo1739
RASTlmo1768	lmo1740
RASTlmo1769	lmo1741
RASTlmo177	lmo0174
RASTlmo1770	lmo1742
RASTlmo1771	lmo1743
RASTlmo1772	lmo1744
RASTlmo1773	lmo1745
RASTlmo1776	lmo1747
RASTlmo1777	lmo1748
RASTlmo1778	lmo1749
RASTlmo1779	lmo1750
RASTlmo178	lmo0175
RASTlmo1780	lmo1751
RASTlmo1781	lmo1752
RASTlmo1782	lmo1753
RASTlmo1783	lmo1754
RASTlmo1784	lmo1755
RASTlmo1785	lmo1756
RASTlmo1786	lmo1757
RASTlmo1788	lmo1759
RASTlmo1789	lmo1760
RASTlmo179	lmo0176
RASTlmo1791	lmo1762
RASTlmo1792	lmo1763
RASTlmo1793	lmo1764
RASTlmo1794	lmo1765
RASTlmo1795	lmo1766
RASTlmo1796	lmo1767
RASTlmo1797	lmo1768
RASTlmo1798	lmo1769
RASTlmo1799	lmo1770
RASTlmo18	lmo0017
RASTlmo1800	lmo1771
RASTlmo1801	lmo1772
RASTlmo1802	lmo1773
RASTlmo1803	lmo1774
RASTlmo1804	lmo1775
RASTlmo1805	lmo1776
RASTlmo1806	lmo1777
RASTlmo1807	lmo1778
RASTlmo1808	lmo1779
RASTlmo1809	lmo1780
RASTlmo181	lmo0178
RASTlmo1810	lmo1781
RASTlmo1811	lmo1782
RASTlmo1812	lmo1783
RASTlmo1813	lmo1784
RASTlmo1816	lmo1787
RASTlmo1817	lmo1788
RASTlmo1818	lmo1789
RASTlmo182	lmo0179
RASTlmo1820	lmo1791
RASTlmo1821	lmo1792
RASTlmo1822	lmo1793
RASTlmo1823	lmo1794
RASTlmo1824	lmo1795
RASTlmo1825	lmo1796
RASTlmo1826	lmo1797
RASTlmo1827	lmo1798
RASTlmo1829	lmo1800
RASTlmo183	lmo0180
RASTlmo1830	lmo1801
RASTlmo1832	lmo1803
RASTlmo1833	lmo1804
RASTlmo1834	lmo1805
RASTlmo1836	lmo1806
RASTlmo1837	lmo1807
RASTlmo1838	lmo1808
RASTlmo1839	lmo1809
RASTlmo184	lmo0181
RASTlmo1840	lmo1810
RASTlmo1841	lmo1811
RASTlmo1842	lmo1812
RASTlmo1844	lmo1814
RASTlmo1845	lmo1815
RASTlmo1846	lmo1816
RASTlmo1847	lmo1817
RASTlmo1848	lmo1818
RASTlmo1849	lmo1819
RASTlmo185	lmo0182
RASTlmo1850	lmo1820
RASTlmo1851	lmo1821
RASTlmo1852	lmo1822
RASTlmo1853	lmo1823
RASTlmo1854	lmo1824
RASTlmo1855	lmo1825
RASTlmo1856	lmo1826
RASTlmo1858	lmo1828
RASTlmo1859	lmo1829
RASTlmo186	lmo0183
RASTlmo1860	lmo1830
RASTlmo1861	lmo1831
RASTlmo1862	lmo1832
RASTlmo1863	lmo1833
RASTlmo1864	lmo1834
RASTlmo1865	lmo1835
RASTlmo1866	lmo1836
RASTlmo1867	lmo1837
RASTlmo1868	lmo1838
RASTlmo1869	lmo1839
RASTlmo187	lmo0184
RASTlmo1870	lmo1840
RASTlmo1871	lmo1841
RASTlmo1872	lmo1842
RASTlmo1873	lmo1843
RASTlmo1874	lmo1844
RASTlmo1875	lmo1845
RASTlmo1877	lmo1847
RASTlmo1878	lmo1848
RASTlmo1879	lmo1849
RASTlmo188	lmo0185
RASTlmo1880	lmo1850
RASTlmo1881	lmo1851
RASTlmo1882	lmo1852
RASTlmo1883	lmo1853
RASTlmo1884	lmo1854
RASTlmo1885	lmo1855
RASTlmo1886	lmo1856
RASTlmo1887	lmo1857
RASTlmo1888	lmo1858
RASTlmo1889	lmo1859
RASTlmo189	lmo0186
RASTlmo1890	lmo1860
RASTlmo1891	lmo1861
RASTlmo1892	lmo1862
RASTlmo1893	lmo1863
RASTlmo1894	lmo1864
RASTlmo1895	lmo1865
RASTlmo1896	lmo1866
RASTlmo1897	lmo1867
RASTlmo1898	lmo1868
RASTlmo1899	lmo1869
RASTlmo19	lmo0018
RASTlmo190	lmo0187
RASTlmo1900	lmo1870
RASTlmo1901	lmo1871
RASTlmo1902	lmo1872
RASTlmo1903	lmo1873
RASTlmo1904	lmo1874
RASTlmo1905	lmo1875
RASTlmo1907	lmo1877
RASTlmo1908	lmo1878
RASTlmo1909	lmo1879
RASTlmo191	lmo0188
RASTlmo1910	lmo1880
RASTlmo1911	lmo1881
RASTlmo1912	lmo1882
RASTlmo1913	lmo1883
RASTlmo1914	lmo1884
RASTlmo1915	lmo1885
RASTlmo1916	lmo1886
RASTlmo1917	lmo1887
RASTlmo1918	lmo1888
RASTlmo1919	lmo1889
RASTlmo192	lmo0189
RASTlmo1920	lmo1890
RASTlmo1921	lmo1891
RASTlmo1922	lmo1892
RASTlmo1923	lmo1893
RASTlmo1924	lmo1894
RASTlmo1925	lmo1895
RASTlmo1926	lmo1896
RASTlmo1927	lmo1897
RASTlmo1928	lmo1898
RASTlmo1929	lmo1899
RASTlmo193	lmo0190
RASTlmo1930	lmo1900
RASTlmo1931	lmo1901
RASTlmo1932	lmo1902
RASTlmo1933	lmo1903
RASTlmo1934	lmo1904
RASTlmo1935	lmo1905
RASTlmo1936	lmo1906
RASTlmo1937	lmo1907
RASTlmo1938	lmo1908
RASTlmo1939	lmo1909
RASTlmo194	lmo0191
