Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	FC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	STAT_EGD_WT vs EGDe_280212_FDRBH.ge	STAT_EGD_WT vs EGDe_280212_FDRBY.ge	STAT_EGD_WT vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0181	6.628567636423851	98.94587350389351	0.0	0.0	0.0	0.0	+	180928	182184	1257			sugar ABC transporter substrate-binding protein				ATG	 
lmo0183	5.517317043983371	45.80131274630278	1.4237500067793007E-12	1.839873304215251E-10	1.5694131495830237E-9	4.047721269273552E-9	+	185572	187863	2292			alpha-glucosidase				ATG	 
lmo0184	4.50185540415095	22.65653611899745	5.271494352143691E-11	4.9956194810481705E-9	4.261266732827642E-8	1.4986858443144513E-7	+	187867	189528	1662			oligo-1,6-glucosidase				ATG	 
lmo0201	3.2464585058223996	9.490331657511547	1.866719616172574E-5	6.472053498510522E-4	0.005520665929602998	0.05307083868778628	-	204624	205577	954	plcA		phosphatidylinositol-specific phospholipase c				TTG	 
lmo0202	4.751453830811071	26.935815341657268	0.0	0.0	0.0	0.0	+	205819	207408	1590	hly		listeriolysin O precursor				ATG	 
lmo0203	4.75589034690976	27.018774737810237	1.204256827591621E-8	7.608227024095508E-7	6.4898227009828215E-6	3.4237021608429785E-5	+	207739	209271	1533	mpl		Zinc metalloproteinase precursor				ATG	 
lmo0204	4.77402234321434	27.36049342494529	1.3672618592863728E-10	1.110607275986045E-8	9.473487435041146E-8	3.887125465951158E-7	+	209470	211389	1920	actA		actin-assembly inducing protein precursor				GTG	 
lmo0205	5.77786535380297	54.86694539380845	0.0	0.0	0.0	0.0	+	211425	212294	870	plcB		phospholipase C				ATG	 
lmo0206	6.3865908827734605	83.66723671643236	1.199040866595169E-14	2.0052195198412153E-12	1.7104535812489748E-11	3.4088731837300656E-11	+	212366	212689	324			hypothetical protein				ATG	 
lmo0207	5.121902854975491	34.821413326803835	2.000398313661833E-8	1.2100281714341684E-6	1.03215483330504E-5	5.6871324057405914E-5	+	212824	213285	462			hypothetical protein				ATG	 
lmo0234	2.9336097997822197	7.6401967967384	4.04050050217819E-6	1.5954365177350827E-4	0.001360908408487594	0.011487142927692595	+	254707	255780	1074			hypothetical protein				ATG	 
lmo0241	-4.776402454129701	-27.405669123209375	5.062501085006943E-9	3.347137345273195E-7	2.855110376946695E-6	1.4392690584674739E-5	+	261306	262061	756			hypothetical protein				ATG	 
lmo0252	-3.414768741134309	-10.664679769606103	3.3111955843878604E-8	1.9211691931458547E-6	1.6387585967952976E-5	9.413729046414687E-5	+	267530	267916	387			penicilinase repressor				ATG	 
lmo0253	-3.8999584328511494	-14.928097747770831	0.0	0.0	0.0	0.0	+	267909	268949	1041			penicillinase antirepressor				ATG	 
lmo0294	-1.9531422788647301	-3.87216996289803	5.974277682574414E-5	0.0018069012182509636	0.015412879383725674	0.16984871451559058	-	319560	320423	864			LysR family transcriptional regulator				ATG	 
lmo0436	-3.6156993707749194	-12.258405005389822	2.886072735019951E-5	9.540819518211303E-4	0.008138325381086898	0.08205104785661721	-	465934	466419	486			hypothetical protein				TTG	 
lmo0465	-2.63368560859739	-6.206094257781376	4.1963215624551964E-7	1.9557610167311675E-5	1.6682654452714767E-4	0.0011930142202060123	-	502424	502660	237			hypothetical protein				ATG	 
lmo0470	-2.7881472278229396	-6.907421338777751	1.0811205766514398E-5	3.940545896692363E-4	0.0033612882651407297	0.030736257994200433	+	506368	506997	630			hypothetical protein				TTG	 
lmo0471	-6.301893917602139	-78.89674728215266	0.0	0.0	0.0	0.0	+	507723	508733	1011			hypothetical protein				ATG	 
lmo0472	-2.9432114201707096	-7.6912144558208855	2.4424906541753444E-15	4.340000581137815E-13	3.7020233760828504E-12	6.944000929820504E-12	+	509400	510287	888			hypothetical protein				TTG	 
lmo0473	-2.7778901459592698	-6.8584860336432625	9.323969730234971E-5	0.002650804594305802	0.022611380782292752	0.26508045943058023	+	510190	511212	1023			hypothetical protein				ATG	 
lmo0475	-2.527367495616229	-5.765187366145502	4.5878090119133574E-6	1.7548334286915601E-4	0.001496874079322037	0.013043141020869675	+	511966	512208	243			hypothetical protein				GTG	 
lmo0487	-4.54776387243941	-23.389090741660688	1.1271425981451699E-7	6.0461630311824865E-6	5.157381078317128E-5	3.204466406526718E-4	+	521863	522591	729			hypothetical protein				ATG	 
lmo0567	3.4556465720204903	10.971178286477206	8.926330480263367E-5	0.00256338965205947	0.021865730744775904	0.2537755755538875	-	604121	605404	1284	hisD		histidinol dehydrogenase				ATG	 
lmo0568	3.5579365173912603	11.777296652017172	5.139240240925602E-5	0.001623428889439054	0.013847859201290636	0.14610860004951487	-	605401	606042	642	hisG		ATP phosphoribosyltransferase				ATG	 
lmo0569	3.4084443919123606	10.618031282669525	2.2567288539110386E-4	0.005728464403275967	0.0488638393786259	0.6415880131669083	-	606039	607220	1182	hisZ		ATP phosphoribosyltransferase				ATG	 
lmo0706	3.5977406394851297	12.106757655631291	1.961461607318249E-4	0.005117642592969243	0.04365352528280635	0.5576435349605782	+	739723	740598	876	flgL		flagellar hook-associated protein FlgL				ATG	 
lmo0715	3.8709078360747204	14.630506759067115	5.2404851945464515E-5	0.0016372197151753364	0.013965495036348098	0.14898699408095561	+	746530	747222	693	fliH		flagellar assembly protein H				ATG	 
lmo0804	-4.59575822409098	-24.180266232386288	0.0	0.0	0.0	0.0	-	833117	833587	471			hypothetical protein				ATG	 
lmo0805	-5.4995854372955595	-45.24183175320084	0.0	0.0	0.0	0.0	-	833615	834076	462			hypothetical protein				ATG	 
lmo0838	4.7770309258899	27.41761027549111	3.7673204555943585E-8	2.142098411050952E-6	1.8272113662946853E-5	1.0710492055254761E-4	+	869095	870480	1386	uhpT		sugar:phosphate antiporter				ATG	 
lmo0903	3.170761964485921	9.005222761981555	4.1419895451255684E-5	0.001323109694021572	0.011286134471220585	0.11775676276791991	+	940316	940696	381			hypothetical protein				ATG	 
lmo0914	-4.095022778307391	-17.0893163450586	1.6762551674709414E-5	5.8834486927406E-4	0.0050185856396359205	0.047655934411198864	+	950363	950668	306			PTS sugar transporter subunit IIB				ATG	 
lmo0947	-3.7740596283427115	-13.680600270453763	8.892857195075266E-8	4.86199865492288E-6	4.147288079461278E-5	2.528239300559898E-4	-	981743	982960	1218			hypothetical protein				ATG	 
lmo1094	-4.84299148757403	-28.700251766750814	1.0897713065283199E-8	7.041408691954576E-7	6.006326287480522E-6	3.0982198244600134E-5	+	1129043	1129351	309			hypothetical protein				ATG	 
lmo1095	-3.7073677546369987	-13.062578070883074	4.6293530479024625E-6	1.7548334286915601E-4	0.001496874079322037	0.0131612507151867	+	1129412	1129816	405			PTS cellbiose transporter subunit IIB				ATG	 
lmo1097	-5.253729921849721	-38.153140828913514	0.0	0.0	0.0	0.0	-	1131558	1132760	1203			integrase				ATG	 
lmo1113	-2.67978345225141	-6.40759717164799	1.3036690820977803E-5	4.6915584815240374E-4	0.004001902498434302	0.037063312004039894	-	1149011	1149385	375			hypothetical protein				ATG	 
lmo1114	-3.546179103001511	-11.681706217608454	2.720589309390675E-10	2.148509835166025E-8	1.8326803153199773E-7	7.73463540659769E-7	-	1149406	1149720	315			hypothetical protein				ATG	 
lmo1118	-2.9398666675355187	-7.673403753361767	3.944844451098106E-12	4.672996989363298E-10	3.986069533302298E-9	1.1215192774471916E-8	-	1154864	1156381	1518			hypothetical protein				ATG	 
lmo1119	-2.772967270700449	-6.835122862246316	3.298528561401781E-9	2.2327896904917295E-7	1.9045710878476714E-6	9.377716700065264E-6	-	1156384	1157241	858			methylase				ATG	 
lmo1288	-3.7030576631040093	-13.023611491686035	1.335524045751324E-4	0.0037224459432068763	0.031752488600689965	0.3796894862071014	+	1312857	1313324	468			S-ribosylhomocysteinase				ATG	 
lmo1478	-3.2096536696702707	-9.251284360837225	2.632454934037298E-7	1.2684863351640744E-5	1.0820196857641734E-4	7.484069377468039E-4	+	1511375	1511812	438			MerR family transcriptional regulator				ATG	 
lmo1573	-3.851146107342891	-14.431467511004456	7.5171787857653E-5	0.00220323085442585	0.01879357381065863	0.21371339287930746	-	1612395	1613279	885	accD		acetyl-CoA carboxylase subunit beta				TTG	 
lmo1648	-3.0063219060070887	-8.035133011003948	1.6764367671839864E-14	2.5084788047916173E-12	2.139734085314872E-11	4.766109729104073E-11	-	1696940	1697302	363			hypothetical protein				ATG	 
lmo1659	-3.758577793707321	-13.53457605737599	2.8832491949515315E-13	4.098538730623602E-11	3.496056257340786E-10	8.197077461247204E-10	+	1708312	1708518	207			hypothetical protein				ATG	 
lmo1662	-5.372249019371719	-41.41980967868518	1.949107542031925E-12	2.4092664095638094E-10	2.0551058463402534E-9	5.541312741996762E-9	+	1712634	1713209	576			hypothetical protein				ATG	 
lmo1714	-2.30933113713857	-4.9565323174572145	7.629450945834115E-5	0.0022133192896945297	0.01887962823045541	0.2169052903900639	-	1776257	1776829	573			hypothetical protein				ATG	 
lmo1716	-2.7866005935433993	-6.900020238820321	1.879536970506024E-9	1.3701342582432375E-7	1.1687254316124096E-6	5.343523607148626E-6	+	1777763	1778338	576			transcriptional regulator				ATG	 
lmo1717	-2.9714006027039694	-7.842972830701741	7.764777709695636E-11	6.898519696457717E-9	5.88444187948911E-8	2.2075263028664693E-7	-	1778415	1779482	1068			hypothetical protein				ATG	 
lmo1738	5.18355074702941	36.34161798820383	1.6869532437624457E-9	1.262107387372798E-7	1.0765784390646335E-6	4.796008072016633E-6	-	1807643	1808458	816			amino acid ABC transporter substrate-binding protein				ATG	 
lmo1740	3.9082820378021204	15.014474092323661	2.1833494345813165E-5	7.478629448812871E-4	0.006379275883255392	0.06207262442514683	-	1809118	1809759	642			amino acid ABC transporter permease				ATG	 
lmo1786	3.9759786857999693	15.73580070390822	6.117422294060759E-6	2.2883988923703603E-4	0.0019520057739568675	0.01739183158201474	-	1860200	1861090	891	inlC		internalin C				TTG	 
lmo1861	-3.7248174434517187	-13.221531951040399	4.482778193093395E-7	2.055570710155568E-5	1.753403180004204E-4	0.0012744538402964523	-	1935334	1935948	615			hypothetical protein				GTG	 
lmo1922	-3.8987929726068398	-14.916043170438689	2.529523469796402E-6	1.057564003622231E-4	9.021027969740137E-4	0.007191435224631171	-	1996784	1998037	1254			hypothetical protein				ATG	 
lmo1999	4.6221671892336	24.626969296546214	3.924607705485528E-8	2.1877764130775204E-6	1.866174732338932E-5	1.1157659706695355E-4	-	2072205	2073269	1065			hypothetical protein				ATG	 
lmo2000	5.440899887709531	43.438424948415964	2.821742839387298E-11	2.971190700880773E-9	2.5344276397716287E-8	8.022214892378088E-8	-	2073282	2074103	822			PTS mannose transporter subunit IID				ATG	 
lmo2001	5.7625153155423305	54.28626475848948	1.4019896354966477E-12	1.839873304215251E-10	1.5694131495830237E-9	3.985856533716969E-9	-	2074084	2074902	819			PTS mannose transporter subunit IIC				ATG	 
lmo2002	5.336919739884902	40.41782378921629	1.0082690238277792E-10	8.430908337477578E-9	7.191570407294995E-8	2.866508834742376E-7	-	2074925	2075392	468			PTS mannose transporter subunit IIB				ATG	 
lmo2003	4.37605769367336	20.76465063710136	4.415076755082126E-6	1.719460714342258E-4	0.0014667011305059135	0.012552063214698483	-	2075412	2076113	702			GntR family transcriptional regulator				ATG	 
lmo2006	3.1459797828717093	8.85185477888474	6.471112534711665E-11	5.934636431027504E-9	5.062248814366936E-8	1.8397372936185263E-7	-	2078132	2079829	1698	alsS		acetolactate synthase				ATG	 
lmo2094	3.635358110326621	12.426586183748517	1.7153861620267108E-4	0.004644612246325656	0.03961857328652798	0.4876842858641939	-	2173836	2174486	651			L-fuculose-phosphate aldolase				ATG	 
lmo2097	4.485518477894631	22.401423059884234	1.931351238049217E-6	8.195270999662573E-5	6.990571601750969E-4	0.005490831569773924	-	2176815	2177090	276			PTS galacticol transporter subunit IIB				ATG	 
lmo2098	4.835003035749791	28.541772679588888	2.443248026118283E-7	1.2186235330270665E-5	1.0394866824483528E-4	6.946154138254279E-4	-	2177096	2177563	468			PTS galacticol transporter subunit IIA				GTG	 
lmo2102	-5.673724007644251	-51.04592915776967	2.2743401606462044E-9	1.5770607504188194E-7	1.3452338667711893E-6	6.465949076717159E-6	+	2182218	2182784	567			glutamine amidotransferase subunit PdxT				ATG	 
lmo2123	4.772068578861812	27.32346565727665	1.8660231204670197E-7	9.824266169421735E-6	8.380105562687315E-5	5.305103731487737E-4	-	2204857	2205708	852			sugar ABC transporter permease				ATG	 
lmo2124	4.8017034057772205	27.89052924455058	1.995321388115201E-7	1.0313997648020938E-5	8.797846838957503E-5	5.672698706411516E-4	-	2205709	2207016	1308			sugar ABC transporter permease				ATG	 
lmo2125	5.88007342986188	58.895007184216404	9.318767979493714E-12	1.0597302946280251E-9	9.039506446396804E-9	2.649325736570063E-8	-	2207103	2208362	1260			sugar ABC transporter substrate-binding protein				ATG	 
lmo2219	2.7199968152197407	6.588713593397896	5.68629510944163E-5	0.0017571888039285386	0.014988832159623953	0.16166136996142555	+	2306833	2307714	882			foldase				ATG	 
lmo2271	-5.11296034326598	-34.606241163658005	0.0	0.0	0.0	0.0	-	2360908	2361141	234	A118 phage - 		hypothetical protein				ATG	 
lmo2272	-1.69205745817254	-3.2311717956589723	1.9520502156500363E-4	0.005163366064449798	0.0440435467979931	0.5549678763093053	+	2361582	2361791	210	A118 phage - 		hypothetical protein				ATG	 
lmo2275	-2.195861704244649	-4.581632378736218	1.5520966620752308E-4	0.004242895009884501	0.03619192259356732	0.4412610810279881	+	2362661	2363110	450	A118 phage - 		protein gp28				ATG	 
lmo2276	-3.2059434541166194	-9.227523164131728	4.809219426027411E-7	2.170255687015227E-5	1.851229541379637E-4	0.001367261082819593	+	2363135	2363632	498	A118 phage - 		hypothetical protein				GTG	 
lmo2277	-3.70330108729641	-13.025809135326538	0.0	0.0	0.0	0.0	-	2363709	2364260	552	A118 phage - 		hypothetical protein				GTG	 
lmo2292	-2.2728166893861896	-4.8326572911431915	0.0	0.0	0.0	0.0	-	2377897	2378304	408	A118 phage - 		protein gp11				ATG	 
lmo2294	-2.9876215378649693	-7.931652862773306	1.587618925213974E-14	2.5075558913240712E-12	2.1389468395145358E-11	4.5136006043833277E-11	-	2378642	2379004	363	A118 phage - 		protein gp9				ATG	 
lmo2295	-2.8920236048042494	-7.423109264747301	2.6623592219721104E-11	2.9111874107948883E-9	2.4832447935053756E-8	7.56908726806671E-8	-	2379004	2379399	396	A118 phage - 		protein gp8				ATG	 
lmo2330	-2.8726086197581795	-7.323882368901248	1.6775620337305952E-8	1.036806274325235E-6	8.843964401071829E-6	4.769308861896082E-5	+	2399542	2400243	702	A118 phage - 		hypothetical protein				ATG	 
lmo2331	-2.623061486518459	-6.160559946472696	1.9620930096153621E-4	0.005117642592969243	0.04365352528280635	0.5578230426336475	+	2400264	2400944	681	A118 phage - 		hypothetical protein				ATG	 
lmo2342	-3.40992849273343	-10.628959674689545	5.834809081128878E-5	0.0017836948621128387	0.015214929011851485	0.165883622176494	-	2411126	2411827	702			16S pseudouridylate synthase				ATG	 
lmo2343	3.5299871795312106	11.551330913147513	3.2427238346510734E-5	0.0010476208933992046	0.00893621317354727	0.09219063861913002	-	2411900	2413222	1323			nitrilotriacetate monooxygenase				ATG	 
lmo2344	4.427582506239279	21.519646980265847	2.441733477631658E-7	1.2186235330270665E-5	1.0394866824483528E-4	6.941848276906804E-4	-	2413219	2413485	267			hypothetical protein				ATG	 
lmo2345	4.3370568530361	20.210832632664882	2.5728998465091024E-7	1.261164528211272E-5	1.075774179574095E-4	7.314754263625378E-4	-	2413478	2414473	996			hypothetical protein				ATG	 
lmo2346	3.8356619629341404	14.2774058206657	2.6871669497996464E-5	8.987783103859288E-4	0.0076665849526053285	0.07639615638280395	-	2414470	2415249	780			amino acid ABC transporter ATP-binding protein				ATG	 
lmo2347	5.25568727008071	38.20493948568555	2.00628491597854E-9	1.4259670040317475E-7	1.2163508008250943E-6	5.7038680161269895E-6	-	2415246	2415953	708			amino acid ABC transporter permease				ATG	 
lmo2348	5.53455502569816	46.351850315244214	4.976774548026697E-11	4.878955186220654E-9	4.1617520119119926E-8	1.41489700400399E-7	-	2415967	2416683	717			amino acid ABC transporter permease				ATG	 
lmo2349	5.333596314524541	40.32482352392434	8.610845370071729E-11	7.418373753670887E-9	6.32787773530877E-8	2.4480633387113926E-7	-	2416705	2417514	810			amino acid ABC transporter substrate-binding protein				ATG	 
lmo2350	5.62796187542645	49.4521683401377	3.9264147488893286E-11	3.986713261104415E-9	3.400669057624574E-8	1.1162797131092361E-7	-	2417531	2418067	537			hypothetical protein				ATG	 
lmo2351	4.637507462464572	24.89022665070415	3.062939191167402E-7	1.451322686748154E-5	1.237979215010253E-4	8.707936120488924E-4	-	2418083	2418628	546			FMN reductase				ATG	 
lmo2362	4.51634752088812	22.885271793643422	9.763325294898095E-7	4.337052158343013E-5	3.699508369482075E-4	0.0027757133813395285	+	2431688	2433211	1524			amino acid antiporter				ATG	 
lmo2545	-4.526270229888208	-23.043216895902976	2.8985375395418345E-6	1.1772203178453478E-4	0.0010041697124198543	0.008240542224917435	-	2621201	2622067	867	thrB		homoserine kinase				ATG	 
lmo2663	3.648042262755081	12.536322228714141	1.450528327273659E-4	0.004003739839261178	0.034151927400924945	0.4123852034439013	-	2736597	2737628	1032			polyol dehydrogenase				TTG	 
lmo2667	3.5047215342502103	11.350795733101947	9.686380868290101E-5	0.002726572357282055	0.023257680303335804	0.27538380808548757	-	2740390	2740854	465			PTS galacticol transporter subunit IIA				ATG	 
lmo2675	-4.45884360870272	-21.991035123642273	1.7554287677912228E-6	7.677975364354532E-5	6.549318081514359E-4	0.0049906839868304465	+	2747073	2747414	342			hypothetical protein				ATG	 
lmo2681	3.6734071537528203	12.758679839021964	1.523500025890634E-5	5.41413821700884E-4	0.004618263492364676	0.04331310573607072	-	2753523	2755568	2046	kdpB		potassium-transporting ATPase subunit B				ATG	 
lmo2682	3.946984999646089	15.422716566045688	3.3072081497831363E-6	1.324280671807529E-4	0.0011296122919506348	0.009402392769833456	-	2755580	2757265	1686	kdpA		potassium-transporting ATPase subunit A				ATG	 
lmo2709	-3.834749376066511	-14.26837740326306	1.8327818118724082E-6	7.894846501747359E-5	6.734309305643512E-4	0.0052105986911532565	+	2782739	2782894	156			hypothetical protein				ATG	 
