Name	From	To	Strand	inocua	comment	initial report
rli109	2694509	2694694	-	1		Mraheil et al
rli111	2736457	2736640	+	2		Mraheil et al
rli112	2782978	2783221	+	0		Mraheil et al
rli50	2782981	2783264	-	0		Toledo-Arana et al
SRP	2784311	2784413	-	2		
rli147	2784594	2784775	-	2	Partially antisense to lmo2711	Here
rli145	2794580	2794741	-	1		Here
rli113	2839401	2839573	-	2	A likely 5' UTR	Mraheil et al
rliI	2841962	2842199	-	2		Mandin et al
rli114	2857252	2857320	-	2	A likely 5' UTR	Mraheil et al
